"","classes","goals","related"
"1154","CSCI-102","9","Inclusive"
"1155","CSCI-103","8,9","Inclusive"
"1156","CSCI-104","4,9,15","Focused"
"1157","CSCI-109","4","Inclusive"
"1158","CSCI-170","4","Inclusive"
"1159","CSCI-201","8,9,17","Inclusive"
"1160","CSCI-270","9,10","Inclusive"
"1161","CSCI-281","8,9,17","Inclusive"
"1162","CSCI-310","8,9,10,17","Inclusive"
"1163","CSCI-350","8,9,10","Inclusive"
"1164","CSCI-353","1,8,9,10,11,13","Focused"
"1165","CSCI-356","9","Inclusive"
"1166","CSCI-360","4,6,8,9,10,11,12","Inclusive"
"1167","CSCI-401","4,8,9,10,16,17","Inclusive"
"1168","CSCI-402","1,9","Inclusive"
"1169","CSCI-404","9,17","Inclusive"
"1170","CSCI-420","9","Inclusive"
"1171","CSCI-423","8,9,10,11,17","Inclusive"
"1172","CSCI-426","1,8,9","Inclusive"
"1173","CSCI-430","1,9,16","Inclusive"
"1174","CSCI-445","9,17","Inclusive"
"1175","CSCI-455","8,9,10","Inclusive"
"1176","CSCI-467","9","Inclusive"
"1177","CSCI-485","4,8,9","Inclusive"
"1178","CSCI-491A","1,8,9,17","Inclusive"
"1179","CSCI-491B","8,9,17","Inclusive"
"1180","CSCI-510","1,4,6,8,9,11,12","Inclusive"
"1181","CSCI-520","9","Inclusive"
"1182","CSCI-522","1,8,9,17","Inclusive"
"1183","CSCI-526","9","Inclusive"
"1184","CSCI-529A","8,9,17","Inclusive"
"1185","CSCI-529B","8,9,17","Inclusive"
"1186","CSCI-530","1,9","Inclusive"
"1187","CSCI-531","9,11","Inclusive"
"1188","CSCI-534","9","Inclusive"
"1189","CSCI-538","9","Inclusive"
"1190","CSCI-544","4,9,12,15","Focused"
"1191","CSCI-548","","NotRelated"
"1192","CSCI-550","4,9","Inclusive"
"1193","CSCI-551","9,11","Inclusive"
"1194","CSCI-555","1,9,17","Inclusive"
"1195","CSCI-561","4,6,9,11,12","Inclusive"
"1196","CSCI-567","9","Inclusive"
"1197","CSCI-570","9,12","Inclusive"
"1198","CSCI-571","4,9,17","Inclusive"
"1199","CSCI-572","9","Inclusive"
"1200","CSCI-576","4,9,12,15","Focused"
"1201","CSCI-577A","4,6,8,9,11,12,17","Inclusive"
"1202","CSCI-577B","8,9,17","Inclusive"
"1203","CSCI-580","9","Inclusive"
"1204","CSCI-585","1,9","Inclusive"
"1205","CSCI-590","9,17","Inclusive"
"1206","CSCI-591","4,9,17","Inclusive"
"1207","CSCI-610","9","Inclusive"
"1208","CSCI-621","4,9","Inclusive"
"1209","CSCI-644","1,4,8,9,12,15","Focused"
"1210","CSCI-670","9","Inclusive"
"1211","CSCI-671","9","Inclusive"
"1212","CSCI-677","9","Inclusive"
"1213","CSCI-697","4,8,10,17","Inclusive"
"1214","CSCI-698","4,8,9,17","Inclusive"
"1215","CSLC-501","10,11","Inclusive"
"1216","CSLC-502","8,10","Inclusive"
"1217","CSLC-503","1,11","Inclusive"
"1218","CSLC-600","2,8,9,10,17","Inclusive"
"1219","CSLC-601","17","Inclusive"
"1220","CSLC-700","8,9,12,15,17","Inclusive"
"1221","CTAN-101","2,12","Inclusive"
"1222","CTAN-102","","NotRelated"
"1223","CTAN-200","9","Inclusive"
"1224","CTAN-201","9,17","Inclusive"
"1225","CTAN-202","","NotRelated"
"1226","CTAN-301","9","Inclusive"
"1227","CTAN-305","1,4,8,9,10","Inclusive"
"1228","CTAN-330","","NotRelated"
"1229","CTAN-336","9","Inclusive"
"1230","CTAN-401A","17","Inclusive"
"1231","CTAN-401B","17","Inclusive"
"1232","CTAN-410","9,17","Inclusive"
"1233","CTAN-420","9","Inclusive"
"1234","CTAN-432","17","Inclusive"
"1235","CTAN-435","1,8,9,17","Inclusive"
"1236","CTAN-436","17","Inclusive"
"1237","CTAN-443","8,9,17","Inclusive"
"1238","CTAN-448","9,12","Inclusive"
"1239","CTAN-450A","9","Inclusive"
"1240","CTAN-450B","4,6,8,9,11,12,17","Inclusive"
"1241","CTAN-451","11","Inclusive"
"1242","CTAN-452","9","Inclusive"
"1243","CTAN-455","2,12","Inclusive"
"1244","CTAN-460","8,9,17","Inclusive"
"1245","CTAN-462","9","Inclusive"
"1246","CTAN-464","9","Inclusive"
"1247","CTAN-465","6,12","Inclusive"
"1248","CTAN-470","9,11,17","Inclusive"
"1249","CTAN-485","","NotRelated"
"1250","CTAN-495","2,4,9","Inclusive"
"1251","CTAN-496","17","Inclusive"
"1252","CTAN-497","9","Inclusive"
"1253","CTAN-502","8,9,10","Inclusive"
"1254","CTAN-503","4","Inclusive"
"1255","CTAN-504","9","Inclusive"
"1256","CTAN-505","8,9","Inclusive"
"1257","CTAN-508","5,12","Inclusive"
"1258","CTAN-522","17","Inclusive"
"1259","CTAN-525","9","Inclusive"
"1260","CTAN-536","8,9,10","Inclusive"
"1261","CTAN-544","9,12","Inclusive"
"1262","CTAN-547","9,17","Inclusive"
"1263","CTAN-550","9","Inclusive"
"1264","CTAN-555","1,8,9","Inclusive"
"1265","CTAN-564","9","Inclusive"
"1266","CTAN-565","9","Inclusive"
"1267","CTAN-577A","","NotRelated"
"1268","CTAN-577B","","NotRelated"
"1269","CTAN-579","9,15","Focused"
"1270","CTAN-591","8,9,17","Inclusive"
"1271","CTAN-592","2,9","Inclusive"
"1272","CTCS-190","1","Inclusive"
"1273","CTCS-191","1,8,9,11,17","Inclusive"
"1274","CTCS-192","1,5,10,11","Inclusive"
"1275","CTCS-200","8,9,11,17","Inclusive"
"1276","CTCS-201","8,9,11,17","Inclusive"
"1277","CTCS-367","8,9,13","Focused"
"1278","CTCS-392","1,11","Inclusive"
"1279","CTCS-393","11,17","Inclusive"
"1280","CTCS-394","11,17","Inclusive"
"1281","CTCS-400","17","Inclusive"
"1282","CTCS-402","17","Inclusive"
"1283","CTCS-403","","NotRelated"
"1284","CTCS-411","4,9,11,15","Focused"
"1285","CTCS-412","1,5,8,9,10,16,17","Inclusive"
"1286","CTCS-464","1,11","Inclusive"
"1287","CTCS-466","9","Inclusive"
"1288","CTCS-467","9,11,17","Inclusive"
"1289","CTCS-469","17","Inclusive"
"1290","CTCS-473","9,17","Inclusive"
"1291","CTCS-494","9,11,17","Inclusive"
"1292","CTCS-500","17","Inclusive"
"1293","CTCS-502","8,11,13","Focused"
"1294","CTCS-503","1,8,9,11","Inclusive"
"1295","CTCS-504","8,9,11","Inclusive"
"1296","CTCS-505","8,9,11","Inclusive"
"1297","CTCS-506","8,9,17","Inclusive"
"1298","CTCS-510","10,11,17","Inclusive"
"1299","CTCS-511","17","Inclusive"
"1300","CTCS-517","9,11","Inclusive"
"1301","CTCS-518","11,17","Inclusive"
"1302","CTCS-520","11","Inclusive"
"1303","CTCS-564","1,9,11,17","Inclusive"
"1304","CTCS-569","17","Inclusive"
"1305","CTCS-587","9,17","Inclusive"
"1306","CTCS-677","11,17","Inclusive"
"1307","CTCS-678","17","Inclusive"
"1308","CTIN-101","4,9,15","Focused"
"1309","CTIN-190","9,11","Inclusive"
"1310","CTIN-191","1,4,9,11","Inclusive"
"1311","CTIN-290","4","Inclusive"
"1312","CTIN-404","9","Inclusive"
"1313","CTIN-444","9","Inclusive"
"1314","CTIN-452","9","Inclusive"
"1315","CTIN-458","8,9","Inclusive"
"1316","CTIN-463","9","Inclusive"
"1317","CTIN-464","1,11,17","Inclusive"
"1318","CTIN-482","1,9","Inclusive"
"1319","CTIN-483","8,9,17","Inclusive"
"1320","CTIN-484","8,9,17","Inclusive"
"1321","CTIN-485","8,9,17","Inclusive"
"1322","CTIN-488","9","Inclusive"
"1323","CTIN-489","9","Inclusive"
"1324","CTIN-491","8,9,17","Inclusive"
"1325","CTIN-492","8,9,17","Inclusive"
"1326","CTIN-493","9,17","Inclusive"
"1327","CTIN-497","4,6,8,9,10,11,12","Inclusive"
"1328","CTIN-503","1,4,8,9,11,16,17","Inclusive"
"1329","CTIN-511","8,9,11,17","Inclusive"
"1330","CTIN-532","8,9,17","Inclusive"
"1331","CTIN-534","9","Inclusive"
"1332","CTIN-541","9,17","Inclusive"
"1333","CTIN-542","9","Inclusive"
"1334","CTIN-544","9","Inclusive"
"1335","CTIN-548","9,17","Inclusive"
"1336","CTIN-583","8,9,17","Inclusive"
"1337","CTIN-590","9,17","Inclusive"
"1338","CTPR-240","8,9,10,17","Inclusive"
"1339","CTPR-285","9","Inclusive"
"1340","CTPR-288","1,8,9","Inclusive"
"1341","CTPR-290","9","Inclusive"
"1342","CTPR-294","9","Inclusive"
"1343","CTPR-295","9","Inclusive"
"1344","CTPR-310","8,9,17","Inclusive"
"1345","CTPR-327","9","Inclusive"
"1346","CTPR-335","9","Inclusive"
"1347","CTPR-340","9","Inclusive"
"1348","CTPR-371","9,17","Inclusive"
"1349","CTPR-385","9","Inclusive"
"1350","CTPR-386","9","Inclusive"
"1351","CTPR-409","2,9,17","Inclusive"
"1352","CTPR-410","8,9,17","Inclusive"
"1353","CTPR-421","9,17","Inclusive"
"1354","CTPR-422","","NotRelated"
"1355","CTPR-423","","NotRelated"
"1356","CTPR-424","9,17","Inclusive"
"1357","CTPR-425","4,6,9,11,12","Inclusive"
"1358","CTPR-426","9","Inclusive"
"1359","CTPR-427","","NotRelated"
"1360","CTPR-428","9,17","Inclusive"
"1361","CTPR-431","1,8,9,17","Inclusive"
"1362","CTPR-438","9,17","Inclusive"
"1363","CTPR-440","9,17","Inclusive"
"1364","CTPR-441","9,11","Inclusive"
"1365","CTPR-447","8,9,10,16","Inclusive"
"1366","CTPR-448","9,12","Inclusive"
"1367","CTPR-450","9","Inclusive"
"1368","CTPR-454","9","Inclusive"
"1369","CTPR-456","9","Inclusive"
"1370","CTPR-457","9","Inclusive"
"1371","CTPR-458","1,4,8,9,17","Inclusive"
"1372","CTPR-460","8,9","Inclusive"
"1373","CTPR-461","9","Inclusive"
"1374","CTPR-464","9","Inclusive"
"1375","CTPR-465","9,17","Inclusive"
"1376","CTPR-470","17","Inclusive"
"1377","CTPR-473","","NotRelated"
"1378","CTPR-474","2,9","Inclusive"
"1379","CTPR-476","","NotRelated"
"1380","CTPR-477","9","Inclusive"
"1381","CTPR-478","9,17","Inclusive"
"1382","CTPR-480","2,9","Inclusive"
"1383","CTPR-484","8,9,17","Inclusive"
"1384","CTPR-486","9","Inclusive"
"1385","CTPR-487","9","Inclusive"
"1386","CTPR-496","5,8,9,10","Inclusive"
"1387","CTPR-497","1,8,9,17","Inclusive"
"1388","CTPR-506","9","Inclusive"
"1389","CTPR-507","4,9","Inclusive"
"1390","CTPR-508","9,17","Inclusive"
"1391","CTPR-515","8,11,13","Focused"
"1392","CTPR-522","","NotRelated"
"1393","CTPR-523","9","Inclusive"
"1394","CTPR-531","4,6,9,11,12,17","Inclusive"
"1395","CTPR-532","","NotRelated"
"1396","CTPR-533","17","Inclusive"
"1397","CTPR-534","9,17","Inclusive"
"1398","CTPR-535","9","Inclusive"
"1399","CTPR-537","9,17","Inclusive"
"1400","CTPR-538","9","Inclusive"
"1401","CTPR-540","9","Inclusive"
"1402","CTPR-546","9","Inclusive"
"1403","CTPR-547","9","Inclusive"
"1404","CTPR-551","","NotRelated"
"1405","CTPR-552","9","Inclusive"
"1406","CTPR-553","1,8,9,17","Inclusive"
"1407","CTPR-554","9,17","Inclusive"
"1408","CTPR-555","9","Inclusive"
"1409","CTPR-556","9","Inclusive"
"1410","CTPR-557","9","Inclusive"
"1411","CTPR-558","9","Inclusive"
"1412","CTPR-562","8,9,17","Inclusive"
"1413","CTPR-563","8,9","Inclusive"
"1414","CTPR-565","1,2,13","Focused"
"1415","CTPR-566","1,8,9","Inclusive"
"1416","CTPR-572","8,9,17","Inclusive"
"1417","CTPR-573","4,6,9,11,12,17","Inclusive"
"1418","CTPR-581A","9","Inclusive"
"1419","CTPR-581B","9","Inclusive"
"1420","CTPR-581C","9","Inclusive"
"1421","CTPR-582A","9,17","Inclusive"
"1422","CTPR-585A","8,9,17","Inclusive"
"1423","CTPR-585B","8,9,17","Inclusive"
"1424","CTWR-100","8,9,17","Inclusive"
"1425","CTWR-206A","8,9,17","Inclusive"
"1426","CTWR-206B","17","Inclusive"
"1427","CTWR-211","1,5,10,13","Focused"
"1428","CTWR-212","17","Inclusive"
"1429","CTWR-250","9","Inclusive"
"1430","CTWR-305","9,15,17","Inclusive"
"1431","CTWR-321","17","Inclusive"
"1432","CTWR-324","17","Inclusive"
"1433","CTWR-401","17","Inclusive"
"1434","CTWR-404","1,9,12,17","Inclusive"
"1435","CTWR-407","9,12","Inclusive"
"1436","CTWR-410","8,9,17","Inclusive"
"1437","CTWR-411","17","Inclusive"
"1438","CTWR-412","17","Inclusive"
"1439","CTWR-413","4,6,9,11,12,17","Inclusive"
"1440","CTWR-414","9,17","Inclusive"
"1441","CTWR-415A","9,17","Inclusive"
"1442","CTWR-415B","9,17","Inclusive"
"1443","CTWR-416","9","Inclusive"
"1444","CTWR-417","9","Inclusive"
"1445","CTWR-418A","9,17","Inclusive"
"1446","CTWR-418B","9,17","Inclusive"
"1447","CTWR-419A","1,8,9,17","Inclusive"
"1448","CTWR-419B","17","Inclusive"
"1449","CTWR-421","17","Inclusive"
"1450","CTWR-422","17","Inclusive"
"1451","CTWR-431","9","Inclusive"
"1452","CTWR-434","17","Inclusive"
"1453","CTWR-435","17","Inclusive"
"1454","CTWR-437","9,17","Inclusive"
"1455","CTWR-438","2,6,9,11,12,15","Focused"
"1456","CTWR-439","9,17","Inclusive"
"1457","CTWR-453","9","Inclusive"
"1458","CTWR-459A","8,9,17","Inclusive"
"1459","CTWR-477","9,16,17","Inclusive"
"1460","CTWR-487","2,17","Inclusive"
"1461","CTWR-489","8,9,17","Inclusive"
"1462","CTWR-502","9,17","Inclusive"
"1463","CTWR-505","8,9,10","Inclusive"
"1464","CTWR-513","17","Inclusive"
"1465","CTWR-514A","8,9,17","Inclusive"
"1466","CTWR-514B","8,9,17","Inclusive"
"1467","CTWR-515A","17","Inclusive"
"1468","CTWR-515B","17","Inclusive"
"1469","CTWR-516","9","Inclusive"
"1470","CTWR-517A","1,8,9,17","Inclusive"
"1471","CTWR-517B","8,9,17","Inclusive"
"1472","CTWR-518","17","Inclusive"
"1473","CTWR-519A","17","Inclusive"
"1474","CTWR-519B","17","Inclusive"
"1475","CTWR-520","9,17","Inclusive"
"1476","CTWR-521","9,17","Inclusive"
"1477","CTWR-523","","NotRelated"
"1478","CTWR-526","9,17","Inclusive"
"1479","CTWR-529","","NotRelated"
"1480","CTWR-533A","8,9,17","Inclusive"
"1481","CTWR-533B","9,17","Inclusive"
"1482","CTWR-534","9,17","Inclusive"
"1483","CTWR-537","8,9,17","Inclusive"
"1484","CTWR-539","8,9,17","Inclusive"
"1485","CTWR-541","9","Inclusive"
"1486","CTWR-543","9","Inclusive"
"1487","CTWR-549","9,17","Inclusive"
"1488","CTWR-550","8,9,17","Inclusive"
"1489","CTWR-553","9","Inclusive"
"1490","CTWR-555","8,9,17","Inclusive"
"1491","CTWR-559","8,9,17","Inclusive"
"1492","CTWR-572","17","Inclusive"
"1493","CTWR-585","8,9,17","Inclusive"
"1494","CXPT-609","6,8,9,12,17","Inclusive"
"1495","CXPT-610","6,9,11,12","Inclusive"
"1496","DBIO-310","","NotRelated"
"1497","DES-102","9","Inclusive"
"1498","DES-123","9","Inclusive"
"1499","DES-202","9","Inclusive"
"1500","DES-203","9","Inclusive"
"1501","DES-213","6,7,8,9,12,13,14,15","Focused"
"1502","DES-230","6,7,8,9,12,13,14,15,17","Inclusive"
"1503","DES-302","9","Inclusive"
"1504","DES-303","9","Inclusive"
"1505","DES-313","9","Inclusive"
"1506","DES-322","9","Inclusive"
"1507","DES-323","4,9,11,16,17","Inclusive"
"1508","DES-332A","9,11,17","Inclusive"
"1509","DES-332B","","NotRelated"
"1510","DES-333","8,9,11,17","Inclusive"
"1511","DES-402","9","Inclusive"
"1512","DES-413","9","Inclusive"
"1513","DES-432","8,9","Inclusive"
"1514","DES-503","9,17","Inclusive"
"1515","DES-513","9","Inclusive"
"1516","DES-514","9,17","Inclusive"
"1517","DES-520","9","Inclusive"
"1518","DES-523","9","Inclusive"
"1519","DES-530","9,17","Inclusive"
"1520","DES-540","4,9","Inclusive"
"1521","DHIS-310","","NotRelated"
"1522","DHIS-701","1,8,9","Inclusive"
"1523","DHYG-311A","6,9","Inclusive"
"1524","DHYG-311B","6,9","Inclusive"
"1525","DHYG-314","","NotRelated"
"1526","DHYG-316","1,4","Inclusive"
"1527","DHYG-318","9","Inclusive"
"1528","DHYG-320","1,3,4,11,17","Inclusive"
"1529","DHYG-401","4,6,9,11,12","Inclusive"
"1530","DHYG-410A","6,9","Inclusive"
"1531","DHYG-410B","6,9","Inclusive"
"1532","DHYG-410C","6,9","Inclusive"
"1533","DHYG-412","8,9,17","Inclusive"
"1534","DHYG-414A","4,6,9,11,12","Inclusive"
"1535","DHYG-414B","4,6,9,11,12","Inclusive"
"1536","DHYG-422","1,6,8,12,15","Focused"
"1537","DHYG-424","8,9,10,17","Inclusive"
"1538","DHYG-516A","1,4,9,11,16","Inclusive"
"1539","DHYG-516B","1,4,9,11","Inclusive"
"1540","DIAG-415","","NotRelated"
"1541","DIAG-521","1,4,6","Inclusive"
"1542","DMAT-316","9,12","Inclusive"
"1543","DMAT-701","4,9,12","Inclusive"
"1544","DPHR-410","3,9,14","Focused"
"1545","DPHR-701","3,9,11","Inclusive"
"1546","DSM-510","1,4,8,9,10,11,15","Focused"
"1547","DSM-520","1,8,9,17","Inclusive"
"1548","DSM-560","1,8,10","Inclusive"
"1549","DSO-401","8,9,10","Inclusive"
"1550","DSO-424","8,9,10","Inclusive"
"1551","DSO-427","8,9,10","Inclusive"
"1552","DSO-428","8,9","Inclusive"
"1553","DSO-431","4,6,8,9,10,11,12,17","Inclusive"
"1554","DSO-435","4,8,9,10","Inclusive"
"1555","DSO-455","8,9,10,17","Inclusive"
"1556","DSO-462","1,8,9,10","Inclusive"
"1557","DSO-482","4,6,8,9,10,11,12","Inclusive"
"1558","DSO-505","2,7,8,9,10,11,12,13,15","Focused"
"1559","DSO-506","1,5,8,9,10,13","Focused"
"1560","DSO-510","8,9,12,17","Inclusive"
"1561","DSO-516","","NotRelated"
"1562","DSO-520","8,9,10,11","Inclusive"
"1563","DSO-522","8,9,10,17","Inclusive"
"1564","DSO-528","8,9,10","Inclusive"
"1565","DSO-529","8,9,10","Inclusive"
"1566","DSO-530","8,9,15","Focused"
"1567","DSO-531","1,8,9,12,17","Inclusive"
"1568","DSO-545","9,12","Inclusive"
"1569","DSO-547","8,9","Inclusive"
"1570","DSO-549","8,9,10","Inclusive"
"1571","DSO-551","4,8,9,10,12,13","Focused"
"1572","DSO-552","8,9","Inclusive"
"1573","DSO-553","","NotRelated"
"1574","DSO-556","4,8,9,13,14,15","Focused"
"1575","DSO-557A","6,8,9,10,11,12,13,17","Inclusive"
"1576","DSO-557B","8,9,10,13,17","Inclusive"
"1577","DSO-562","9,16","Inclusive"
"1578","DSO-570","8,9,10","Inclusive"
"1579","DSO-573","8,9","Inclusive"
"1580","DSO-580","8,9,10,17","Inclusive"
"1581","DSO-581","4,6,8,9,10,11,12","Inclusive"
"1582","DSO-583","8,9,17","Inclusive"
"1583","DSO-586","1,8,9,13","Focused"
"1584","DSO-593","8,10,17","Inclusive"
"1585","DSO-595","1,4,8,9","Inclusive"
"1586","DSO-607","8,9","Inclusive"
"1587","DSO-621","9,17","Inclusive"
"1588","DSO-670","4,6,8,9,10,11,12,17","Inclusive"
"1589","DSR-542","4,9","Inclusive"
"1590","DSR-574","4,8,9,15,17","Inclusive"
"1591","DSR-580","","NotRelated"
"1592","DSR-610","4,17","Inclusive"
"1593","DSR-620","4,17","Inclusive"
"1594","EALC-101","4,8,9,10","Inclusive"
"1595","EALC-102","4,9,11","Inclusive"
"1596","EALC-103A","17","Inclusive"
"1597","EALC-103B","17","Inclusive"
"1598","EALC-104","9,17","Inclusive"
"1599","EALC-106","4,17","Inclusive"
"1600","EALC-108","9,12,17","Inclusive"
"1601","EALC-110","4,5,9","Inclusive"
"1602","EALC-115","4,17","Inclusive"
"1603","EALC-117","17","Inclusive"
"1604","EALC-118","9","Inclusive"
"1605","EALC-119","9,11","Inclusive"
"1606","EALC-120","4,9,17","Inclusive"
"1607","EALC-121","8,9,10,11,12,17","Inclusive"
"1608","EALC-122","4,17","Inclusive"
"1609","EALC-125","11","Inclusive"
"1610","EALC-130","11,12,15,17","Inclusive"
"1611","EALC-150","4,8,9,11,13","Focused"
"1612","EALC-202","4,9,11,17","Inclusive"
"1613","EALC-204","17","Inclusive"
"1614","EALC-206","10,11,17","Inclusive"
"1615","EALC-207A","8,9,12,15","Focused"
"1616","EALC-207B","8,9,12,15","Focused"
"1617","EALC-215","17","Inclusive"
"1618","EALC-217","9","Inclusive"
"1619","EALC-220","4,17","Inclusive"
"1620","EALC-221","8,9,10,11,12,17","Inclusive"
"1621","EALC-222","4,12,15,17","Inclusive"
"1622","EALC-255","14","Inclusive"
"1623","EALC-304","9","Inclusive"
"1624","EALC-306","9,17","Inclusive"
"1625","EALC-315","9,12","Inclusive"
"1626","EALC-317","9","Inclusive"
"1627","EALC-320","4,9,11,17","Inclusive"
"1628","EALC-322","9,12","Inclusive"
"1629","EALC-342","8,9,11,17","Inclusive"
"1630","EALC-344","9,11","Inclusive"
"1631","EALC-352","9,11","Inclusive"
"1632","EALC-358","11","Inclusive"
"1633","EALC-366","1,4,8,9,10,11","Inclusive"
"1634","EALC-385","11","Inclusive"
"1635","EALC-400","9,17","Inclusive"
"1636","EALC-402","","NotRelated"
"1637","EALC-404","9","Inclusive"
"1638","EALC-407","1,9,11","Inclusive"
"1639","EALC-412A","8,9","Inclusive"
"1640","EALC-412B","8,9","Inclusive"
"1641","EALC-413","8,9,11","Inclusive"
"1642","EALC-422","9,17","Inclusive"
"1643","EALC-424","4,9,11","Inclusive"
"1644","EALC-450","8,11,13","Focused"
"1645","EALC-485","11","Inclusive"
"1646","EALC-509","9","Inclusive"
"1647","EALC-535","9,11","Inclusive"
"1648","EASC-150","4,8,9,11,13,16","Inclusive"
"1649","EASC-160","9,11","Inclusive"
"1650","EASC-360","1,5,8,10,13,17","Inclusive"
"1651","EASC-592","1,17","Inclusive"
"1652","ECON-203","1,2,5,8,9,10,12,15,16","Inclusive"
"1653","ECON-205","1,8,9","Inclusive"
"1654","ECON-303","1,4,8,9,12","Inclusive"
"1655","ECON-304","1,8,9","Inclusive"
"1656","ECON-305","1,4,8,9,10","Inclusive"
"1657","ECON-317","1,8,9","Inclusive"
"1658","ECON-318","1,8,9,7,10","Inclusive"
"1659","ECON-340","1,2,4,8,9,10,11,17","Inclusive"
"1660","ECON-342","1,4,5,7,8,9,10,11,17","Inclusive"
"1661","ECON-343","1,8,9,17","Inclusive"
"1662","ECON-344","1,2,5,7,8,9,10,15,16,17","Inclusive"
"1663","ECON-348","1,4,5,8,9,10,11","Inclusive"
"1664","ECON-351","1,2,7,8,9,10,17","Inclusive"
"1665","ECON-352","1,4,7,8,9,10,17","Inclusive"
"1666","ECON-357","1,8,9,10","Inclusive"
"1667","ECON-361","8,10","Inclusive"
"1668","ECON-395","1,6,7,8,9,10,11,12,13,14,15,17","Inclusive"
"1669","ECON-401","1,6,7,8,9","Inclusive"
"1670","ECON-404","1,8,9,11,12,15,16","Inclusive"
"1671","ECON-405","7","Inclusive"
"1672","ECON-410","1,8,9","Inclusive"
"1673","ECON-419","9","Inclusive"
"1674","ECON-420","1,7,8,9","Inclusive"
"1675","ECON-432","1,7,8,9,12,13,15","Focused"
"1676","ECON-433","1,7,8,9,17","Inclusive"
"1677","ECON-434","1,4,8,9,10,11,12,16","Inclusive"
"1678","ECON-450","1,8,9","Inclusive"
"1679","ECON-452","8,9","Inclusive"
"1680","ECON-457","1,8,9,10,12,13","Focused"
"1681","ECON-471","1,5,8,9,10,16","Inclusive"
"1682","ECON-474","1,6,7,8,9,12,13,14,15","Focused"
"1683","ECON-495","17","Inclusive"
"1684","ECON-500","1,8,9","Inclusive"
"1685","ECON-501","1,8,9","Inclusive"
"1686","ECON-504","1,8,9,10","Inclusive"
"1687","ECON-513","1,7,8,9","Inclusive"
"1688","ECON-515","9","Inclusive"
"1689","ECON-521","1,7,8,9,10,11","Inclusive"
"1690","ECON-527","1,7,8,9","Inclusive"
"1691","ECON-538","1,8,9,13,17","Inclusive"
"1692","ECON-541","1,2,6,7,8,9,10,12,13,14,15,16,17","Inclusive"
"1693","ECON-570","9","Inclusive"
"1694","ECON-584","1,6,7,8,9,12,13,14,15","Focused"
"1695","ECON-590","9,17","Inclusive"
"1696","ECON-593","4,8,9,17","Inclusive"
"1697","ECON-601","7,8,9,10","Inclusive"
"1698","ECON-602","1,7,8,9,10","Inclusive"
"1699","ECON-603","1,7,8","Inclusive"
"1700","ECON-604","7,9","Inclusive"
"1701","ECON-605","7,8,9","Inclusive"
"1702","ECON-606","7","Inclusive"
"1703","ECON-608","7,9","Inclusive"
"1704","ECON-609","7,8,10","Inclusive"
"1705","ECON-611","1,7,8,9,10","Inclusive"
"1706","ECON-613","1,7,8,9,10","Inclusive"
"1707","ECON-615","1,7,8,9","Inclusive"
"1708","ECON-616","1,4,7,8,9,12","Inclusive"
"1709","ECON-620A","7,9","Inclusive"
"1710","ECON-620B","7,9","Inclusive"
"1711","ECON-625","1,8,9,17","Inclusive"
"1712","ECON-634","1,4,7,8,9,16","Inclusive"
"1713","ECON-641","1,5,7,8,9,10,17","Inclusive"
"1714","ECON-642","1,2,4,5,7,8,9,10,11,12,16,17","Inclusive"
"1715","ECON-650","1,7,8,9","Inclusive"
"1716","ECON-652","1,7,8,9,10","Inclusive"
"1717","ECON-653","1,2,7,8,9,10,11,16","Inclusive"
"1718","ECON-663","8,9,10","Inclusive"
"1719","ECON-680","1,2,7,8,9,16","Inclusive"
"1720","ECON-687","1,8,9,11,17","Inclusive"
"1721","ECON-688","2,7,8,9","Inclusive"
"1722","ECON-690","1,8,9,17","Inclusive"
"1723","ECON-691","17","Inclusive"
"1724","ECON-692","1,2,6,8,9,11,17","Inclusive"
"1725","ECON-694","1,8,9,13,17","Inclusive"
"1726","ECON-715","9","Inclusive"
"1727","EDCO-503","12,15","Focused"
"1728","EDCO-505","4,8,9,12,15","Focused"
"1729","EDCO-541","17","Inclusive"
"1730","EDCO-574","4,17","Inclusive"
"1731","EDCO-575","1,4","Inclusive"
"1732","EDHP-500","1,4,5,11","Inclusive"
"1733","EDHP-551","1,4,5,8,9,17","Inclusive"
"1734","EDHP-552","1,4,5,8,9,10,16","Inclusive"
"1735","EDHP-563","1,4,8,9","Inclusive"
"1736","EDHP-565","1,5,8,9,10,16,17","Inclusive"
"1737","EDHP-580","4,8,11","Inclusive"
"1738","EDHP-587","1,4,5","Inclusive"
"1739","EDHP-593A","17","Inclusive"
"1740","EDHP-593B","17","Inclusive"
"1741","EDHP-657","1,4,8,9,12","Inclusive"
"1742","EDHP-679","1,4,8,11,15","Focused"
"1743","EDHP-687","1,4,8,9,15,17","Inclusive"
"1744","EDPT-502","1,4,8,9,10,17","Inclusive"
"1745","EDUC-210","9,17","Inclusive"
"1746","EDUC-421","1,4,8,13","Focused"
"1747","EDUC-422","1,4,5,10,11,12,13,16","Inclusive"
"1748","EDUC-423","1,4,10","Inclusive"
"1749","EDUC-426","1,4,9,17","Inclusive"
"1750","EDUC-427","4,8,9,17","Inclusive"
"1751","EDUC-428","4,11,16,17","Inclusive"
"1752","EDUC-429","1,4,8,9","Inclusive"
"1753","EDUC-430","4,9,17","Inclusive"
"1754","EDUC-500","11,12,15","Focused"
"1755","EDUC-503","9,17","Inclusive"
"1756","EDUC-507","8,9,11,12,15,17","Inclusive"
