"SECTION","SCHOOL","COURSE_CODE.","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE.................","...............................................................................................................................................................................................................................................................................","MODE","Link....PUBLISH.","START_TIME","END_TIME","DAYS..","TOTAL_ENR","MODALITY....ASSIGNED_ROOM","TOTAL_ENR.1","DEPT.OWNER.NAME....................................................................................","CAMPUS","SEATS","Beg.Date..","End.Date..","DEPARTMENT........................................","........................."
"19285","CNTV","CTWR-505",37,2,2,"Creating the Short Film","","C","Y","14:00","16:50","W",12,"SCA316",12,"School of Cinematic Arts","UPC",12,"1/13/2020","5/1/2020","Writing",NA
"19283","CNTV","CTWR-505",37,2,2,"Creating the Short Film","","C","Y","14:00","16:50","W",12,"SCB101",12,"School of Cinematic Arts","UPC",12,"1/13/2020","5/1/2020","Writing",NA
"19446","CNTV","CTWR-510",37,2,2,"Fundamentals of Storytelling","for Animation","C","Y","13:00","15:50","M",9,"SCI209",9,"School of Cinematic Arts","UPC",10,"1/13/2020","5/1/2020","Writing",NA
"19233","CNTV","CTWR-514B",37,2,2,"Basic Dramatic Screenwriting","","C","Y","13:00","15:50","T",7,"SCA361",7,"School of Cinematic Arts","UPC",7,"1/13/2020","5/1/2020","Writing",NA
"19235","CNTV","CTWR-514B",37,2,2,"Basic Dramatic Screenwriting","","C","Y","16:00","18:50","T",7,"SCA361",7,"School of Cinematic Arts","UPC",7,"1/13/2020","5/1/2020","Writing",NA
"19236","CNTV","CTWR-514B",37,2,2,"Basic Dramatic Screenwriting","","C","Y","10:00","12:50","T",6,"SCA361",6,"School of Cinematic Arts","UPC",6,"1/13/2020","5/1/2020","Writing",NA
"19234","CNTV","CTWR-514B",37,2,2,"Basic Dramatic Screenwriting","","C","Y","10:00","12:50","T",6,"SCB304",6,"School of Cinematic Arts","UPC",6,"1/13/2020","5/1/2020","Writing",NA
"19237","CNTV","CTWR-514B",37,2,2,"Basic Dramatic Screenwriting","","C","Y","16:00","18:50","T",7,"SCA345",7,"School of Cinematic Arts","UPC",7,"1/13/2020","5/1/2020","Writing",NA
"19242","CNTV","CTWR-515B",37,4,4,"Practicum in Screenwriting","","C","Y","16:00","18:50","H",6,"SCA362",6,"School of Cinematic Arts","UPC",6,"1/13/2020","5/1/2020","Writing",NA
"19310","CNTV","CTWR-515B",37,4,4,"Practicum in Screenwriting","","C","Y","13:00","15:50","H",6,"SCA342",6,"School of Cinematic Arts","UPC",6,"1/13/2020","5/1/2020","Writing",NA
"19252","CNTV","CTWR-516",37,2,2,"Advanced Motion Picture Scrip","t Analysis","C","Y","13:00","16:50","H",31,"SCA110",31,"School of Cinematic Arts","UPC",31,"1/13/2020","5/1/2020","Writing",NA
"19251","CNTV","CTWR-516",37,2,2,"Advanced Motion Picture Scrip","t Analysis","C","N","13:00","16:50","T",0,"SCA110",0,"School of Cinematic Arts","UPC",50,"1/13/2020","5/1/2020","Writing",NA
"19449","CNTV","CTWR-516",37,2,2,"Advanced Motion Picture Scrip","t Analysis","C","Y","9:00","12:50","F",79,"SCA112",79,"School of Cinematic Arts","UPC",105,"1/13/2020","5/1/2020","Writing",NA
"19243","CNTV","CTWR-517B",37,4,4,"Thesis in Half-Hour Televisio","n Comedy","C","Y","13:00","15:50","H",5,"SCA345",5,"School of Cinematic Arts","UPC",5,"1/13/2020","5/1/2020","Writing",NA
"19368","CNTV","CTWR-517B",37,4,4,"Thesis in Half-Hour Televisio","n Comedy","C","N","13:00","15:50","H",0,"",0,"School of Cinematic Arts","UPC",7,"1/13/2020","5/1/2020","Writing",NA
"19244","CNTV","CTWR-518",37,2,2,"Introduction to Interactive W","riting","C","N","19:00","22:00","T",0,"",0,"School of Cinematic Arts","UPC",10,"1/13/2020","5/1/2020","Writing",NA
"19253","CNTV","CTWR-518",37,2,2,"Introduction to Interactive W","riting","C","Y","14:00","16:50","F",15,"SCI209",15,"School of Cinematic Arts","UPC",15,"1/13/2020","5/1/2020","Writing",NA
"19246","CNTV","CTWR-519B",37,4,4,"Thesis in Television Drama","","C","Y","13:00","15:50","T",6,"SCA345",6,"School of Cinematic Arts","UPC",6,"1/13/2020","5/1/2020","Writing",NA
"19247","CNTV","CTWR-519B",37,4,4,"Thesis in Television Drama","","C","N","19:00","22:00","W",0,"",0,"School of Cinematic Arts","UPC",5,"1/13/2020","5/1/2020","Writing",NA
"19319","CNTV","CTWR-519B",37,4,4,"Thesis in Television Drama","","C","Y","13:00","15:50","H",7,"SCA362",7,"School of Cinematic Arts","UPC",7,"1/13/2020","5/1/2020","Writing",NA
"19256","CNTV","CTWR-520",37,2,2,"Advanced Scene Writing Worksh","op","C","N","10:00","12:50","H",0,"SCB304",0,"School of Cinematic Arts","UPC",12,"1/13/2020","5/1/2020","Writing",NA
"19258","CNTV","CTWR-520",37,2,2,"Advanced Scene Writing Worksh","op","C","N","10:00","12:50","F",0,"SCB101",0,"School of Cinematic Arts","UPC",12,"1/13/2020","5/1/2020","Writing",NA
"19257","CNTV","CTWR-520",37,2,2,"Advanced Scene Writing Worksh","op","C","Y","10:00","12:50","W",7,"SCB101",7,"School of Cinematic Arts","UPC",12,"1/13/2020","5/1/2020","Writing",NA
"19260","CNTV","CTWR-521",37,2,2,"Advanced Hour-Long Television","Drama","C","Y","14:00","16:50","M",6,"SCA361",6,"School of Cinematic Arts","UPC",10,"1/13/2020","5/1/2020","Writing",NA
"19379","CNTV","CTWR-523",37,4,4,"Introduction to the Screenpla","y","C","Y","19:00","22:00","W",10,"SCB304",10,"School of Cinematic Arts","UPC",10,"1/13/2020","5/1/2020","Writing",NA
"19378","CNTV","CTWR-523",37,4,4,"Introduction to the Screenpla","y","C","Y","13:00","15:50","M",8,"SCA362",8,"School of Cinematic Arts","UPC",10,"1/13/2020","5/1/2020","Writing",NA
"19305","CNTV","CTWR-523",37,4,4,"Introduction to the Screenpla","y","C","Y","16:00","18:50","M",10,"SCB101",10,"School of Cinematic Arts","UPC",10,"1/13/2020","5/1/2020","Writing",NA
"19307","CNTV","CTWR-523",37,4,4,"Introduction to the Screenpla","y","C","Y","13:00","15:50","W",10,"SCA342",10,"School of Cinematic Arts","UPC",10,"1/13/2020","5/1/2020","Writing",NA
"19267","CNTV","CTWR-529",37,2,2,"Intermediate Screenwriting","","C","Y","19:00","22:00","T",9,"SCI209",9,"School of Cinematic Arts","UPC",12,"1/13/2020","5/1/2020","Writing",NA
"19268","CNTV","CTWR-529",37,2,2,"Intermediate Screenwriting","","C","Y","19:00","22:00","T",11,"SCB101",11,"School of Cinematic Arts","UPC",12,"1/13/2020","5/1/2020","Writing",NA
"19276","CNTV","CTWR-533A",37,4,4,"Writing the Feature Script","","C","N","13:00","15:50","W",0,"SCA342",0,"School of Cinematic Arts","UPC",8,"1/13/2020","5/1/2020","Writing",NA
"19424","CNTV","CTWR-533A",37,4,4,"Writing the Feature Script","","C","N","16:00","18:50","M",0,"SCB101",0,"School of Cinematic Arts","UPC",8,"1/13/2020","5/1/2020","Writing",NA
"19286","CNTV","CTWR-533B",37,4,4,"Writing the Feature Script","","C","Y","10:00","12:50","M",7,"SCA345",7,"School of Cinematic Arts","UPC",8,"1/13/2020","5/1/2020","Writing",NA
"19284","CNTV","CTWR-533B",37,4,4,"Writing the Feature Script","","C","Y","10:00","12:50","M",8,"SCB207",8,"School of Cinematic Arts","UPC",8,"1/13/2020","5/1/2020","Writing",NA
"19322","CNTV","CTWR-537",37,4,4,"Advanced Half-Hour Comedy Ser","ies Pilot","C","Y","13:00","15:50","F",7,"SCA362",7,"School of Cinematic Arts","UPC",8,"1/13/2020","5/1/2020","Writing",NA
"19324","CNTV","CTWR-537",37,4,4,"Advanced Half-Hour Comedy Ser","ies Pilot","C","Y","16:00","18:50","W",8,"SCA342",8,"School of Cinematic Arts","UPC",8,"1/13/2020","5/1/2020","Writing",NA
"19344","CNTV","CTWR-537",37,4,4,"Advanced Half-Hour Comedy Ser","ies Pilot","C","N","16:00","18:50","W",0,"",0,"School of Cinematic Arts","UPC",8,"1/13/2020","5/1/2020","Writing",NA
"19327","CNTV","CTWR-539",37,4,4,"Advanced Hour-Long Drama Seri","es Pilot","C","Y","19:00","22:00","W",7,"SCA345",7,"School of Cinematic Arts","UPC",7,"1/13/2020","5/1/2020","Writing",NA
"19328","CNTV","CTWR-539",37,4,4,"Advanced Hour-Long Drama Seri","es Pilot","C","Y","16:00","18:50","W",6,"SCA345",6,"School of Cinematic Arts","UPC",6,"1/13/2020","5/1/2020","Writing",NA
"19447","CNTV","CTWR-539",37,4,4,"Advanced Hour-Long Drama Seri","es Pilot","C","N","19:00","22:00","W",0,"",0,"School of Cinematic Arts","UPC",8,"1/13/2020","5/1/2020","Writing",NA
"19445","CNTV","CTWR-539",37,4,4,"Advanced Hour-Long Drama Seri","es Pilot","C","Y","13:00","15:50","W",6,"SCA345",6,"School of Cinematic Arts","UPC",7,"1/13/2020","5/1/2020","Writing",NA
"19312","CNTV","CTWR-541",37,2,2,"Dreams, the Brain, and Storyt","elling","C","N","19:00","22:00","W",0,"RZC111",0,"School of Cinematic Arts","UPC",19,"1/13/2020","5/1/2020","Writing",NA
"19380","CNTV","CTWR-549",37,4,4,"Advanced Rewriting Workshop i","n Hour-Long Drama","C","Y","19:00","22:00","M",7,"SCA259",7,"School of Cinematic Arts","UPC",8,"1/13/2020","5/1/2020","Writing",NA
"19382","CNTV","CTWR-549",37,4,4,"Advanced Rewriting Workshop i","n Hour-Long Drama","C","Y","10:00","12:50","T",5,"SCA363",5,"School of Cinematic Arts","UPC",8,"1/13/2020","5/1/2020","Writing",NA
"19151","CNTV","CTWR-550",37,2,2,"Advanced Story Development","","C","Y","13:00","15:50","W",10,"SCA362",10,"School of Cinematic Arts","UPC",10,"1/13/2020","5/1/2020","Writing",NA
"19240","CNTV","CTWR-553",37,4,4,"Advanced Rewriting Workshop","","C","N","16:00","18:50","H",0,"SCB101",0,"School of Cinematic Arts","UPC",8,"1/13/2020","5/1/2020","Writing",NA
"19335","CNTV","CTWR-553",37,4,4,"Advanced Rewriting Workshop","","C","N","13:00","15:50","M",0,"SCA345",0,"School of Cinematic Arts","UPC",8,"1/13/2020","5/1/2020","Writing",NA
"19296","CNTV","CTWR-555",37,2,2,"Pitching for Film and Televis","ion","C","Y","19:00","22:00","T",12,"SCA342",12,"School of Cinematic Arts","UPC",12,"1/13/2020","5/1/2020","Writing",NA
"19295","CNTV","CTWR-555",37,2,2,"Pitching for Film and Televis","ion","C","Y","19:00","22:00","M",11,"SCA342",11,"School of Cinematic Arts","UPC",12,"1/13/2020","5/1/2020","Writing",NA
"19415","CNTV","CTWR-555",37,2,2,"Pitching for Film and Televis","ion","C","N","19:00","22:00","H",0,"SCB101",0,"School of Cinematic Arts","UPC",13,"1/13/2020","5/1/2020","Writing",NA
"19384","CNTV","CTWR-560",37,2,2,"Advanced Business Practices f","or Writers","C","N","19:00","22:00","H",0,"",0,"School of Cinematic Arts","UPC",12,"1/13/2020","5/1/2020","Writing",NA
"19388","CNTV","CTWR-585",37,2,2,"Advanced Genre Writing","","C","N","13:00","15:50","W",0,"",0,"School of Cinematic Arts","UPC",10,"1/13/2020","5/1/2020","Writing",NA
"19386","CNTV","CTWR-585",37,2,2,"Advanced Genre Writing","","C","N","10:00","12:50","W",0,"",0,"School of Cinematic Arts","UPC",9,"1/13/2020","5/1/2020","Writing",NA
"19387","CNTV","CTWR-585",37,2,2,"Advanced Genre Writing","","C","N","10:00","12:50","W",0,"",0,"School of Cinematic Arts","UPC",8,"1/13/2020","5/1/2020","Writing",NA
"19158","CNTV","CTWR-585",37,2,2,"Advanced Genre Writing","","C","N","19:00","22:00","M",0,"SCB304",0,"School of Cinematic Arts","UPC",13,"1/13/2020","5/1/2020","Writing",NA
"19150","CNTV","CTWR-585",37,4,4,"Advanced Genre Writing","","C","N","10:00","12:50","H",0,"",0,"School of Cinematic Arts","UPC",8,"1/13/2020","5/1/2020","Writing",NA
"19250","CNTV","CTWR-585",37,2,2,"Advanced Genre Writing","","C","N","16:00","18:50","M",0,"SCA362",0,"School of Cinematic Arts","UPC",17,"1/13/2020","5/1/2020","Writing",NA
"19403","CNTV","CTWR-599",37,2,2,"Special Topics","","C","Y","19:00","22:00","M",23,"SCA255",23,"School of Cinematic Arts","UPC",30,"1/13/2020","5/1/2020","Writing",NA
"37402","CNTV","IML-104",1,2,2,"Introduction to Digital Studi","es","CL","Y","16:00","17:50","H",8,"SCI L105",8,"School of Cinematic Arts","UPC",20,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37410","CNTV","IML-201",1,4,4,"The Languages of Digital Medi","a","CL","Y","10:00","12:50","T",7,"SCI L105",7,"School of Cinematic Arts","UPC",20,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37413","CNTV","IML-203",1,4,4,"Media Arts and Practice Studi","o II","CL","Y","13:00","15:50","W",24,"SCI L106",24,"School of Cinematic Arts","UPC",25,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37414","CNTV","IML-230",1,4,4,"Fundamentals of Media Design","","CL","Y","11:00","13:50","M",14,"SCI L104",14,"School of Cinematic Arts","UPC",20,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37415","CNTV","IML-288",1,4,4,"Critical Thinking and Procedu","ral Media","CL","Y","10:00","12:50","H",12,"SCI209",12,"School of Cinematic Arts","UPC",20,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37416","CNTV","IML-295",1,4,4,"Race, Class and Gender in Dig","ital Culture","CL","Y","13:00","15:50","H",13,"SCI L105",13,"School of Cinematic Arts","UPC",20,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37420","CNTV","IML-300",1,4,4,"Reading and Writing the Web","","CL","Y","18:00","20:50","H",16,"SCI L105",16,"School of Cinematic Arts","UPC",20,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37421","CNTV","IML-309",1,4,4,"Integrative Design for Mobile","Devices","CL","Y","18:00","20:50","M",12,"SCI L105",12,"School of Cinematic Arts","UPC",20,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37422","CNTV","IML-310",1,2,2,"Professionalism for Media Art","s","CL","Y","11:00","12:50","W",16,"SCI L105",16,"School of Cinematic Arts","UPC",20,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37424","CNTV","IML-328",1,2,2,"Sonic Media Art","","CL","Y","15:00","17:50","M",20,"SCI L104",20,"School of Cinematic Arts","UPC",20,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37425","CNTV","IML-335",1,2,2,"Digital Narrative Design I","","CL","Y","16:00","18:50","W",17,"SCI L105",17,"School of Cinematic Arts","UPC",20,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37427","CNTV","IML-346",1,2,2,"Methods in Digital Research","","CL","Y","16:00","17:50","W",12,"SCI L106",12,"School of Cinematic Arts","UPC",20,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37428","CNTV","IML-354",1,2,2,"Introduction to 3-D Modeling","","CL","Y","9:00","11:50","F",12,"SCI L113",12,"School of Cinematic Arts","UPC",20,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37429","CNTV","IML-365",1,4,4,"Future Cinema","","C","Y","10:00","12:50","W",17,"SCI207",17,"School of Cinematic Arts","UPC",20,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37430","CNTV","IML-385",1,4,4,"Design Fiction and Speculativ","e Futures","CL","Y","10:00","12:50","T",8,"SCI209",8,"School of Cinematic Arts","UPC",20,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37435","CNTV","IML-400",1,4,4,"Creative Coding for the Web","","CL","Y","13:00","15:50","H",6,"SCI209",6,"School of Cinematic Arts","UPC",15,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37436","CNTV","IML-404",1,4,4,"Tangible and Spatial Computin","g","CL","Y","16:00","18:50","M",10,"SCI L113",10,"School of Cinematic Arts","UPC",15,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37437","CNTV","IML-419",1,4,4,"Emotion in Digital Culture","","CL","Y","13:00","15:50","H",9,"SCB101",9,"School of Cinematic Arts","UPC",20,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37438","CNTV","IML-420",191,4,4,"New Media for Social Change","","CL","Y","9:00","11:50","MTWHF",8,"ONLINE",8,"School of Cinematic Arts","UPC",15,"5/18/2020","6/14/2020","Media Arts and Practice",NA
"37443","CNTV","IML-436",1,4,4,"Hypercinemas Studio","","CL","Y","13:00","15:50","M",9,"RZC117",9,"School of Cinematic Arts","UPC",15,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37444","CNTV","IML-440",1,4,4,"Interdisciplinary Honors Thes","is","CL","Y","16:00","17:50","T",5,"SCI L104",5,"School of Cinematic Arts","UPC",15,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37446","CNTV","IML-444",1,2,2,"Thesis Project II","","CL","Y","16:00","17:50","T",11,"SCI L106",11,"School of Cinematic Arts","UPC",15,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37445","CNTV","IML-444",1,2,2,"Thesis Project II","","CL","Y","16:00","17:50","T",14,"SCI L105",14,"School of Cinematic Arts","UPC",15,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37448","CNTV","IML-454",1,4,4,"Advanced Techniques of Spatia","l Representation","CL","Y","14:00","16:50","F",6,"SCI L104",6,"School of Cinematic Arts","UPC",15,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37449","CNTV","IML-456",1,2,2,"Nature, Design and Media","","CL","Y","10:00","12:50","W",9,"SCA259",9,"School of Cinematic Arts","UPC",15,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37452","CNTV","IML-475",1,2,2,"Media Arts Research Lab","","CL","Y","10:00","12:50","M",12,"SCI L105",12,"School of Cinematic Arts","UPC",15,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37454","CNTV","IML-477",1,4,4,"Embodied Storytelling and Imm","ersive Docu-Narratives","CL","Y","13:00","15:50","T",18,"SCI L105",18,"School of Cinematic Arts","UPC",20,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37456","CNTV","IML-490",1,2,2,"Directed Research","","C","Y","TBA","TBA","",2,"OFFICE",2,"School of Cinematic Arts","UPC",5,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37458","CNTV","IML-490",1,1,1,"Directed Research","","C","Y","TBA","TBA","",1,"OFFICE",1,"School of Cinematic Arts","UPC",5,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37457","CNTV","IML-490",1,4,4,"Directed Research","","C","Y","TBA","TBA","",0,"OFFICE",0,"School of Cinematic Arts","UPC",5,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37466","CNTV","IML-521",37,2,2,"Non-Fiction Cinematic Practic","e II","CL","Y","10:00","12:50","W",11,"SCI L104",11,"School of Cinematic Arts","UPC",15,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37470","CNTV","IML-535",37,4,4,"Tactical Media Strategies","","CL","Y","13:00","15:50","W",9,"SCI L105",9,"School of Cinematic Arts","UPC",15,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37472","CNTV","IML-555",37,4,4,"Digital Pedagogies","","CL","Y","16:00","18:50","T",4,"SCI209",4,"School of Cinematic Arts","UPC",15,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37480","CNTV","IML-590",37,2,2,"Directed Research","","C","Y","TBA","TBA","",3,"OFFICE",3,"School of Cinematic Arts","UPC",5,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37481","CNTV","IML-590",37,4,4,"Directed Research","","C","Y","TBA","TBA","",0,"OFFICE",0,"School of Cinematic Arts","UPC",5,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37482","CNTV","IML-599",37,4,4,"Special Topics","","CL","Y","16:00","18:50","W",14,"SCI209",14,"School of Cinematic Arts","UPC",15,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37487","CNTV","IML-602",37,4,4,"Practice of Media Arts","","CL","Y","18:00","20:50","H",3,"SCI209",3,"School of Cinematic Arts","UPC",15,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37488","CNTV","IML-603",37,1,1,"Media Arts and Practice Collo","quium/Professional Seminar","C","Y","10:00","11:50","F",7,"SCI209",7,"School of Cinematic Arts","UPC",15,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37495","CNTV","IML-794A",37,2,2,"Doctoral Dissertation","","C","Y","TBA","TBA","",1,"OFFICE",1,"School of Cinematic Arts","UPC",5,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37496","CNTV","IML-794B",37,2,2,"Doctoral Dissertation","","C","Y","TBA","TBA","",2,"OFFICE",2,"School of Cinematic Arts","UPC",5,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37497","CNTV","IML-794C",37,2,2,"Doctoral Dissertation","","C","Y","TBA","TBA","",1,"OFFICE",1,"School of Cinematic Arts","UPC",5,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37498","CNTV","IML-794D",37,2,2,"Doctoral Dissertation","","C","Y","TBA","TBA","",3,"OFFICE",3,"School of Cinematic Arts","UPC",5,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"37499","CNTV","IML-794Z",37,0,0,"Doctoral Dissertation","","C","Y","TBA","TBA","",3,"OFFICE",3,"School of Cinematic Arts","UPC",5,"1/13/2020","5/1/2020","Media Arts and Practice",NA
"22356","DANC","DANC-105",1,4,4,"Dance Science: Analysis of Da","nce Movement","C","Y","14:00","15:40","MW",31,"A           ONLINE",31,"Glorya Kaufman School of Dance","UPC",40,"1/13/2020","5/1/2020","Dance",NA
"22357","DANC","DANC-107",1,2,2,"World Perspective on Dance Pe","rformance","C","Y","16:00","17:40","H",7,"KDC235",7,"Glorya Kaufman School of Dance","UPC",60,"1/13/2020","5/1/2020","Dance",NA
"22360","DANC","DANC-110",1,3,3,"Dance Technique I","","C","Y","9:00","11:50","MTWHF",26,"TBA",26,"Glorya Kaufman School of Dance","UPC",26,"1/13/2020","5/1/2020","Dance",NA
"22362","DANC","DANC-120",1,2,2,"Repertory and Performance I","","C","Y","14:00","16:50","MWF",26,"KDC220",26,"Glorya Kaufman School of Dance","UPC",26,"1/13/2020","5/1/2020","Dance",NA
"22363","DANC","DANC-120",1,0,0,"Repertory and Performance I","","L","Y","17:30 10:00","20:30 16:00","F S",26,"KDC220 KDC220",26,"Glorya Kaufman School of Dance","UPC",26,"1/13/2020","5/1/2020","Dance","NA"
"22366","DANC","DANC-131",1,2,2,"Improvisation and Composition","II: Introduction","C","Y","14:00","15:20","TH",26,"KDC104",26,"Glorya Kaufman School of Dance","UPC",26,"1/13/2020","5/1/2020","Dance",NA
"22361","DANC","DANC-170",1,2,2,"Choreography and Performance","","CL","Y","12:00","13:20","MW",16,"KDC105",16,"Glorya Kaufman School of Dance","UPC",35,"1/13/2020","5/1/2020","Dance",NA
"22368","DANC","DANC-171",1,1,1,"Commercial Dance: Professiona","l Dance Preparation","C","Y","19:00","20:20","M",12,"KDC106",12,"Glorya Kaufman School of Dance","UPC",25,"1/13/2020","5/1/2020","Dance",NA
"22369","DANC","DANC-175",1,2,2,"Choreography for the Screen","","C","Y","17:00","18:40","M",18,"KDC104",18,"Glorya Kaufman School of Dance","UPC",30,"1/13/2020","5/1/2020","Dance",NA
"22364","DANC","DANC-180",1,2,2,"African Dance","","C","Y","12:00","13:50","F",9,"KDC104",9,"Glorya Kaufman School of Dance","UPC",35,"1/13/2020","5/1/2020","Dance",NA
"22370","DANC","DANC-181A",1,2,2,"Contemporary Dance","","C","N       Y","9:00","10:20","TH",20,"KDC105",20,"Glorya Kaufman School of Dance","UPC",35,"1/13/2020","5/1/2020","Dance",NA
"22374","DANC","DANC-181B",1,2,2,"Contemporary Dance","","C","Y","12:00","13:20","TH",14,"KDC105",14,"Glorya Kaufman School of Dance","UPC",35,"1/13/2020","5/1/2020","Dance",NA
"22393","DANC","DANC-183A",1,2,2,"Ballet","","C","Y","12:00","13:20","MW",28,"KDC220",28,"Glorya Kaufman School of Dance","UPC",35,"1/13/2020","5/1/2020","Dance",NA
"22392","DANC","DANC-183A",1,2,2,"Ballet","","C","Y","9:00","10:20","MW",19,"KDC104",19,"Glorya Kaufman School of Dance","UPC",35,"1/13/2020","5/1/2020","Dance",NA
"22395","DANC","DANC-183B",1,2,2,"Ballet","","C","N       Y","10:30","11:50","MW",20,"KDC104",20,"Glorya Kaufman School of Dance","UPC",21,"1/13/2020","5/1/2020","Dance",NA
"22390","DANC","DANC-183C",1,2,2,"Ballet","","C","N       Y","10:30","11:50","TH",24,"KDC105",24,"Glorya Kaufman School of Dance","UPC",35,"1/13/2020","5/1/2020","Dance",NA
"22396","DANC","DANC-183D",1,2,2,"Ballet","","C","Y","14:00","15:20","TH",12,"KDC105",12,"Glorya Kaufman School of Dance","UPC",35,"1/13/2020","5/1/2020","Dance",NA
"22402","DANC","DANC-184A",1,2,2,"Jazz Dance","","C","Y","10:30","11:50","MW",23,"KDC105",23,"Glorya Kaufman School of Dance","UPC",35,"1/13/2020","5/1/2020","Dance",NA
"22406","DANC","DANC-184B",1,2,2,"Jazz Dance","","C","Y","9:00","10:20","TH",18,"KDC104",18,"Glorya Kaufman School of Dance","UPC",22,"1/13/2020","5/1/2020","Dance",NA
"22410","DANC","DANC-184C",1,2,2,"Jazz Dance","","C","N       Y","12:00","13:20","MW",9,"KDC104",9,"Glorya Kaufman School of Dance","UPC",35,"1/13/2020","5/1/2020","Dance",NA
"22417","DANC","DANC-185A",1,2,2,"Hip Hop Dance","","C","Y","11:00","12:50","F",28,"KDC107",28,"Glorya Kaufman School of Dance","UPC",35,"1/13/2020","5/1/2020","Dance",NA
"22413","DANC","DANC-185A",1,2,2,"Hip Hop Dance","","C","Y","13:00","14:50","F",24,"KDC107",24,"Glorya Kaufman School of Dance","UPC",35,"1/13/2020","5/1/2020","Dance",NA
"22418","DANC","DANC-185A",1,2,2,"Hip Hop Dance","","C","Y","12:00","13:20","TH",17,"KDC106",17,"Glorya Kaufman School of Dance","UPC",35,"1/13/2020","5/1/2020","Dance",NA
"22414","DANC","DANC-185A",1,2,2,"Hip Hop Dance","","C","Y","12:00","13:20","MW",23,"KDC107",23,"Glorya Kaufman School of Dance","UPC",35,"1/13/2020","5/1/2020","Dance",NA
"22416","DANC","DANC-185A",1,2,2,"Hip Hop Dance","","C","Y","13:30","14:50","MW",10,"KDC107",10,"Glorya Kaufman School of Dance","UPC",35,"1/13/2020","5/1/2020","Dance",NA
"22421","DANC","DANC-185A",1,2,2,"Hip Hop Dance","","C","Y","14:30","15:50","TH",21,"KDC107",21,"Glorya Kaufman School of Dance","UPC",35,"1/13/2020","5/1/2020","Dance",NA
"22420","DANC","DANC-185B",1,2,2,"Hip Hop Dance","","C","Y","12:00","13:20","TH",16,"KDC107",16,"Glorya Kaufman School of Dance","UPC",35,"1/13/2020","5/1/2020","Dance",NA
"22425","DANC","DANC-187",1,2,2,"Bollywood Dance","","C","Y","9:00","10:50","F",7,"KDC107",7,"Glorya Kaufman School of Dance","UPC",21,"1/13/2020","5/1/2020","Dance",NA
"22429","DANC","DANC-188A",1,2,2,"International Style Ballroom","Dance","C","Y","16:00","17:50","T",25,"KDC107",25,"Glorya Kaufman School of Dance","UPC",40,"1/13/2020","5/1/2020","Dance",NA
"22431","DANC","DANC-188A",1,2,2,"International Style Ballroom","Dance","C","N       Y","17:30","18:50","MW",7,"KDC107",7,"Glorya Kaufman School of Dance","UPC",40,"1/13/2020","5/1/2020","Dance",NA
"22428","DANC","DANC-188A",1,2,2,"International Style Ballroom","Dance","C","Y","16:00","17:20","MW",14,"KDC107",14,"Glorya Kaufman School of Dance","UPC",40,"1/13/2020","5/1/2020","Dance",NA
