"SECTION","SCHOOL","COURSE_CODE","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE","MODE","Link","PUBLISH","START_TIME","END_TIME","DAYS","TOTAL_ENR","MODALITY","INSTRUCTOR_NAME","ASSIGNED_ROOM","TOTAL_ENR1","COURSE_DESCRIPTION","DEPARTMENT","origin"
"33860","FA","ART-150","1","4","4","Introduction to Photography: Process and Concept","C","","Y","12:00","14:40","TH","0","","Kelley, David, M","IFT141","0","Digital photography as a medium of contemporary art. Includes concept development, DSLR cameras, lighting, digital workflow, software, large format printing and installation.","ART","20233"
"33862","FA","ART-150","1","4","4","Introduction to Photography: Process and Concept","C","","Y","15:00","17:40","TH","0","","Kelley, David, M","IFT141","0","Digital photography as a medium of contemporary art. Includes concept development, DSLR cameras, lighting, digital workflow, software, large format printing and installation.","ART","20233"
"33859","FA","ART-207A","1","2","2","Two-Dimensional Art Workshop","C","","Y","9:00","11:40","F","0","","","WAH102A","0","Studio practice to develop drawing fundamentals for game designers, animators and narrative artists.","ART","20233"
"33858","FA","ART-207A","1","2","2","Two-Dimensional Art Workshop","C","","Y","9:00","11:40","F","0","","","WAH118","0","Studio practice to develop drawing fundamentals for game designers, animators and narrative artists.","ART","20233"
"33872","FA","ART-255","1","4","4","Black and White Film and Darkroom Photography","C","","Y","15:00","17:40","TH","0","","","HAR211","0","Introduces film cameras, development, and darkroom techniques, photographic history, theory and practice within an art context.","ART","20233"
"33870","FA","ART-255","1","4","4","Black and White Film and Darkroom Photography","C","","Y","12:00","14:40","MW","0","","Paull, Julia, E","HAR211","0","Introduces film cameras, development, and darkroom techniques, photographic history, theory and practice within an art context.","ART","20233"
"33871","FA","ART-255","1","4","4","Black and White Film and Darkroom Photography","C","","N","12:00","14:40","TH","0","","","HAR211","0","Introduces film cameras, development, and darkroom techniques, photographic history, theory and practice within an art context.","ART","20233"
"33865","FA","ART-260","1","4","4","Introduction to Video: Projection and Virtual Worlds in Art","C","","Y","9:00","11:40","MW","0","","Chang, Patty","WAH6","0","An introductory course exploring contemporary processes and practices of video experimentation in art including the camera, editing, digital manipulation and spatial and virtual platforms.","ART","20233"
"33801","FA","ART-280","1","2","2","Studio Critique I","C","","Y","15:00","17:40","M","0","","Mandler, Marisa, Celia","HAR211","0","Interdisciplinary forum where students develop research skills, learn how to best articulate their artistic production, discuss materials related to their research interests, and critique the work of their peers.","ART","20233"
"33800","FA","ART-280","1","2","2","Studio Critique I","C","","Y","15:00","17:40","W","0","","Mandler, Marisa, Celia","HAR211","0","Interdisciplinary forum where students develop research skills, learn how to best articulate their artistic production, discuss materials related to their research interests, and critique the work of their peers.","ART","20233"
"33850","FA","ART-310","1","4","4","Drawing II","C","","Y","12:00","14:40","MW","0","","Mandler, Marisa, Celia","WAH102A","0","Directed examination of personal approaches to drawing with emphasis on making visual and artistic decisions and developing additional skills and sources of inspiration. Individual expression will be encouraged.","ART","20233"
"33853","FA","ART-312","1","4","4","Comics Project","C","","Y","15:00","17:40","TH","0","","Mayerson, Keith","WAH102A","0","All aspects of comics will be covered, from writing and composition to inking and marketing through the production of an individual multi-page comic creation.","ART","20233"
"33852","FA","ART-312","1","4","4","Comics Project","C","","Y","12:00","14:40","TH","0","","","WAH102A","0","All aspects of comics will be covered, from writing and composition to inking and marketing through the production of an individual multi-page comic creation.","ART","20233"
"33851","FA","ART-314","1","2","2","Illustration for Art and Design","C","","Y","12:00","14:40","F","0","","","WAH118","0","Illustration techniques and professional practices across the range of fine art, comics, editorial illustration, narrative arts, visual development and others. Digital and hybrid approaches.","ART","20233"
"33883","FA","ART-320","1","4","4","Painting II","C","","Y","18:00","20:40","TH","0","","","HAR203","0","Directed examination of historic and contemporary painting concepts and aesthetics, investigation into personal ideas towards the development of a creative visual language and practice in painting.","ART","20233"
"33366","FA","ART-330","1","4","4","Ceramics II","C","","Y","12:00","14:40","TH","0","","","WAH107","0","Directed examination of aesthetic concepts and investigation into personal ideas as they relate to the development of a creative visual language in ceramics.","ART","20233"
"33875","FA","ART-350","1","4","4","Intermediate Photography: Studio, Field, Independent Project","C","","Y","12:00","14:40","MW","0","","Clerc, Caroline","IFT141","0","Continued examination of the conceptual, technical, aesthetic and historical tools necessary for a well-informed deliberate art practice. Emphasis on generating self-directed ideas.","ART","20233"
"33868","FA","ART-362","1","4","4","Ideas in Intermedia","C","","Y","12:00","13:50","TH","0","","Bustamante, Nao","WAH102B","0","An examination of the impact of digital media on contemporary culture, with attention to a particular, changing topic each semester.","ART","20233"
"33886","FA","ART-370","1","4","4","Printmaking","C","","Y","18:00","20:40","TH","0","","","HAR117","0","Introductory course in various printmaking techniques; necessary skills and inherent expressive qualities of different printmaking methods are explored.","ART","20233"
"33885","FA","ART-370","1","4","4","Printmaking","C","","Y","15:00","17:40","TH","0","","Mandler, Marisa, Celia","HAR117","0","Introductory course in various printmaking techniques; necessary skills and inherent expressive qualities of different printmaking methods are explored.","ART","20233"
"33804","FA","ART-380","1","2","2","Studio Critique II","C","","N","18:00","20:40","T","0","","","WAH108","0","A continuation of ART 280 for third-year students, providing an interdisciplinary forum for artistic practice and a deepening critique of one's work and the work of peers.","ART","20233"
"33803","FA","ART-380","1","2","2","Studio Critique II","C","","Y","18:00","20:40","H","0","","","WAH108","0","A continuation of ART 280 for third-year students, providing an interdisciplinary forum for artistic practice and a deepening critique of one's work and the work of peers.","ART","20233"
"33802","FA","ART-380","1","2","2","Studio Critique II","C","","Y","12:00","14:40","F","0","","Robison, Jean","WAH102B","0","A continuation of ART 280 for third-year students, providing an interdisciplinary forum for artistic practice and a deepening critique of one's work and the work of peers.","ART","20233"
"33854","FA","ART-410","1","4","4","Topics in Advanced Drawing","C","","Y","18:00","20:40","TH","0","","Liebowitz, Karen","HAR202","0","Examination of personal approaches and professional careers in drawing and 2D art making, emphasis on making a body of work with creative freedom in committed studio space.","ART","20233"
"33855","FA","ART-415","1","4","4","Studies in Drawing and Painting","C","","Y","15:00","17:40","TH","0","","Liebowitz, Karen","HAR203","0","A studio examination of rotating topics in drawing/painting, either media-based or content-driven, with individual and collaborative projects; topics change each semester.","ART","20233"
"33791","FA","ART-418","1","1","4","Independent Studies in Studio Arts","C","","Y","TBA","TBA","","0","","","OFFICE","0","Independent research of specific topics under the direction of a faculty member. Administrative and faculty approval required.","ART","20233"
"33792","FA","ART-418","1","1","4","Independent Studies in Studio Arts","C","","Y","TBA","TBA","","0","","","OFFICE","0","Independent research of specific topics under the direction of a faculty member. Administrative and faculty approval required.","ART","20233"
"33790","FA","ART-418","1","1","4","Independent Studies in Studio Arts","C","","Y","TBA","TBA","","0","","","OFFICE","0","Independent research of specific topics under the direction of a faculty member. Administrative and faculty approval required.","ART","20233"
"33793","FA","ART-418","1","1","4","Independent Studies in Studio Arts","C","","Y","TBA","TBA","","0","","","OFFICE","0","Independent research of specific topics under the direction of a faculty member. Administrative and faculty approval required.","ART","20233"
"33794","FA","ART-419","1","2","2","Professional Internship in the Arts","C","","Y","TBA","TBA","","0","","","ONLINE","0","An experiential/academic opportunity in a museum, gallery, community cultural center or related facility. Lectures, seminars, written analysis and working internship.","ART","20233"
"33884","FA","ART-420","1","4","4","Topics in Advanced Painting","C","","Y","12:00","14:40","MW","0","","","HAR201","0","Examination of personal approaches and professional careers in painting and 2D art making, emphasis on making a body ofwork with creative freedom in committed studio space.","ART","20233"
"33367","FA","ART-430","1","4","4","Topics in Advanced Ceramics","C","","Y","15:00","17:40","MW","0","","Mueller, Thomas, P.","WAH107","0","Continued directed examination of aesthetic concepts and investigation into personal ideas as they relate to the development of a creative visual language in ceramics.","ART","20233"
"33368","FA","ART-441","1","4","4","Installation Art","C","","Y","12:00","14:40","MW","0","","","WAH108","0","Students challenge the traditional art object as they explore the use of space and time in their artwork.","ART","20233"
"33897","FA","ART-443","1","2","2","Woodworking","C","","Y","15:00","17:40","F","0","","O'Connell, Brian","WAH108","0","Exploration of the essential skills in woodworking through lecture, demonstration and hands-on training. Includes instruction in joinery and relevant machinery and hand tools.","ART","20233"
"33893","FA","ART-444","1","2","2","Modeling and Mold Making","C","","Y","12:00","14:40","F","0","","","WAH108","0","Introduction to plaster mold making using clay and wax for both ceramics and sculpture. Exploration of various casting materials.","ART","20233"
"33892","FA","ART-445","1","2","2","Metal","C","","Y","9:00","11:40","F","0","","","WAH108","0","Introduction to metal in fine art. Emphasis on technical proficiencies and effective solutions working in a variety of metals.","ART","20233"
"33891","FA","ART-460","1","4","4","Post-Material Studio","C","","Y","12:00","14:40","MW","0","","Chang, Patty","WAH102B","0","Advanced studio and discussion course that affords the student a conceptual and practical platform from which to discuss and realize a major work or series.","ART","20233"
"33876","FA","ART-461","1","2","2","Techniques in After Effects","C","","Y","9:00","11:40","F","0","B","Robison, Jean","WAH6","0","An intensive investigation of the mechanics and methodology of contemporary software for video art. Recommended to be taken concurrently with ART 260.","ART","20233"
"33874","FA","ART-461","1","2","2","Techniques in After Effects","C","","N","9:00","11:40","T","0","","","WAH6","0","An intensive investigation of the mechanics and methodology of contemporary software for video art. Recommended to be taken concurrently with ART 260.","ART","20233"
"33898","FA","ART-463","1","2","2","Performance Art and the Frame","C","","Y","18:00","20:40","W","0","","Arceneaux, Edgar","WAH102B","0","Exploration of iconic performance documentation and creation ofa snapshot and/or moving image narrative, manipulating temporal space to lock it into a frame.","ART","20233"
"33887","FA","ART-470","1","4","4","Topics in Advanced Printmaking","C","","Y","18:00","20:40","TH","0","","","HAR117","0","Directed examination of specific printmaking media in relation to personal aesthetic goals and expressive concepts.","ART","20233"
"33503","FA","ART-485","1","4","4","Studio Capstone","C","","Y","18:00","20:40","TH","0","","Mayerson, Keith","IFT109","0","A faculty-mentored course supporting advanced conceptual exploration and the development of an ambitious, self-defined series or body of work; may culminate in a group exhibition or individual project.","ART","20233"
"33505","FA","ART-499","1","2","2","Special Topics","C","","Y","18:00","20:40","M","0","","Arceneaux, Edgar","TBA","0","Comprehensive exploration of particular aspects of visual art.","ART","20233"
"33504","FA","ART-499","1","2","2","Special Topics","C","","Y","12:00","14:40","F","0","","","WAH102A","0","Comprehensive exploration of particular aspects of visual art.","ART","20233"
"33506","FA","ART-499","1","2","2","Special Topics","C","","Y","9:00","11:40","M","0","","Paull, Julia, E Mueller, Thomas, P.","HAR211","0","Comprehensive exploration of particular aspects of visual art.","ART","20233"
"33312","FA","ART-515","1","2","2","Visiting Artist and Scholar Seminar","C","","Y","19:00 10:00","20:20 12:50","T W","0","","","ATM 113A ATM 113B","0","Lecture and discussion course in the professional practice of art featuring formal presentations by visiting artists and scholars. (Duplicates credit in FA 515)","ART","20233"
"33340","FA","ART-520","1","2","2","Individual Studies","C","","Y","TBA","TBA","M","0","","","OFFICE","0","Investigation of creative problems through various media. Course may be repeated. (Duplicates credit in former FA 520)","ART","20233"
"33336","FA","ART-520","1","2","2","Individual Studies","C","","Y","TBA","TBA","W","0","","Bustamante, Nao","OFFICE","0","Investigation of creative problems through various media. Course may be repeated. (Duplicates credit in former FA 520)","ART","20233"
"33338","FA","ART-520","1","2","2","Individual Studies","C","","Y","TBA","TBA","M","0","","Arceneaux, Edgar","OFFICE","0","Investigation of creative problems through various media. Course may be repeated. (Duplicates credit in former FA 520)","ART","20233"
"33337","FA","ART-520","1","2","2","Individual Studies","C","","Y","TBA","TBA","W","0","","","OFFICE","0","Investigation of creative problems through various media. Course may be repeated. (Duplicates credit in former FA 520)","ART","20233"
"33335","FA","ART-520","1","2","2","Individual Studies","C","","Y","TBA","TBA","W","0","","Arceneaux, Edgar","OFFICE","0","Investigation of creative problems through various media. Course may be repeated. (Duplicates credit in former FA 520)","ART","20233"
"33339","FA","ART-520","1","2","2","Individual Studies","C","","Y","TBA","TBA","M","0","","Bustamante, Nao","OFFICE","0","Investigation of creative problems through various media. Course may be repeated. (Duplicates credit in former FA 520)","ART","20233"
"33311","FA","ART-535","1","2","2","Group Critique","C","","Y","15:00","17:50","T","0","","","ATM 113A","0","Presentation and critique which builds students' skills in presenting and contextualizing their artwork for peer review; analytic discussion regarding directions in contemporary art.","ART","20233"
"33355","FA","ART-590","1","1","12","Directed Research","C","","N","TBA","TBA","","0","","","","0","Research leading to graduate degree. Maximum units which may be applied to degree determined by department. Graded CR/NC. (Duplicates credit in former FA 590)","ART","20233"
"33354","FA","ART-590","1","1","12","Directed Research","C","","Y","TBA","TBA","","0","","West, Jennifer","OFFICE","0","Research leading to graduate degree. Maximum units which may be applied to degree determined by department. Graded CR/NC. (Duplicates credit in former FA 590)","ART","20233"
"33357","FA","ART-594A","1","2","2","Master's Thesis","C","","Y","TBA","TBA","","0","","West, Jennifer","OFFICE","0","Credit on acceptance of Thesis. Open only to master students. Graded CR/NC. (Duplicates credit in former FA 594a)","ART","20233"
"33383","FA","ART-594Z","1","0","0","Master's Thesis","C","","Y","TBA","TBA","","0","","West, Jennifer","OFFICE","0","Credit on acceptance of Thesis. Open only to master students. Graded CR/NC. (Duplicates credit in former FA 594z)","ART","20233"
"33384","FA","ART-599","1","2","2","Special Topics","C","","Y","10:00","11:50","W","0","","","ATM 113A","0","Comprehensive exploration of particular aspects of the history of art. (Duplicates credit in former FA 599)","ART","20233"
"42420","MUS","ARTL-500","1","2","2","Arts Leadership and Arts Entrepreneurship","C","","Y","10:00","11:50","T","0","","Anderson, Helane","KDC240","0","Introduction to key issues involved in both managing an arts organization and creating sustainable enterprise. For students in music, arts, public policy, and related fields.","ARTL","20233"
"42425","MUS","ARTL-501","1","2","2","Executive Leadership in the Arts","C","","Y","18:30","20:20","W","0","","Aesquivel, Tara","KDC241","0","Investigation into a variety of leadership approaches within an arts organization, with a focus on the development of the students own leadership capacity.","ARTL","20233"
"42435","MUS","ARTL-503","1","2","2","Arts Organizations: Innovation and New Models","C","","Y","16:00","17:50","M","0","","Foster, Kenneth, J.","KDC241","0","Designed for current and future arts leaders interested in looking critically at organizational practice and bringing innovative solutions to old problems in a contemporary context.","ARTL","20233"
"42445","MUS","ARTL-510","1","2","2","Arts Leadership Practicum","C","","Y","16:00","17:50","T","0","","Foster, Kenneth, J.","MUS303","0","Year-long practicum which puts ideas and concepts into practice. Each student will conceptualize, develop, and complete an arts project of his/her own choosing.","ARTL","20233"
"42450","MUS","ARTL-520","734","1","1","Arts Leadership Intensive","C","","Y","TBA","TBA","","0","","Foster, Kenneth, J.","MUS314","0","Five-day, intensive course that serves as a deep-dive introduction to the field for all Arts Leadership students.","ARTL","20233"
"42460","MUS","ARTL-590","1","1","12","Directed Research","C","","Y","TBA","TBA","","0","","Foster, Kenneth, J.","MUS314","0","Research leading to the master's degree. Maximum units which maybe applied to the degree to be determined by the department.Graded CR/NC.","ARTL","20233"
"42465","MUS","ARTL-598","1","1","4","Internship for Arts Leadership","C","","Y","TBA","TBA","","0","","Foster, Kenneth, J.","MUS314","0","Practical work experience in the student's field of study, at an off-campus location. Students are individually supervised by faculty.","ARTL","20233"
"42485","MUS","ARTL-790","1","1","12","Research","C","","Y","TBA","TBA","","0","","Foster, Kenneth, J.","MUS314","0","Research leading to the doctorate. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.","ARTL","20233"
"21911","ANSC","ASCJ-200","1","4","4","Navigating Media and News in the Digital Age","C","A","Y","14:00","15:20","TH","0","","Stables, Gordon","ANN L105A","0","Students will be engaged as discriminating media/news consumers and contributors. Emphasis on critical skills needed to understand, employ, enjoy and help shape our media landscape.","ASCJ","20233"
"21910","ANSC","ASCJ-200","1","4","4","Navigating Media and News in the Digital Age","C","A","Y","14:00","15:20","TH","0","","Stables, Gordon","ANN L105A","0","Students will be engaged as discriminating media/news consumers and contributors. Emphasis on critical skills needed to understand, employ, enjoy and help shape our media landscape.","ASCJ","20233"
"21919","ANSC","ASCJ-200","1","0","0","Navigating Media and News in the Digital Age","L","A","Y","10:00","10:50","H","0","","","ANN211","0","Students will be engaged as discriminating media/news consumers and contributors. Emphasis on critical skills needed to understand, employ, enjoy and help shape our media landscape.","ASCJ","20233"
"21915","ANSC","ASCJ-200","1","0","0","Navigating Media and News in the Digital Age","L","A","Y","12:00","12:50","W","0","","","ANN409ABC","0","Students will be engaged as discriminating media/news consumers and contributors. Emphasis on critical skills needed to understand, employ, enjoy and help shape our media landscape.","ASCJ","20233"
"21917","ANSC","ASCJ-200","1","0","0","Navigating Media and News in the Digital Age","L","A","Y","16:00","16:50","W","0","","","ANN211","0","Students will be engaged as discriminating media/news consumers and contributors. Emphasis on critical skills needed to understand, employ, enjoy and help shape our media landscape.","ASCJ","20233"
"21913","ANSC","ASCJ-200","1","0","0","Navigating Media and News in the Digital Age","L","A","Y","11:00","11:50","T","0","","","ANN405","0","Students will be engaged as discriminating media/news consumers and contributors. Emphasis on critical skills needed to understand, employ, enjoy and help shape our media landscape.","ASCJ","20233"
"21912","ANSC","ASCJ-200","1","0","0","Navigating Media and News in the Digital Age","L","A","Y","10:00","10:50","T","0","","","ANN405","0","Students will be engaged as discriminating media/news consumers and contributors. Emphasis on critical skills needed to understand, employ, enjoy and help shape our media landscape.","ASCJ","20233"
"21916","ANSC","ASCJ-200","1","0","0","Navigating Media and News in the Digital Age","L","A","Y","13:00","13:50","W","0","","","ANN409ABC","0","Students will be engaged as discriminating media/news consumers and contributors. Emphasis on critical skills needed to understand, employ, enjoy and help shape our media landscape.","ASCJ","20233"
"21918","ANSC","ASCJ-200","1","0","0","Navigating Media and News in the Digital Age","L","A","Y","9:00","9:50","H","0","","","ANN211","0","Students will be engaged as discriminating media/news consumers and contributors. Emphasis on critical skills needed to understand, employ, enjoy and help shape our media landscape.","ASCJ","20233"
"21914","ANSC","ASCJ-200","1","0","0","Navigating Media and News in the Digital Age","L","A","Y","16:00","16:50","T","0","","","ANN405","0","Students will be engaged as discriminating media/news consumers and contributors. Emphasis on critical skills needed to understand, employ, enjoy and help shape our media landscape.","ASCJ","20233"
"21920","ANSC","ASCJ-210","1","4","4","Contours of Change in Media and Communication","C","B","Y","10:00","11:50","MW","0","","Scheer, Robert","ANN L105A","0","Provides an introduction to cultivating a curious, critical, and proactive approach to the challenges of social change. Students will be encouraged to develop an expansive and critical definition and understanding of change as it relates to the role of media and communication in producing and respon ding to political and cultural transformations that shape our status as citizens and our ideas of citizenship.","ASCJ","20233"
"21923","ANSC","ASCJ-210","1","0","0","Contours of Change in Media and Communication","D","B","Y","10:00","10:50","T","0","","","ANN406","0","Provides an introduction to cultivating a curious, critical, and proactive approach to the challenges of social change. Students will be encouraged to develop an expansive and critical definition and understanding of change as it relates to the role of media and communication in producing and respon ding to political and cultural transformations that shape our status as citizens and our ideas of citizenship.","ASCJ","20233"
"21921","ANSC","ASCJ-210","1","0","0","Contours of Change in Media and Communication","D","B","Y","12:00","12:50","M","0","","","ANN L115","0","Provides an introduction to cultivating a curious, critical, and proactive approach to the challenges of social change. Students will be encouraged to develop an expansive and critical definition and understanding of change as it relates to the role of media and communication in producing and respon ding to political and cultural transformations that shape our status as citizens and our ideas of citizenship.","ASCJ","20233"
"21924","ANSC","ASCJ-210","1","0","0","Contours of Change in Media and Communication","D","B","Y","11:00","11:50","T","0","","","ANN406","0","Provides an introduction to cultivating a curious, critical, and proactive approach to the challenges of social change. Students will be encouraged to develop an expansive and critical definition and understanding of change as it relates to the role of media and communication in producing and respon ding to political and cultural transformations that shape our status as citizens and our ideas of citizenship.","ASCJ","20233"
"21922","ANSC","ASCJ-210","1","0","0","Contours of Change in Media and Communication","D","B","Y","13:00","13:50","M","0","","","ANN L115","0","Provides an introduction to cultivating a curious, critical, and proactive approach to the challenges of social change. Students will be encouraged to develop an expansive and critical definition and understanding of change as it relates to the role of media and communication in producing and respon ding to political and cultural transformations that shape our status as citizens and our ideas of citizenship.","ASCJ","20233"
"29100","ENGR","ASTE-101","1","4","4","Introduction to Astronautics","C","C","Y","8:30","9:50","MW","0","","Erwin, Dan","VHE217","0","Gateway to the Astronautical Engineering major.Introduction to space, space exploration and the space business.Elements of orbits, spacecraft systems, rocket propulsion, and communications.Laboratory: introduction to graphics, computation and simulation.","ASTE","20233"
"29101","ENGR","ASTE-101","1","0","0","Introduction to Astronautics","L","C","Y","9:30","11:20","T","0","","Erwin, Dan","SAL127","0","Gateway to the Astronautical Engineering major.Introduction to space, space exploration and the space business.Elements of orbits, spacecraft systems, rocket propulsion, and communications.Laboratory: introduction to graphics, computation and simulation.","ASTE","20233"
"29104","ENGR","ASTE-291","1","1","1","Team Projects I","C","","Y","17:00","18:20","T","0","","Barnhart, David","OFFICE","0","Participation in ASTE undergraduate student team projects. Intended for lower-division students or those with little prior project experience.Departmental approval.","ASTE","20233"
"29103","ENGR","ASTE-291","1","1","1","Team Projects I","C","","Y","9:00","12:50","W","0","","Barnhart, David","OFFICE","0","Participation in ASTE undergraduate student team projects. Intended for lower-division students or those with little prior project experience.Departmental approval.","ASTE","20233"
"29105","ENGR","ASTE-291","1","1","1","Team Projects I","C","","Y","16:00","17:50","F","0","","Barnhart, David","","0","Participation in ASTE undergraduate student team projects. Intended for lower-division students or those with little prior project experience.Departmental approval.","ASTE","20233"
"28489","ENGR","ASTE-331A","1","3","3","Spacecraft Systems Engineering","C","","Y","12:30","15:20","F","0","","Chase, Jim","SOSB2","0","Introduction to spacecraft systems: propulsion, attitude dynamics and control, structures, communications, power, thermal control.Space environment. Systems engineering as applied to spacecraft.","ASTE","20233"
"32513","ENGR","ASTE-404","1","3","3","Computational Programming and Numerical Methods","C","N","Y","12:30","15:20","H","0","","Brieda, Lubos","DRB146","0","Development of simulation code with high-performance languages such as C++ and Fortran; numerical techniques for continuum and rarefied gas flows, GPU utilization; data visualization, machine learning.","ASTE","20233"
"29120","ENGR","ASTE-490","1","1","8","Directed Research","C","","Y","TBA","TBA","","0","","Barnhart, David","OFFICE","0","Individual research and readings. Not available for graduate credit.","ASTE","20233"
"29125","ENGR","ASTE-491","1","1","1","Team Projects II","C","","Y","16:00","17:50","F","0","","Barnhart, David","KAP158","0","Participation in ASTE undergraduate student team projects. Intended for students with prior project experience.Departmental approval.","ASTE","20233"
"29124","ENGR","ASTE-491","1","1","1","Team Projects II","C","","Y","16:00","17:20","H","0","","Barnhart, David","OFFICE","0","Participation in ASTE undergraduate student team projects. Intended for students with prior project experience.Departmental approval.","ASTE","20233"
"29123","ENGR","ASTE-491","1","1","1","Team Projects II","C","","Y","9:00","12:50","W","0","","Barnhart, David","OFFICE","0","Participation in ASTE undergraduate student team projects. Intended for students with prior project experience.Departmental approval.","ASTE","20233"
"32530","ENGR","ASTE-501A","34","3","3","Physical Gas Dynamics","C","","Y","14:00","16:20","W","0","A","Goodfellow, Keith","DEN@Viterbi","0","Molecular structure; radiative processes; microscopic description of gas phenomena; translational, rotational, vibrational, and electronic freedom degrees; particle energy distributions; microscopic representation of thermodynamic functions.","ASTE","20233"
"32518","ENGR","ASTE-505A","34","3","3","Plasma Dynamics","C","","Y","15:30","18:10","H","0","","Wang, Joseph","DEN@Viterbi","0","Charged particle dynamics. Kinetic and fluid theories. Rarefied and collisional plasma flows. Plasma-surface interactions. Waves, instabilities, turbulence. Applications in engineering and space technology. Recommended preparation: Graduate standing in engineering or physics. (Duplicates credit in E E-572a)","ASTE","20233"
"29158","ENGR","ASTE-505A","48","3","3","Plasma Dynamics","C","","N","15:30","18:10","H","0","","Wang, Joseph","OHE120","0","Charged particle dynamics. Kinetic and fluid theories. Rarefied and collisional plasma flows. Plasma-surface interactions. Waves, instabilities, turbulence. Applications in engineering and space technology. Recommended preparation: Graduate standing in engineering or physics. (Duplicates credit in E E-572a)","ASTE","20233"
"29132","ENGR","ASTE-520","48","3","3","Spacecraft System Design","C","","Y","18:40","21:20","H","0","","Gruntman, Mike","OHE100D","0","System components; vehicle structure, propulsion systems, flight dynamics, thermal control, power systems, telecommunication. Interfaces and tradeoffs between these components. Testing, system reliability, and integration.","ASTE","20233"
"29162","ENGR","ASTE-520","34","3","3","Spacecraft System Design","C","","Y","18:40","21:20","H","0","","Gruntman, Mike","DEN@Viterbi","0","System components; vehicle structure, propulsion systems, flight dynamics, thermal control, power systems, telecommunication. Interfaces and tradeoffs between these components. Testing, system reliability, and integration.","ASTE","20233"
"29122","ENGR","ASTE-524","48","3","3","Human Spaceflight","C","","Y","10:00","12:40","T","0","","Reisman, Garrett, Erin","OHE100D","0","Engineering, technologies, and systems for human spaceflight. Life support, space environments, crew accommodations. Mission operations, safety. Astrodynamics, launch and space vehicles, space stations, planetary bases.","ASTE","20233"
"29152","ENGR","ASTE-524","34","3","3","Human Spaceflight","C","","Y","10:00","12:40","T","0","","Reisman, Garrett, Erin","DEN@Viterbi","0","Engineering, technologies, and systems for human spaceflight. Life support, space environments, crew accommodations. Mission operations, safety. Astrodynamics, launch and space vehicles, space stations, planetary bases.","ASTE","20233"
"29134","ENGR","ASTE-527","48","3","3","Space Exploration Architectures Concept Synthesis Studio","C","","Y","18:40","21:20","T","0","","Thangavelu, Madhu","OHE114","0","Programmatic/conceptual design synthesis/choice creation methods for complex space missions.Aerospace system engineering/architecting tools to create innovative projects. Evaluated by faculty/industry/NASA experts.Graduate standing in engineering or science.Recommended preparation: ASTE-520 or experience in space industry","ASTE","20233"
"29164","ENGR","ASTE-527","34","3","3","Space Exploration Architectures Concept Synthesis Studio","C","","Y","18:40","21:20","T","0","","Thangavelu, Madhu","DEN@Viterbi","0","Programmatic/conceptual design synthesis/choice creation methods for complex space missions.Aerospace system engineering/architecting tools to create innovative projects. Evaluated by faculty/industry/NASA experts.Graduate standing in engineering or science.Recommended preparation: ASTE-520 or experience in space industry","ASTE","20233"
"28475","ENGR","ASTE-528","34","3","3","Reliability of Space Systems","C","","Y","17:10","19:50","F","0","A","Meshkat, Leila","DEN@Viterbi","0","Reliable space system design and operations for human and robotic space, applications, and commercial space.Reliability of space systems, subsystems, hardware, software and human reliability.","ASTE","20233"
"28476","ENGR","ASTE-528","48","3","3","Reliability of Space Systems","C","","Y","17:10","19:50","F","0","","Meshkat, Leila","OHE120","0","Reliable space system design and operations for human and robotic space, applications, and commercial space.Reliability of space systems, subsystems, hardware, software and human reliability.","ASTE","20233"
"29135","ENGR","ASTE-535","48","3","3","Space Environments and Spacecraft Interactions","C","","Y","18:40","21:20","T","0","","Tobiska, William, Kent","OHE100C","0","Space environments and interactions with space systems.Vacuum, neutral and ionized species, plasma, radiation, micrometeoroids. Phenomena important for spacecraft operations.","ASTE","20233"
"29165","ENGR","ASTE-535","34","3","3","Space Environments and Spacecraft Interactions","C","","Y","18:40","21:20","T","0","","Tobiska, William, Kent","DEN@Viterbi","0","Space environments and interactions with space systems.Vacuum, neutral and ionized species, plasma, radiation, micrometeoroids. Phenomena important for spacecraft operations.","ASTE","20233"
"29168","ENGR","ASTE-552","34","3","3","Spacecraft Thermal Control","C","","Y","18:40","21:20","H","0","A","Purohit, Ghanshyam, Purshottamda","DEN@Viterbi","0","Spacecraft and orbit thermal environments; design, analysis, testing of spacecraft thermal control system and components; active and passive thermal control, spacecraft and launch vehicle interfaces. Graduate standing in engineering or science.","ASTE","20233"
"29138","ENGR","ASTE-552","48","3","3","Spacecraft Thermal Control","C","","Y","18:40","21:20","H","0","","Purohit, Ghanshyam, Purshottamda","OHE100B","0","Spacecraft and orbit thermal environments; design, analysis, testing of spacecraft thermal control system and components; active and passive thermal control, spacecraft and launch vehicle interfaces. Graduate standing in engineering or science.","ASTE","20233"
"29139","ENGR","ASTE-553","48","3","3","Systems for Remote Sensing from Space","C","","N","18:40","21:20","H","0","","","RTH105","0","The operations and applications of instruments which produce images of ground scene or probe the atmosphere from space. Graduate standing in engineering or physics.","ASTE","20233"
