"course_title","semester","courseID","section","course_desc","department","N.Sections","year","clean_course_desc"
"Music Video Production","F18","CTPR-497",18598,"Music Video Production - Writing the concept, budgeting, shooting, editing and directing a music video. Also covered: getting the job, dealing with the band, working with the record company.","CTPR",1,"AY19","Music Video Production Writing the concept budgeting shooting editing and directing a music video Also covered getting the job dealing with the band working with the record company"
"Music Video Production","SP19","CTPR-497",18612,"Music Video Production - Writing the concept, budgeting, shooting, editing and directing a music video. Also covered: getting the job, dealing with the band, working with the record company.","CTPR",1,"AY19","Music Video Production Writing the concept budgeting shooting editing and directing a music video Also covered getting the job dealing with the band working with the record company"
"Visual Expression","F18","CTPR-506",18600,"Visual Expression - Exploring the relationship between story structure and visual structure, discussion of aesthetics and technical controls, in-class examples and screenings, photographic assignments.","CTPR",2,"AY19","Visual Expression Exploring the relationship between story structure and visual structure discussion of aesthetics and technical controls in class examples and screenings photographic assignments"
"Visual Expression","SP19","CTPR-506",18615,"Visual Expression - Exploring the relationship between story structure and visual structure, discussion of aesthetics and technical controls, in-class examples and screenings, photographic assignments.","CTPR",2,"AY19","Visual Expression Exploring the relationship between story structure and visual structure discussion of aesthetics and technical controls in class examples and screenings photographic assignments"
"Production I","F18","CTPR-507",18603,"Production I - The effective communication of ideas through the language of cinema; one directing exercise; two short HD projects; introductions to producing, directing, editing, cinematography, and sound.","CTPR",9,"AY19","Production I The effective communication of ideas through the language of cinema one directing exercise two short HD projects introductions to producing directing editing cinematography and sound"
"Production I","SP19","CTPR-507",18460,"Production I - The effective communication of ideas through the language of cinema; one directing exercise; two short HD projects; introductions to producing, directing, editing, cinematography, and sound.","CTPR",9,"AY19","Production I The effective communication of ideas through the language of cinema one directing exercise two short HD projects introductions to producing directing editing cinematography and sound"
"Production II","F18","CTPR-508",18619,"Production II - Practicum in group production, emphasizing the collaborative process and the expressive use of sound and image. Prerequisites: CTPR-507 and CTPR-510 and CTWR-505.","CTPR",4,"AY19","Production II Practicum in group production emphasizing the collaborative process and the expressive use of sound and image Prerequisites CTPR 507 and CTPR 510 and CTWR 505"
"Production II","SP19","CTPR-508",18610,"Production II - Practicum in group production, emphasizing the collaborative process and the expressive use of sound and image. Prerequisites: CTPR-507 and CTPR-510 and CTWR-505.","CTPR",4,"AY19","Production II Practicum in group production emphasizing the collaborative process and the expressive use of sound and image Prerequisites CTPR 507 and CTPR 510 and CTWR 505"
"Global Exchange Workshop","SU18","CTPR-515",18608,"Global Exchange Workshop - An intense workshop in documentary filmmaking. Student teams from;USC and a Chinese university make short documentaries on Los;Angeles and Beijing as global cities. Course taught in the;International Summer Program held in Beijing in alternate summers.;;;","CTPR",1,"AY19","Global Exchange Workshop An intense workshop in documentary filmmaking Student teams from USC and a Chinese university make short documentaries on Los Angeles and Beijing as global cities Course taught in the International Summer Program held in Beijing in alternate summers"
"Reality Television Survey","SP19","CTPR-522",18626,"Reality Television Survey - A comprehensive overview of the world of reality television; each student will develop and pitch an original reality-based program.","CTPR",1,"AY19","Reality Television Survey A comprehensive overview of the world of reality television each student will develop and pitch an original reality based program"
"Introduction to Multiple-Camera Production","F18","CTPR-523",18625,"Introduction to Multiple-Camera Production - How to direct comedy or dramatic scenes, using multiple camera;techniques. Students also serve as crew members, learning;lighting, mixing, studio controls, and stage management.","CTPR",1,"AY19","Introduction to Multiple Camera Production How to direct comedy or dramatic scenes using multiple camera techniques Students also serve as crew members learning lighting mixing studio controls and stage management"
"Introduction to Multiple-Camera Production","SP19","CTPR-523",18623,"Introduction to Multiple-Camera Production - How to direct comedy or dramatic scenes, using multiple camera;techniques. Students also serve as crew members, learning;lighting, mixing, studio controls, and stage management.","CTPR",1,"AY19","Introduction to Multiple Camera Production How to direct comedy or dramatic scenes using multiple camera techniques Students also serve as crew members learning lighting mixing studio controls and stage management"
"Planning the Documentary Production","F18","CTPR-531",18630,"Planning the Documentary Production - A preproduction workshop for the research and planning of a documentary project to be executed in CTPR 547 or an advanced production workshop class. Prerequisite: CTPR 508.","CTPR",1,"AY19","Planning the Documentary Production A preproduction workshop for the research and planning of a documentary project to be executed in CTPR 547 or an advanced production workshop class Prerequisite CTPR 508"
"Planning the Documentary Production","SP19","CTPR-531",18624,"Planning the Documentary Production - A preproduction workshop for the research and planning of a documentary project to be executed in CTPR 547 or an advanced production workshop class. Prerequisite: CTPR 508.","CTPR",1,"AY19","Planning the Documentary Production A preproduction workshop for the research and planning of a documentary project to be executed in CTPR 547 or an advanced production workshop class Prerequisite CTPR 508"
"Intermediate Directing","F18","CTPR-532",18633,"Intermediate Directing - Practical experience in staging dramatic narrative scenes,;emphasizing directing actors, rehearsal techniques and camera;blocking.;;","CTPR",3,"AY19","Intermediate Directing Practical experience in staging dramatic narrative scenes emphasizing directing actors rehearsal techniques and camera blocking"
"Intermediate Directing","SP19","CTPR-532",18627,"Intermediate Directing - Practical experience in staging dramatic narrative scenes,;emphasizing directing actors, rehearsal techniques and camera;blocking.;;","CTPR",3,"AY19","Intermediate Directing Practical experience in staging dramatic narrative scenes emphasizing directing actors rehearsal techniques and camera blocking"
"Directing Techniques","F18","CTPR-533",18638,"Directing Techniques - Practicum in more complex directing issues concentrating both on;performance and exploration of shaping scenes visually through;blocking of action and placement of camera.","CTPR",2,"AY19","Directing Techniques Practicum in more complex directing issues concentrating both on performance and exploration of shaping scenes visually through blocking of action and placement of camera"
"Directing Techniques","SP19","CTPR-533",18632,"Directing Techniques - Practicum in more complex directing issues concentrating both on;performance and exploration of shaping scenes visually through;blocking of action and placement of camera.","CTPR",2,"AY19","Directing Techniques Practicum in more complex directing issues concentrating both on performance and exploration of shaping scenes visually through blocking of action and placement of camera"
"Intermediate Production Design","F18","CTPR-534",18641,"Intermediate Production Design - Exercises concentrating on script analysis, blocking the scene, ground plans, elevations, visual research and concepts, departmental collaboration, and presentation of work.","CTPR",1,"AY19","Intermediate Production Design Exercises concentrating on script analysis blocking the scene ground plans elevations visual research and concepts departmental collaboration and presentation of work"
"Intermediate Editing","F18","CTPR-535",18642,"Intermediate Editing - Editorial construction of sequences to analyze the;interrelationships of the various film elements, both visual and;aural.","CTPR",1,"AY19","Intermediate Editing Editorial construction of sequences to analyze the interrelationships of the various film elements both visual and aural"
"Intermediate Editing","SP19","CTPR-535",18635,"Intermediate Editing - Editorial construction of sequences to analyze the;interrelationships of the various film elements, both visual and;aural.","CTPR",2,"AY19","Intermediate Editing Editorial construction of sequences to analyze the interrelationships of the various film elements both visual and aural"
"Intermediate Cinematography","F18","CTPR-537",18646,"Intermediate Cinematography - Close study through practical in class exercises of the technical and aesthetic principles of cinematography. Introduction to 16mm film and advanced digital cameras.","CTPR",2,"AY19","Intermediate Cinematography Close study through practical in class exercises of the technical and aesthetic principles of cinematography Introduction to 16mm film and advanced digital cameras"
"Intermediate Cinematography","SP19","CTPR-537",18644,"Intermediate Cinematography - Close study through practical in class exercises of the technical and aesthetic principles of cinematography. Introduction to 16mm film and advanced digital cameras.","CTPR",2,"AY19","Intermediate Cinematography Close study through practical in class exercises of the technical and aesthetic principles of cinematography Introduction to 16mm film and advanced digital cameras"
"Intermediate Producing","F18","CTPR-538",18650,"Intermediate Producing - Definition, examination and practical experience in the role of;the line producer as it relates to preproduction, production and;post production.;","CTPR",1,"AY19","Intermediate Producing Definition examination and practical experience in the role of the line producer as it relates to preproduction production and post production"
"Intermediate Producing","SP19","CTPR-538",18650,"Intermediate Producing - Definition, examination and practical experience in the role of;the line producer as it relates to preproduction, production and;post production.;","CTPR",1,"AY19","Intermediate Producing Definition examination and practical experience in the role of the line producer as it relates to preproduction production and post production"
"Intermediate Sound","SU18","CTPR-540",18610,"Intermediate Sound - Practical and aesthetic considerations relating to recording,;editing and sound design.","CTPR",1,"AY19","Intermediate Sound Practical and aesthetic considerations relating to recording editing and sound design"
"Production III, Fiction","F18","CTPR-546",18661,"Production III, Fiction - An intensive workshop experience in which students, crewing in;their area of specialization, complete the shooting and;postproduction of projects up to thirty minutes in length.;Qualifying courses: for directors, CTPR 532, and for;cinematographers, CTPR 537.;","CTPR",7,"AY19","Production III Fiction An intensive workshop experience in which students crewing in their area of specialization complete the shooting and postproduction of projects up to thirty minutes in length Qualifying courses for directors CTPR 532 and for cinematographers CTPR 537"
"Production III, Fiction","SP19","CTPR-546",18659,"Production III, Fiction - An intensive workshop experience in which students, crewing in;their area of specialization, complete the shooting and;postproduction of projects up to thirty minutes in length.;Qualifying courses: for directors, CTPR 532, and for;cinematographers, CTPR 537.;","CTPR",7,"AY19","Production III Fiction An intensive workshop experience in which students crewing in their area of specialization complete the shooting and postproduction of projects up to thirty minutes in length Qualifying courses for directors CTPR 532 and for cinematographers CTPR 537"
"Production III, Documentary","F18","CTPR-547",18784,"Production III, Documentary - Intensive workshop; students shoot and finish documentary projects up to about 25 minutes. Qualifying courses: for directors, CTPR 431 or CTPR 531; for cinematographers, CTPR 424 or CTPR 537.","CTPR",6,"AY19","Production III Documentary Intensive workshop students shoot and finish documentary projects up to about 25 minutes Qualifying courses for directors CTPR 431 or CTPR 531 for cinematographers CTPR 424 or CTPR 537"
"Production III, Documentary","SP19","CTPR-547",18688,"Production III, Documentary - Intensive workshop; students shoot and finish documentary projects up to about 25 minutes. Qualifying courses: for directors, CTPR 431 or CTPR 531; for cinematographers, CTPR 424 or CTPR 537.","CTPR",6,"AY19","Production III Documentary Intensive workshop students shoot and finish documentary projects up to about 25 minutes Qualifying courses for directors CTPR 431 or CTPR 531 for cinematographers CTPR 424 or CTPR 537"
"Directing in a Virtual World","SP19","CTPR-551",18681,"Directing in a Virtual World - Telling cinematic stories using visual effects and virtual backgrounds, environments, and characters. Hands-on exercises emphasizing directing. Prerequisite: CTAN 462. Recommended preparation: CTAN 555 or CTPR 532 or CTPR 537. Open only to Cinematic Arts students.","CTPR",1,"AY19","Directing in a Virtual World Telling cinematic stories using visual effects and virtual backgrounds environments and characters Hands on exercises emphasizing directing Prerequisite CTAN 462 Recommended preparation CTAN 555 or CTPR 532 or CTPR 537 Open only to Cinematic Arts students"
"Advanced Directing","F18","CTPR-552",18680,"Advanced Directing - An advanced production class in directing. Encounters with;experienced directors; and individual student production of a;short. Recommended Preparation: CTPR 533.","CTPR",2,"AY19","Advanced Directing An advanced production class in directing Encounters with experienced directors and individual student production of a short Recommended Preparation CTPR 533"
"Advanced Directing","SP19","CTPR-552",18790,"Advanced Directing - An advanced production class in directing. Encounters with;experienced directors; and individual student production of a;short. Recommended Preparation: CTPR 533.","CTPR",1,"AY19","Advanced Directing An advanced production class in directing Encounters with experienced directors and individual student production of a short Recommended Preparation CTPR 533"
"Developing the Advanced Project","SU18","CTPR-553",18616,"Developing the Advanced Project - Script workshop for advanced projects. Covers key screenplay elements, including protagonist and objective, conflict, obstacles, premise and opening, main tension, emotional throughline, etc.","CTPR",1,"AY19","Developing the Advanced Project Script workshop for advanced projects Covers key screenplay elements including protagonist and objective conflict obstacles premise and opening main tension emotional throughline etc"
"Developing the Advanced Project","F18","CTPR-553",18677,"Developing the Advanced Project - Script workshop for advanced projects. Covers key screenplay elements, including protagonist and objective, conflict, obstacles, premise and opening, main tension, emotional throughline, etc.","CTPR",1,"AY19","Developing the Advanced Project Script workshop for advanced projects Covers key screenplay elements including protagonist and objective conflict obstacles premise and opening main tension emotional throughline etc"
"Advanced Sound","SP19","CTPR-554",18679,"Advanced Sound - Study of the technical and aesthetic elements of sound design at the professional level. Intended for those contemplating a career in the field of audio. Prerequisite: CTPR 540 or CTPR 546 or CTPR 547.","CTPR",1,"AY19","Advanced Sound Study of the technical and aesthetic elements of sound design at the professional level Intended for those contemplating a career in the field of audio Prerequisite CTPR 540 or CTPR 546 or CTPR 547"
"Advanced Production Design","SP19","CTPR-555",18683,"Advanced Production Design - The execution of a production designer's in-depth analysis and;fully detailed breakdown of a feature-length script for story,;character, sets, locations, set dressing, props, fabrics, color;and texture.;;","CTPR",1,"AY19","Advanced Production Design The execution of a production designer's in depth analysis and fully detailed breakdown of a feature length script for story character sets locations set dressing props fabrics color and texture"
"Advanced Editing","SP19","CTPR-556",18682,"Advanced Editing - Advanced editorial theory and practice intended for those specializing in film and electronic editing. Prerequisite: CTPR 535 or CTPR 546 or CTPR 547.","CTPR",1,"AY19","Advanced Editing Advanced editorial theory and practice intended for those specializing in film and electronic editing Prerequisite CTPR 535 or CTPR 546 or CTPR 547"
"Advanced Cinematography","F18","CTPR-557",18686,"Advanced Cinematography - Advanced camera and lighting techniques for those considering a professional career in cinematography.","CTPR",1,"AY19","Advanced Cinematography Advanced camera and lighting techniques for those considering a professional career in cinematography"
"Advanced Cinematography","SP19","CTPR-557",18689,"Advanced Cinematography - Advanced camera and lighting techniques for those considering a professional career in cinematography.","CTPR",1,"AY19","Advanced Cinematography Advanced camera and lighting techniques for those considering a professional career in cinematography"
"Advanced Producing","F18","CTPR-558",18687,"Advanced Producing - Defines and examines the role of the Executive/Feature Producer through the preproduction, production and post production phases. Prerequisites: CTPR-538 or one of the following in equivalent crew position: CTPR 486, CTPR 546, CTPR 547.","CTPR",1,"AY19","Advanced Producing Defines and examines the role of the Executive Feature Producer through the preproduction production and post production phases Prerequisites CTPR 538 or one of the following in equivalent crew position CTPR 486 CTPR 546 CTPR 547"
"Advanced Producing","SP19","CTPR-558",18687,"Advanced Producing - Defines and examines the role of the Executive/Feature Producer through the preproduction, production and post production phases. Prerequisites: CTPR-538 or one of the following in equivalent crew position: CTPR 486, CTPR 546, CTPR 547.","CTPR",1,"AY19","Advanced Producing Defines and examines the role of the Executive Feature Producer through the preproduction production and post production phases Prerequisites CTPR 538 or one of the following in equivalent crew position CTPR 486 CTPR 546 CTPR 547"
"Seminar in Motion Picture Business","SP19","CTPR-562",19147,"Seminar in Motion Picture Business - Problems of studio operation, production, distribution, exhibition, or legal procedures relating to the motion picture.","CTPR",1,"AY19","Seminar in Motion Picture Business Problems of studio operation production distribution exhibition or legal procedures relating to the motion picture"
"The Business of Representation","F18","CTPR-563",19143,"The Business of Representation - Various roles an agent, manager, attorney and publicist play in;representing talent, producers and writers. Taught by;professionals who are at the forefront of the entertainment;industry.","CTPR",1,"AY19","The Business of Representation Various roles an agent manager attorney and publicist play in representing talent producers and writers Taught by professionals who are at the forefront of the entertainment industry"
"The Business of Representation","SP19","CTPR-563",19149,"The Business of Representation - Various roles an agent, manager, attorney and publicist play in;representing talent, producers and writers. Taught by;professionals who are at the forefront of the entertainment;industry.","CTPR",1,"AY19","The Business of Representation Various roles an agent manager attorney and publicist play in representing talent producers and writers Taught by professionals who are at the forefront of the entertainment industry"
"Making Media for Social Change","F18","CTPR-565",18688,"Making Media for Social Change - Each student will produce and direct a film incorporating a social issue of his/her choice into the narrative of the film. Prerequisites: CTPR 310 or CTPR 508.","CTPR",1,"AY19","Making Media for Social Change Each student will produce and direct a film incorporating a social issue of his her choice into the narrative of the film Prerequisites CTPR 310 or CTPR 508"
"Developing and Selling Your Film and TV Projects","F18","CTPR-566",18689,"Developing and Selling Your Film and TV Projects - Developing, pitching, and selling your feature motion picture and;TV projects. Open to undergraduate senior and third-year;graduate cinema majors only.","CTPR",1,"AY19","Developing and Selling Your Film and TV Projects Developing pitching and selling your feature motion picture and TV projects Open to undergraduate senior and third year graduate cinema majors only"
"Developing and Selling Your Film and TV Projects","SP19","CTPR-566",18695,"Developing and Selling Your Film and TV Projects - Developing, pitching, and selling your feature motion picture and;TV projects. Open to undergraduate senior and third-year;graduate cinema majors only.","CTPR",1,"AY19","Developing and Selling Your Film and TV Projects Developing pitching and selling your feature motion picture and TV projects Open to undergraduate senior and third year graduate cinema majors only"
"The World of Television: From Concept to Air and Everything in Between","F18","CTPR-572",18690,"The World of Television: From Concept to Air and Everything in Between - Takes projects from conception to sale, including development,;production, post-production, and marketing. Students will develop;original projects.","CTPR",1,"AY19","The World of Television From Concept to Air and Everything in Between Takes projects from conception to sale including development production post production and marketing Students will develop original projects"
"The World of Television: From Concept to Air and Everything in Between","SP19","CTPR-572",18697,"The World of Television: From Concept to Air and Everything in Between - Takes projects from conception to sale, including development,;production, post-production, and marketing. Students will develop;original projects.","CTPR",1,"AY19","The World of Television From Concept to Air and Everything in Between Takes projects from conception to sale including development production post production and marketing Students will develop original projects"
"Producing the Advanced Project","SU18","CTPR-573",18617,"Producing the Advanced Project - Basic skills of production planning as applied to students' advanced project scripts. Covers all steps from breakdown to delivery. Departmental approval.","CTPR",1,"AY19","Producing the Advanced Project Basic skills of production planning as applied to students' advanced project scripts Covers all steps from breakdown to delivery Departmental approval"
"Producing the Advanced Project","F18","CTPR-573",18692,"Producing the Advanced Project - Basic skills of production planning as applied to students' advanced project scripts. Covers all steps from breakdown to delivery. Departmental approval.","CTPR",1,"AY19","Producing the Advanced Project Basic skills of production planning as applied to students' advanced project scripts Covers all steps from breakdown to delivery Departmental approval"
"Individual Production Workshop","SU18","CTPR-581A",18620,"Individual Production Workshop - Individual experimental projects involving the creative use of;visuals (live action or animated) and sound. Open to production;students only. Qualifying courses: CTPR 532 and CTPR 573 (for;directors); CTPR 573 (for producers); CTPR 537 (for;cinematographers), CTPR 535 (for editors), CTPR 546L or CTPR 547L;as production sound person (for sound). Graded IP/Letter.","CTPR",5,"AY19","Individual Production Workshop Individual experimental projects involving the creative use of visuals live action or animated and sound Open to production students only Qualifying courses CTPR 532 and CTPR 573 for directors CTPR 573 for producers CTPR 537 for cinematographers CTPR 535 for editors CTPR 546L or CTPR 547L as production sound person for sound Graded IP Letter"
"Individual Production Workshop","F18","CTPR-581A",18696,"Individual Production Workshop - Individual experimental projects involving the creative use of visuals (live action or animated) and sound. Qualifying courses: CTPR 532 (for directors); CTPR 558 (for producers). Graded IP/Letter.","CTPR",4,"AY19","Individual Production Workshop Individual experimental projects involving the creative use of visuals live action or animated and sound Qualifying courses CTPR 532 for directors CTPR 558 for producers Graded IP Letter"
"Individual Production Workshop","SP19","CTPR-581A",18698,"Individual Production Workshop - Individual experimental projects involving the creative use of visuals (live action or animated) and sound. Qualifying courses: CTPR 532 (for directors); CTPR 558 (for producers). Graded IP/Letter.","CTPR",7,"AY19","Individual Production Workshop Individual experimental projects involving the creative use of visuals live action or animated and sound Qualifying courses CTPR 532 for directors CTPR 558 for producers Graded IP Letter"
"Individual Production Workshop","SU18","CTPR-581B",18628,"Individual Production Workshop - Individual experimental projects involving the creative use of;visuals (live action or animated) and sound. Open to Production;students only. Graded IP.","CTPR",4,"AY19","Individual Production Workshop Individual experimental projects involving the creative use of visuals live action or animated and sound Open to Production students only Graded IP"
"Individual Production Workshop","F18","CTPR-581B",18706,"Individual Production Workshop - Individual experimental projects involving the creative use of visuals (live action or animated) and sound. Graded IP/Letter.","CTPR",6,"AY19","Individual Production Workshop Individual experimental projects involving the creative use of visuals live action or animated and sound Graded IP Letter"
"Individual Production Workshop","SP19","CTPR-581B",18705,"Individual Production Workshop - Individual experimental projects involving the creative use of visuals (live action or animated) and sound. Graded IP/Letter.","CTPR",5,"AY19","Individual Production Workshop Individual experimental projects involving the creative use of visuals live action or animated and sound Graded IP Letter"
"Individual Production Workshop","F18","CTPR-581C",18713,"Individual Production Workshop - Individual experimental projects involving the creative use of visuals (live action or animated) and sound. Graded IP/Letter.","CTPR",4,"AY19","Individual Production Workshop Individual experimental projects involving the creative use of visuals live action or animated and sound Graded IP Letter"
"Advanced Production Seminar","SP19","CTPR-582A",18730,"Advanced Production Seminar - Advanced individual film or video projects under the guidance of a faculty mentor, without benefit of university equipment or resources. Qualifying courses: CTPR 532 (for directors); CTPR 558 (for producers). Graded IP/Letter.","CTPR",8,"AY19","Advanced Production Seminar Advanced individual film or video projects under the guidance of a faculty mentor without benefit of university equipment or resources Qualifying courses CTPR 532 for directors CTPR 558 for producers Graded IP Letter"
"Advanced Producing Project","F18","CTPR-585A",18762,"Advanced Producing Project - Supervised, individual study leading to the creation of a producer's package. The package will include script, schedule, budget, finance and marketing plan. Graded IP/Letter.","CTPR",4,"AY19","Advanced Producing Project Supervised individual study leading to the creation of a producer's package The package will include script schedule budget finance and marketing plan Graded IP Letter"
"Advanced Producing Project","SP19","CTPR-585B",18763,"Advanced Producing Project - Supervised, individual study leading to the creation of a producer's package. The package will include script, schedule, budget, finance and marketing plan. Graded IP/Letter.","CTPR",4,"AY19","Advanced Producing Project Supervised individual study leading to the creation of a producer's package The package will include script schedule budget finance and marketing plan Graded IP Letter"
"Story: Character, Conflict, and Catharsis","F18","CTWR-100",19182,"Story: Character, Conflict, and Catharsis - Fundamentals course on the elements of scene writing, story structure, and character development.","CTWR",4,"AY19","Story Character Conflict and Catharsis Fundamentals course on the elements of scene writing story structure and character development"
"Writing the Screenplay","F18","CTWR-206A",19156,"Writing the Screenplay - Development of synopsis and treatment for a theatrical or;documentary screenplay: theme, plot, character, mise-en-scene and;utilization of cinematic elements. Filmic Writing students only.","CTWR",4,"AY19","Writing the Screenplay Development of synopsis and treatment for a theatrical or documentary screenplay theme plot character mise en scene and utilization of cinematic elements Filmic Writing students only"
"Writing the Screenplay","SP19","CTWR-206B",19156,"Writing the Screenplay - Writing a feature-length screenplay based on treatment developed in CTWR 206a. Includes a first draft and a polish.","CTWR",4,"AY19","Writing the Screenplay Writing a feature length screenplay based on treatment developed in CTWR 206a Includes a first draft and a polish"
"The Television Writer: An Agent of Change","F18","CTWR-211",19214,"The Television Writer: An Agent of Change - The television writer as an agent of change across current social issues including, but not limited to: race, gender, and class.","CTWR",1,"AY19","The Television Writer An Agent of Change The television writer as an agent of change across current social issues including but not limited to race gender and class"
"Fundamental Topics of Writing for Film and TV","SU18","CTWR-212",19155,"Fundamental Topics of Writing for Film and TV - Introductory course focusing on varying topics of fundamentals for feature writing and television writing.","CTWR",3,"AY19","Fundamental Topics of Writing for Film and TV Introductory course focusing on varying topics of fundamentals for feature writing and television writing"
"Breaking the Story","SP19","CTWR-250",19358,"Breaking the Story - Examination of the fundamental elements of a good story, and how to use those elements to develop new screenplay ideas. Recommended preparation: CTWR 106b.","CTWR",4,"AY19","Breaking the Story Examination of the fundamental elements of a good story and how to use those elements to develop new screenplay ideas Recommended preparation CTWR 106b"
"Advanced Screenwriting: The Relationship Screenplay","F18","CTWR-305",19160,"Advanced Screenwriting: The Relationship Screenplay - An inquiry into the complex nature of human relationships by writing an original feature length screenplay that examines the multi-dimensional world of characters ant the ties that bind them together. Open only to Writing for Screen and Television majors.","CTWR",4,"AY19","Advanced Screenwriting The Relationship Screenplay An inquiry into the complex nature of human relationships by writing an original feature length screenplay that examines the multi dimensional world of characters ant the ties that bind them together Open only to Writing for Screen and Television majors"
"Introduction to Hour-Long Television Writing","F18","CTWR-321",19163,"Introduction to Hour-Long Television Writing - The fundamentals of writing for dramatic episodic television. Writing scenes from popular television shows and examination of television story structure. Prerequisite: CTWR-100, CTWR 402, CTWR 412 or CTWR 413.","CTWR",7,"AY19","Introduction to Hour Long Television Writing The fundamentals of writing for dramatic episodic television Writing scenes from popular television shows and examination of television story structure Prerequisite CTWR 100 CTWR 402 CTWR 412 or CTWR 413"
"Introduction to Hour-Long Television Writing","SP19","CTWR-321",19306,"Introduction to Hour-Long Television Writing - The fundamentals of writing for dramatic episodic television. Writing scenes from popular television shows and examination of television story structure. Prerequisite: CTWR-100, CTWR 402, CTWR 412 or CTWR 413.","CTWR",6,"AY19","Introduction to Hour Long Television Writing The fundamentals of writing for dramatic episodic television Writing scenes from popular television shows and examination of television story structure Prerequisite CTWR 100 CTWR 402 CTWR 412 or CTWR 413"
"Introduction to Half-Hour Television Writing","F18","CTWR-324",19296,"Introduction to Half-Hour Television Writing - The fundamentals of writing for comedic episodic television. Writing scenes from popular comedy series and examination of half-hour television comedy story structure.","CTWR",1,"AY19","Introduction to Half Hour Television Writing The fundamentals of writing for comedic episodic television Writing scenes from popular comedy series and examination of half hour television comedy story structure"
"Introduction to Half-Hour Television Writing","SP19","CTWR-324",19308,"Introduction to Half-Hour Television Writing - The fundamentals of writing for comedic episodic television. Writing scenes from popular comedy series and examination of half-hour television comedy story structure.","CTWR",2,"AY19","Introduction to Half Hour Television Writing The fundamentals of writing for comedic episodic television Writing scenes from popular comedy series and examination of half hour television comedy story structure"
"Writing the First Draft Feature Screenplay","SU18","CTWR-401",19154,"Writing the First Draft Feature Screenplay - Writing an outline and the first draft of a feature-length screenplay. Emphasis on character interrelationships, conflict, and three-act structure.","CTWR",5,"AY19","Writing the First Draft Feature Screenplay Writing an outline and the first draft of a feature length screenplay Emphasis on character interrelationships conflict and three act structure"
"Foundations of Comedy","F18","CTWR-404",19311,"Foundations of Comedy - Study of comedy theory and practical applications in film, television, and social media. Lectures and screenings of comedic forms tracing past, present and future.","CTWR",1,"AY19","Foundations of Comedy Study of comedy theory and practical applications in film television and social media Lectures and screenings of comedic forms tracing past present and future"
"Creating the Comedic Character","F18","CTWR-407",19433,"Creating the Comedic Character - Utilization of various techniques for character to emerge naturally in scene and stories. Creating multiple comedic characters to generate future stories. Recommended preparation: CTWR 404.","CTWR",1,"AY19","Creating the Comedic Character Utilization of various techniques for character to emerge naturally in scene and stories Creating multiple comedic characters to generate future stories Recommended preparation CTWR 404"
"Character Development and Storytelling for Games","F18","CTWR-410",19164,"Character Development and Storytelling for Games - An exploration of characters and story worlds as they relate to;gaming with an emphasis on emotionally rich environments in;interactive enetertainment. Recommended preparation: CTIN 488","CTWR",1,"AY19","Character Development and Storytelling for Games An exploration of characters and story worlds as they relate to gaming with an emphasis on emotionally rich domain in interactive enetertainment Recommended preparation CTIN 488"
"Character Development and Storytelling for Games","SP19","CTWR-410",19168,"Character Development and Storytelling for Games - An exploration of characters and story worlds as they relate to;gaming with an emphasis on emotionally rich environments in;interactive enetertainment. Recommended preparation: CTIN 488","CTWR",1,"AY19","Character Development and Storytelling for Games An exploration of characters and story worlds as they relate to gaming with an emphasis on emotionally rich domain in interactive enetertainment Recommended preparation CTIN 488"
"Television Script Analysis","SP19","CTWR-411",19205,"Television Script Analysis - In-depth analysis of the craft of writing prime-time episodic television. Examination of situation comedies and dramas through weekly screenings and lectures.","CTWR",1,"AY19","Television Script Analysis In depth analysis of the craft of writing prime time episodic television Examination of situation comedies and dramas through weekly screenings and lectures"
"Introduction to Screenwriting","F18","CTWR-412",19166,"Introduction to Screenwriting - Introduction to the formal elements of writing the short film.","CTWR",11,"AY19","Introduction to Screenwriting Introduction to the formal elements of writing the short film"
"Introduction to Screenwriting","SP19","CTWR-412",19152,"Introduction to Screenwriting - Introduction to the formal elements of writing the short film.","CTWR",13,"AY19","Introduction to Screenwriting Introduction to the formal elements of writing the short film"
"Writing the Short Script I","F18","CTWR-413",19177,"Writing the Short Script I - Preparation of scripts for short films: form, structure, planning. Open only to Cinematic Arts Film and Television Production majors.","CTWR",5,"AY19","Writing the Short Script I Preparation of scripts for short films form structure planning Open only to Cinematic Arts Film and Television Production majors"
"Writing the Short Script I","SP19","CTWR-413",19182,"Writing the Short Script I - Preparation of scripts for short films: form, structure, planning. Open only to Cinematic Arts Film and Television Production majors.","CTWR",5,"AY19","Writing the Short Script I Preparation of scripts for short films form structure planning Open only to Cinematic Arts Film and Television Production majors"
"The Screenplay","F18","CTWR-414",19187,"The Screenplay - Students study story structure and develop several story outlines, write a short script for possible production, a feature film outline and first act. Recommended preparation: CTWR-416. Open only to Cinematic Arts Film and Television Production majors.","CTWR",4,"AY19","The Screenplay Students study story structure and develop several story outlines write a short script for possible production a feature film outline and first act Recommended preparation CTWR 416 Open only to Cinematic Arts Film and Television Production majors"
