"course_title","all_goals","sustainability_classification"
"Global Art, Design and Visual Culture since 1960","8,9,11,13","Focused"
"Deconstruction in Design","9","Inclusive"
"Event, Action, and Situation: Performance Art since 1960","9","Inclusive"
"Identity and Visual Representation","9,10,16,17","Inclusive"
"Art in the Public Realm","1,9","Inclusive"
"History and Theory of Art and Exhibitions","8,9,11,17","Inclusive"
"Art and Curatorial Visits","11","Inclusive"
"Making and Curating Art: Pedagogy and Praxis","1,4,11","Inclusive"
"Methods of Curating: Introduction to Curatorial Practicum","8,10,11,17","Inclusive"
"Curatorial Practicum: Individual/Group Projects","8,9,10,11,17","Inclusive"
"Curatorial Practicum: Group Project Summation","8,10,11,17","Inclusive"
"Explorations in Computing","1,9","Inclusive"
"Fundamentals of Computation","9","Inclusive"
"Introduction to Programming","8,9","Inclusive"
"Data Structures and Object Oriented Design","4,9,15","Focused"
"Introduction to Computer Science","4","Inclusive"
"Discrete Methods in Computer Science","4","Inclusive"
"Principles of Software Development","8,9,17","Inclusive"
"Introduction to Algorithms and Theory of Computing","9,10","Inclusive"
"Pipelines for Games and Interactives","8,9,17","Inclusive"
"Software Engineering","8,9,10,17,12","Inclusive"
"Introduction to Operating Systems","8,9,10","Inclusive"
"Introduction to Internetworking","1,8,9,10,11,13","Focused"
"Introduction to Computer Systems","9","Inclusive"
"Introduction to Artificial Intelligence","8,9,10,12","Inclusive"
"Capstone: Design and Construction of Large;Software Systems","4,8,9,10,17","Inclusive"
"Operating Systems","1,9","Inclusive"
"Capstone: Creating Your High-Tech Startup","9,17","Inclusive"
"Computer Graphics","9","Inclusive"
"Native Console Multiplayer Game Development","8,9,17","Inclusive"
"Game Prototyping","9","Inclusive"
"Introduction to Computer and Network Security","1,9,16","Inclusive"
"Introduction to Robotics","9,17","Inclusive"
"Introduction to Programming Systems Design","8,9,10","Inclusive"
"Introduction to Machine Learning","9","Inclusive"
"File and Database Management","4,8,9","Inclusive"
"Final Game Project","1,8,9,17","Inclusive"
"Software Management and Economics","1,8,9,12","Inclusive"
"Computer Animation and Simulation","9","Inclusive"
"Game Engine Development","8,9,17","Inclusive"
"Advanced Mobile Devices and Game Consoles","9","Inclusive"
"Advanced Game Projects","8,9,17","Inclusive"
"Security Systems","1,9","Inclusive"
"Applied Cryptography","9,11","Inclusive"
"Affective Computing","9","Inclusive"
"Augmented, Virtual and Mixed Reality","9","Inclusive"
"Applied Natural Language Processing","4,9","Inclusive"
"Information Integration on the Web","","Not Related"
"Advanced Data Stores","4,9","Inclusive"
"Computer Networking","9,11","Inclusive"
"Advanced Operating Systems","1,9,17","Inclusive"
"Foundations of Artificial Intelligence","9,12","Inclusive"
"Machine Learning","9","Inclusive"
"Analysis of Algorithms","9,12","Inclusive"
"Web Technologies","4,9,17","Inclusive"
"Information Retrieval and Web Search Engines","9","Inclusive"
"Multimedia Systems Design","4,9","Inclusive"
"3-D Graphics and Rendering","9","Inclusive"
"Database Systems","1,9","Inclusive"
"Computer Science Research Colloquium","4,9,17","Inclusive"
"Advanced Program Analysis and Verification","9","Inclusive"
"Digital Geometry Processing","4,9","Inclusive"
"Natural Language Dialogue Systems","1,4,8,9","Inclusive"
"Advanced Analysis of Algorithms","9","Inclusive"
"Randomized Algorithms","9","Inclusive"
"Advanced Computer Vision","9","Inclusive"
"Seminar in Computer Science Research","4,8,10,17","Inclusive"
"Practicum in Teaching Computer Science","4,8,9,17","Inclusive"
"Introduction to Comparative Media Studies","10,11","Inclusive"
"Introduction to Comparative Studies in Culture","1,11","Inclusive"
"Professional Development I: Publication","2,8,9,10,17","Inclusive"
"Seminar in Comparative Media Studies","17","Inclusive"
"Professional Development II: Writing the Prospectus","8,9,17","Inclusive"
"Introduction to the Art of Animation","2,12,9","Inclusive"
"Introduction to the Art of Movement","","Not Related"
"The Rise of Digital Hollywood","9","Inclusive"
"Intermediate Animation Production","9,17","Inclusive"
"Introduction to 3-D Character Animation","","Not Related"
"3-D Character Performance Animation","9","Inclusive"
"Professionalism of Animation","1,4,8,9,10","Inclusive"
"Animation Fundamentals","","Not Related"
"Ideation and Pre-Production","9","Inclusive"
"Senior Project","17","Inclusive"
"Audio Design for Animation and Immersive Media","9,17","Inclusive"
"Concept Design for Animation","9","Inclusive"
"The World of Visual Effects","17","Inclusive"
"Story Art Development","8,9,17","Inclusive"
"Writing for Animation","17","Inclusive"
"Character Development for 3-D Animation and Games","8,9,17","Inclusive"
"Introduction to Film Graphics - Animation","9,12","Inclusive"
"Animation Theory and Techniques","9,8,12,17","Inclusive"
"History of Animation","11","Inclusive"
"Introduction to 3-D Computer Animation","9","Inclusive"
"Organic Modeling for Animation","2,12","Inclusive"
"Character Design Workshop","8,9,17","Inclusive"
"Visual Effects","9","Inclusive"
"Digital Lighting and Rendering","9","Inclusive"
"Digital Effects Animation","6,12","Inclusive"
"Documentary Animation Production","9,11,17","Inclusive"
"Pipeline and Character Modeling for Animation","","Not Related"
"Visual Music","2,4,9","Inclusive"
"Directed Studies","17","Inclusive"
"Generative Animation","9","Inclusive"
"Experiments in Immersive Design","8,9,10","Inclusive"
"Storyboarding for Animation","4","Inclusive"
"Creative Production in Virtual Reality","9","Inclusive"
"The Business of Animation","8,9","Inclusive"
"Live Action Integration with Visual Effects","5,12","Inclusive"
"Animation Department Seminar","17","Inclusive"
"Gesture Movement for Animation","9","Inclusive"
"Storytelling for Animation","8,9,10","Inclusive"
"Animation Production I","9,17","Inclusive"
"Stop Motion Puppet and Set Design","9","Inclusive"
"Animation Design and Production","9","Inclusive"
"Motion Capture Fundamentals","9","Inclusive"
"Motion Capture Performance","9","Inclusive"
"Fundamentals of Animation","","Not Related"
"Expanded Animation","2,9,15","Focused"
"Animation Pre-Thesis Seminar","8,9,17","Inclusive"
"Master Class","2,9","Inclusive"
"Introduction to Cinema","1","Inclusive"
"Introduction to Television and Video","1,8,9,11,17","Inclusive"
"Race, Class, and Gender in American Film","1,5,10,11","Inclusive"
"History of the International Cinema I","8,9,11,17","Inclusive"
"History of the International Cinema II","8,9,11,17","Inclusive"
"Global Media","8,9,13","Focused"
"History of the American Film, 1925-1950","11","Inclusive"
"Postwar Hollywood, 1946-1962","11,17","Inclusive"
"History of the American Film, 1977-Present","11,17","Inclusive"
"Non-Fiction Film and Television","17","Inclusive"
"Practicum in Film/Television Criticism","17","Inclusive"
"Studies in National and Regional Media","","Not Related"
"Film, Television and Cultural Studies","9,11","Inclusive"
"Gender, Sexuality and Media","1,5,8,9,10,16,17","Inclusive"
"Film and/or Television Genres","1,11","Inclusive"
"Theatrical Film Symposium","9","Inclusive"
"Television Symposium","9,11,17","Inclusive"
"Film and/or Television Style Analysis","17","Inclusive"
"Film and Media Theory","9,17","Inclusive"
"Advanced Cinema and Media Studies Seminar","9,11,17","Inclusive"
"Seminar in Film Theory","17","Inclusive"
"World Cinema After 1945","8,11,13","Focused"
"Survey History of the United States Sound Film","1,8,9,11","Inclusive"
"Survey of Television History","8,9,11","Inclusive"
"Survey of Interactive Media","8,9,11","Inclusive"
"Critical Studies Colloquium/Professional Seminar","8,9,17","Inclusive"
"Case Studies in National and/or Regional Media","10,11,17","Inclusive"
"Seminar: Non-Fiction Film/Video","17","Inclusive"
"Introductory Concepts in Cultural Studies","9,11","Inclusive"
"Seminar: Avant-garde Film/Video","11,17","Inclusive"
"Film History Through the Archives and Special Collections","11","Inclusive"
"Seminar in Film and Television Genres","9,11,17","Inclusive"
"Seminar in Film and Television Authors","17","Inclusive"
"Seminar in Television Theory","9,17","Inclusive"
"Cultural Theory","11,17","Inclusive"
"Seminar in Film Theory and Medium Specificity","17","Inclusive"
"Fundamentals of Procedural Media","4,9,15","Focused"
"Introduction to Interactive Entertainment","9,11","Inclusive"
"Survey of Themed Entertainment","1,4,9,11","Inclusive"
"Digital Media Workshop","4","Inclusive"
"Usability Testing for Games","9","Inclusive"
"Audio Expression","9","Inclusive"
"Themed Entertainment Design","9","Inclusive"
"Business and Management of Games","8,9","Inclusive"
"Anatomy of a Game","9","Inclusive"
"Game Studies Seminar","1,11,17","Inclusive"
"Designing Social Games","1,9","Inclusive"
"Introduction to Game Development","8,9,17","Inclusive"
"Intermediate Game Development","8,9,17","Inclusive"
"Advanced Game Development","8,9,17","Inclusive"
"Game Design Workshop","9","Inclusive"
"Intermediate Game Design Workshop","9","Inclusive"
"Advanced Game Project I","8,9,17","Inclusive"
"Experimental Game Topics","8,9,17","Inclusive"
"Advanced Game Project II","9,17","Inclusive"
"Interactive Media Startup","8,9,10,12","Inclusive"
"Interactive Entertainment, Science, and Healthcare","1,4,8,9,17","Inclusive"
"Interactive Media Seminar","8,9,11,17","Inclusive"
"Interactive Design and Production I","8,9,17","Inclusive"
"Experiments in Interactivity I","9","Inclusive"
"Design for Interactive Media","9,17","Inclusive"
"Interactive Design and Production II","9","Inclusive"
"Experiments in Interactivity II","9","Inclusive"
"Preparing the Interactive Project","9,17","Inclusive"
"Game Development for Designers","8,9,17","Inclusive"
"Practicum in Production","8,9,10,17","Inclusive"
"Lateral Thinking for Filmmaking Practice","9","Inclusive"
"Originating and Developing Ideas for Film","9","Inclusive"
"Cinematic Communication","9","Inclusive"
"Directing in Documentary, Fiction and New Media","9","Inclusive"
"Cinematic Arts Laboratory","9","Inclusive"
"Intermediate Production","8,9,17","Inclusive"
"Motion Picture Cinematography","9","Inclusive"
"Motion Picture Editing","9","Inclusive"
"Creating the Motion Picture Sound Track","9","Inclusive"
"Directing for Television","9,17","Inclusive"
"Colloquium: Motion Picture Production Techniques","9","Inclusive"
"Art and Industry of the Theatrical Film","9","Inclusive"
"Practicum in Television Production","2,9,17","Inclusive"
"The Movie Business: From Story Concept to Exhibition","8,9,17","Inclusive"
"Practicum in Editing","9,17","Inclusive"
"Makeup for Motion Pictures","","Not Related"
"Introduction to Special Effects in Cinema","","Not Related"
"Practicum in Cinematography","9,17","Inclusive"
"Production Planning","9,12","Inclusive"
"The Production Experience","9","Inclusive"
"Introduction to Color Grading","","Not Related"
"Summer Production Workshop","9,17","Inclusive"
"Developing the Documentary Production","9,17","Inclusive"
"Practicum in Producing","9,17","Inclusive"
"Practicum in Sound","9,17","Inclusive"
"Sound Design","9,11","Inclusive"
"Producing Visual Effects","8,9,10,16","Inclusive"
"World Building Design Studio","9,12","Inclusive"
"The Production and Post-Production Assistant","9","Inclusive"
"Acting for Film and Television","9","Inclusive"
"Introduction to Art Direction","9","Inclusive"
"Creating Poetic Cinema","9","Inclusive"
"Organizing Creativity: Entertainment Industry;Decision Making","1,4,8,9,17","Inclusive"
"Film Business Procedures and Distribution","8,9","Inclusive"
"Managing Television Stations and Internet Media","9","Inclusive"
"Directing the Television Sketch Comedy Show","9","Inclusive"
"Practicum in Production Design","9,17","Inclusive"
"Practicum in On-Screen Direction of Actors","17","Inclusive"
"Spotting Music for Cinema","","Not Related"
"Documentary Production","2,9","Inclusive"
"Directing The Comedic Scene","","Not Related"
"Special Problems in Directing","9","Inclusive"
"Practicum in Directing","9,17","Inclusive"
"Advanced Production Workshop","2,9","Inclusive"
"Advanced Multi-Camera Television Workshop","8,9,17","Inclusive"
"Single Camera Television Dramatic Series","9","Inclusive"
"Recording for Film Scores","9","Inclusive"
"The Film Industry: Career Challenges and Choices for Women","5,8,9,10","Inclusive"
"Music Video Production","1,8,9,17","Inclusive"
"Visual Expression","9","Inclusive"
"Production I","4,9","Inclusive"
"Production II","9,17","Inclusive"
"Global Exchange Workshop","8,11,13","Focused"
"Reality Television Survey","","Not Related"
"Introduction to Multiple-Camera Production","9","Inclusive"
"Planning the Documentary Production","9,12,17","Inclusive"
"Intermediate Directing","","Not Related"
"Directing Techniques","17","Inclusive"
"Intermediate Production Design","9,17","Inclusive"
"Intermediate Editing","9","Inclusive"
"Intermediate Cinematography","9,17","Inclusive"
"Intermediate Producing","9","Inclusive"
"Intermediate Sound","9","Inclusive"
"Production III, Fiction","9","Inclusive"
"Production III, Documentary","9","Inclusive"
"Directing in a Virtual World","","Not Related"
"Advanced Directing","9","Inclusive"
"Developing the Advanced Project","9,17","Inclusive"
"Advanced Sound","9,17","Inclusive"
"Advanced Production Design","9","Inclusive"
"Advanced Editing","9","Inclusive"
"Advanced Cinematography","9","Inclusive"
"Advanced Producing","9","Inclusive"
"Seminar in Motion Picture Business","8,9,17","Inclusive"
"The Business of Representation","8,9","Inclusive"
"Making Media for Social Change","1,2,13","Focused"
"Developing and Selling Your Film and TV Projects","9","Inclusive"
"The World of Television: From Concept to Air and Everything in Between","8,9,17","Inclusive"
"Producing the Advanced Project","9,12,17","Inclusive"
"Individual Production Workshop","9","Inclusive"
"Advanced Production Seminar","9,17","Inclusive"
"Advanced Producing Project","8,9,17","Inclusive"
"Story: Character, Conflict, and Catharsis","8,9,17","Inclusive"
"Writing the Screenplay","8,9,17","Inclusive"
"The Television Writer: An Agent of Change","1,5,10,13","Focused"
"Fundamental Topics of Writing for Film and TV","17","Inclusive"
"Breaking the Story","9","Inclusive"
"Advanced Screenwriting: The Relationship Screenplay","9,15,17","Focused"
"Introduction to Hour-Long Television Writing","17","Inclusive"
"Introduction to Half-Hour Television Writing","17","Inclusive"
"Writing the First Draft Feature Screenplay","17","Inclusive"
"Foundations of Comedy","1,17","Inclusive"
"Creating the Comedic Character","","Not Related"
"Character Development and Storytelling for Games","8,9,17","Inclusive"
"Television Script Analysis","17","Inclusive"
"Introduction to Screenwriting","17","Inclusive"
"Writing the Short Script I","9,12,17","Inclusive"
"The Screenplay","9,17","Inclusive"
"Advanced Writing","9,17","Inclusive"
"Motion Picture Script Analysis","9","Inclusive"
"Script Coverage and Story Analysis","9","Inclusive"
"Senior Thesis","9,17,8,10","Inclusive"
"Senior Thesis in Dramatic Television","9,17","Inclusive"
"Writing the Hour-Long Dramatic Series","17","Inclusive"
"Creating the Dramatic Television Series","17","Inclusive"
"Screenwriters and Their Work","9","Inclusive"
"Writing the Half-Hour Comedy Series","17","Inclusive"
"Writing for Film and Television Genres","17","Inclusive"
"Writing the Original Situation Comedy Pilot","9,17","Inclusive"
"Linked Narrative Storytelling for the Web","2,9,15","Focused"
"Writing the Original Dramatic Series Pilot","9,17","Inclusive"
"Advanced Feature Rewriting","9","Inclusive"
"Entertainment Industry Seminar","8,9,17","Inclusive"
"Staff Writing the Sketch Comedy Show","9,16,17","Inclusive"
"Staff Writing the Multi-Camera Television Series","2,17","Inclusive"
"Straight to Series: Writing and Producing the;Episodic Drama","8,9,17","Inclusive"
"Graduate Writing Symposium","9,17","Inclusive"
"Creating the Short Film","8,9,10","Inclusive"
"Writing the Short Script","17","Inclusive"
"Basic Dramatic Screenwriting","8,9,17","Inclusive"
"Practicum in Screenwriting","17","Inclusive"
"Advanced Motion Picture Script Analysis","9","Inclusive"
"Thesis in Half-Hour Television Comedy","17,8,9","Inclusive"
"Introduction to Interactive Writing","17","Inclusive"
"Thesis in Television Drama","17","Inclusive"
"Advanced Scene Writing Workshop","9,17","Inclusive"
"Advanced Hour-Long Television Drama","9,17","Inclusive"
"Introduction to the Screenplay","","Not Related"
"Advanced Storytelling for Interactive Media","9,17","Inclusive"
"Intermediate Screenwriting","","Not Related"
"Writing the Feature Script","8,9,17","Inclusive"
"Advanced Half-Hour Television Comedy","9,17","Inclusive"
"Advanced Half-Hour Comedy Series Pilot","8,9,17","Inclusive"
"Advanced Hour-Long Drama Series Pilot","8,9,17","Inclusive"
"Dreams, the Brain, and Storytelling","9","Inclusive"
"The Character-Driven Screenplay","9","Inclusive"
"Advanced Rewriting Workshop in Hour-Long Drama","9,17","Inclusive"
"Advanced Story Development","8,9,17","Inclusive"
"Advanced Rewriting Workshop","9","Inclusive"
"Pitching for Film and Television","8,9,17","Inclusive"
"The Business of Writing for Screen and Television","8,9,17","Inclusive"
"Practicum in Directing Actors for Film","17","Inclusive"
"Advanced Genre Writing","8,9,17","Inclusive"
"Preclinical Experimental Therapeutic Drug Development","6,8,9,12,17","Inclusive"
"Experimental and Clinical Drug Metabolism and Transport","6,9,11,12","Inclusive"
"Oral Biochemistry","","Not Related"
"Design Fundamentals","9","Inclusive"
"The Design Challenge: Exploring the Design Process","9","Inclusive"
"Design II","9","Inclusive"
"Digital Tools for Design","9","Inclusive"
"Digital Tools in 3D Design","6,7,8,9,12,13,14,15","Focused"
"3D Design: Materials and Tools","6,7,8,9,12,13,14,15,17","Focused"
"Design III","9","Inclusive"
"Web Design","9","Inclusive"
"Graphic Design in Fashion","9","Inclusive"
"Publication Design","9","Inclusive"
"Design Theory","4,9,11,16,17","Inclusive"
"Typography","9,11,17","Inclusive"
"New York Design Study Tour","8,9,11,17","Inclusive"
"Advanced Design Projects","9","Inclusive"
"Professional Practice in Design","9","Inclusive"
"Special Projects in Design","8,9","Inclusive"
"Contemporary Issues in Design","9,17","Inclusive"
"Visiting Designers Forum","9","Inclusive"
"Designers in Residence Forum","9,17","Inclusive"
"Design Studio Co-Lab","9,17","Inclusive"
"Design Pedagogy","4,9","Inclusive"
"Basic Tissues and Histology and Embryology","","Not Related"
"Advanced Oral Histology","9","Inclusive"
"Fundamentals of Clinical Dental Hygiene Practice","6,9","Inclusive"
"Dental Morphology Laboratory","","Not Related"
"Patient Education in Preventive Dental Care","1,4","Inclusive"
"Dental Specialties","9","Inclusive"
"Preventive Dental Therapy","1,3,4,11,17","Inclusive"
"Introduction to Advanced Dental Hygiene","6,9,12","Inclusive"
"Clinic: Dental Hygiene","6,9","Inclusive"
"Preventive Dental Care Programs","8,9,17","Inclusive"
"Advanced Dental Hygiene","6,9,12","Inclusive"
"Essentials of Dental Hygiene Practice","1,6,8,12","Inclusive"
"Research Methods","8,9,10,17","Inclusive"
"Community Oral Health","1,4,9,11","Inclusive"
"Radiographic Techniques","","Not Related"
"Principles of Oral Radiology","1,4,6","Inclusive"
"Dental Materials and Clinical Procedures","9,12","Inclusive"
"Advanced Biomaterials","4,9,12","Inclusive"
"Principles of Pharmacology","3,9,14","Focused"
"Advanced Pharmacology","3,9,11","Inclusive"
"Introduction to Digital Social Media","1,8,9,10,11","Inclusive"
"Managing Technologies for Digital Media","1,8,9,17","Inclusive"
"Digital Media Policy, Law, Practices, and Regulation","1,8,10","Inclusive"
"Business Information Systems -- Spreadsheet Applications","8,9,10","Inclusive"
"Business Forecasting","8,9,10","Inclusive"
"Designing Spreadsheet-Based Business Models","8,9,10","Inclusive"
"Essentials and Digital Frontiers of Big Data","8,9","Inclusive"
"Foundations of Digital Business Innovation","8,9,10,12,17","Inclusive"
"Enterprise Data Architecture","4,8,9,10","Inclusive"
"Project Management","8,9,10,17","Inclusive"
"Managing a Small Business on the Internet","8,9,10","Inclusive"
"Supply Chain Management","8,9,10,12","Inclusive"
"Sustainable Supply Chains","2,7,8,9,10,11,12,13,15","Focused"
"Sourcing and Supplier Management","1,5,8,9,10,13","Focused"
"Business Analytics","8,9,12,17","Inclusive"
"Probability and Data Modeling","","Not Related"
"Logistics Management","8,9,10,11","Inclusive"
"Applied Time Series Analysis for Forecasting","8,9,10,17","Inclusive"
"Data Warehousing, Business Intelligence, and Data Mining","8,9,10","Inclusive"
"Advanced Regression Analysis","8,9,10","Inclusive"
"Applied Modern Statistical Learning Methods","8,9,15","Focused"
"Digital Foundations for Business Innovation","8,9,12,17","Inclusive"
"Statistical Computing and Data Visualization","9,12","Inclusive"
"Application of Lean Six Sigma","8,9,10","Inclusive"
"Digital Transformation in the Global Enterprise","8,9,10,13","Focused"
"SQL Databases for Business Analysts","8,9","Inclusive"
"NoSQL Databases in Big Data","","Not Related"
"Business Models for Digital Platforms","4,8,9,13,14,15","Focused"
"Global Supply Chain Management in International Settings","6,8,9,10,11,12,13,17","Focused"
"Fraud Analytics","9,16","Inclusive"
"The Analytics Edge: Data, Models, and Effective Decisions","8,9,10","Inclusive"
"Data Analytics Driven Dynamic Strategy and Execution","8,9","Inclusive"
"Operations Consulting","8,9,17","Inclusive"
"Global Healthcare Operations Management","1,8,9,13","Focused"
"Independent Research in Data Sciences or Operations","8,10,17","Inclusive"
"Internship in Data Sciences or Operations","1,4,8,9","Inclusive"
"High Dimensional Statistics and Big Data Problems","8,9","Inclusive"
"Current Research in Operations Management","8,9,10,12,17","Inclusive"
"Principles of Developmental and Stem Cell Biology","4,9","Inclusive"
"Stem Cell and Developmental Biology Seminar Series","4,8,9,17","Inclusive"
"Clinical Perspective of Regenerative Medicine","","Not Related"
"Current Topics in Regenerative Medicine","4,17","Inclusive"
"Current Topics in Stem Cell Biology and Organogenesis","4,17","Inclusive"
"Conversational Chinese and Intercultural Communication","4,8,9,10","Inclusive"
"Language, Art and Culture: Calligraphy","4,9,11","Inclusive"
"Fundamental Chinese I","17","Inclusive"
"Chinese I","9,17","Inclusive"
"Chinese II","4,17","Inclusive"
"Reading and Writing Chinese","9,12,17","Inclusive"
"East Asian Humanities: The Great Tradition","4,5,9","Inclusive"
"Korean I","4,17","Inclusive"
"Korean II","17","Inclusive"
"Essential Communications in Korean I","9","Inclusive"
"Essential Communications in Korean II","9,11","Inclusive"
"Japanese I","4,9,17","Inclusive"
"Extensive Reading in Japanese I","8,9,12,17","Inclusive"
"Japanese II","4,17","Inclusive"
"Introduction to Contemporary East Asian Cinema and Culture","11","Inclusive"
"Introduction to East Asian Ethical Thought","11,12,15,17","Focused"
"Global Chinese Cinema and Cultural Studies","4,8,9,11,13","Focused"
"Language, Art, and Culture: Calligraphy II","4,9,11,17","Inclusive"
"Chinese III","17","Inclusive"
"Chinese IV","17","Inclusive"
"Intermediate Chinese: Reading and Oral Communication","9","Inclusive"
"Korean III","17","Inclusive"
"Korean IV","9","Inclusive"
"Japanese III","4,17","Inclusive"
"Extensive Reading in Japanese II","8,9,12,17","Inclusive"
"Japanese IV","4,17","Inclusive"
"Southeast Asian Literature and Film","14","Inclusive"
"Advanced Modern Chinese I","9","Inclusive"
"Advanced Modern Chinese II","9,17","Inclusive"
"Advanced Korean I","9,12","Inclusive"
"Advanced Korean II","9","Inclusive"
"Advanced Japanese I","4,9,11,17","Inclusive"
"Advanced Japanese II","9,12","Inclusive"
"Japanese Literature and Culture","8,9,11,17","Inclusive"
"Korean Culture from Ancient to Modern Times","9,11","Inclusive"
"Chinese Literature and Culture","9,11","Inclusive"
"Transnational Chinese Literature and Culture","11","Inclusive"
"Chinese Professional Internship: Communication and Culture","1,4,8,9,10,11","Inclusive"
"Myth, Folklore, and Fantasy in Japanese Literature and Film","11","Inclusive"
"Classical Chinese I","9,17","Inclusive"
"Classical Chinese II","","Not Related"
"Advanced Modern Chinese III","9","Inclusive"
"News and Web Chinese","9,11","Inclusive"
"Business Chinese","8,9","Inclusive"
"Business Japanese","8,9,11","Inclusive"
"Advanced Japanese III","9,17","Inclusive"
"Advanced Japanese IV","4,9,11","Inclusive"
"Contemporary Japanese Literature and Global Modernity","8,11,13","Focused"
"Material Culture of the Silk Road","11","Inclusive"
"Transnational Korean Cinema","9","Inclusive"
"Proseminar in Chinese Visual Culture","9,11","Inclusive"
"East Asian Societies","4,8,9,11,13,16","Focused"
"China and the World","9,11","Inclusive"
"Global East Asia","1,5,8,10,13,17","Focused"
"Proseminar on Issues and Trends in Contemporary East Asia","1,17","Inclusive"
"Principles of Microeconomics","1,2,5,8,9,10,16","Inclusive"
"Principles of Macroeconomics","1,8,9","Inclusive"
"Intermediate Microeconomic Theory","1,8,9,12","Inclusive"
"Mathematical Microeconomics","1,8,9","Inclusive"
"Intermediate Macroeconomic Theory","1,4,8,9,10","Inclusive"
"Introduction to Statistics for Economists","1,8,9","Inclusive"
"Introduction to Econometrics","1,7,8,9,10","Inclusive"
"Economics of Less Developed Countries","1,2,4,8,9,10,11,17","Inclusive"
"Economic Development of the Middle East","1,5,7,8,9,10,11,17","Inclusive"
"Economic Development of East Asia","1,8,9,17","Inclusive"
"Economic Development of Sub-Saharan Africa","1,2,5,7,8,9,10,15,16,17","Focused"
"Current Problems of the American Economy","1,4,5,8,9,10,11","Inclusive"
"Microeconomics for Business","1,2,7,8,9,10,17","Inclusive"
"Macroeconomics for Business","1,4,7,8,9,10,17","Inclusive"
"Money, Credit, and Banking","1,8,9,10","Inclusive"
"Understanding Financial Crises","8,10","Inclusive"
"Economic Policy Issues","1,6,7,8,9,10,11,12,13,14,15,17","Focused"
"Mathematical Methods in Economics","1,6,7,8,9","Inclusive"
"Games and Economics","1,8,9","Inclusive"
"Neuroeconomics","7","Inclusive"
"Economics of Health and Healthcare","1,8,9","Inclusive"
"Advanced Econometrics","9","Inclusive"
"Experimental Economics","1,7,8,9,12","Inclusive"
"Economics of Happiness","1,2,7,8,9,10,12,15","Focused"
"Empirical Economics Research","1,7,8,9,17","Inclusive"
"Economic Analysis of Law","1,8,9,10","Inclusive"
"International Trade","1,8,9","Inclusive"
"International Finance","8,9","Inclusive"
"Financial Markets","1,8,9,10,12,13","Focused"
"Economics of Labor Markets and Human Capital","1,5,8,9,10,16","Inclusive"
"Economic Consulting and Applied Managerial Economics","1,6,7,8,9,12,13,14,15","Focused"
"Microeconomic Analysis and Policy","1,8,9","Inclusive"
"Macroeconomic Analysis and Policy","1,8,9","Inclusive"
"Game Theory with Economic and Financial Applications","1,8,9,10","Inclusive"
"Practice of Econometrics","1,7,8,9","Inclusive"
"Time Series Analysis","9","Inclusive"
"Open Economy Macroeconomics","1,7,8,9,10,11","Inclusive"
"Theory of Value: Classical Origins and Neoclassical Critique","1,7,8,9","Inclusive"
"Values and Social Analysis","1,8,9,13,17","Focused"
"Economic Development","1,2,6,7,8,9,10,12,13,14,15,16,17","Focused"
"Big Data Econometrics","9","Inclusive"
"Economic Consulting and Applied Econometrics","1,6,7,8,9,12,13,14,15","Focused"
"Practicum in Teaching the Liberal Arts","4,8,9,17,11","Inclusive"
"Microeconomic Theory I","7,8,9,10","Inclusive"
"Macroeconomic Theory I","1,7,8,9,10","Inclusive"
"Microeconomic Theory II","1,7,8","Inclusive"
"Game Theory","7,9","Inclusive"
"Macroeconomic Theory II","7,8,9","Inclusive"
"Behavioral Theories of Decision-Making","7","Inclusive"
"Advanced Neuroeconomics","7,9","Inclusive"
"Econometric Methods","7,8,10","Inclusive"
"Probability and Statistics for Economists","1,7,8,9,10","Inclusive"
"Economic and Financial Time Series I","1,7,8,9,10","Inclusive"
"Applied Econometrics","1,7,8,9","Inclusive"
"Experimental Methods","7,9","Inclusive"
"Economic Analysis of Social Networks","1,8,9,17","Inclusive"
"Political Economy of Institutions","1,7,8,9,16","Inclusive"
"Empirical Analysis of Economic Development","1,5,7,8,9,10,17","Inclusive"
"Poverty, Human Resources and Economic Development","1,2,5,7,8,9,10,16,17","Inclusive"
"International Trade Theory","1,7,8,9","Inclusive"
"Economics of Financial Markets II","1,7,8,9,10","Inclusive"
"Empirical International Economics","1,7,8,9,10,11","Inclusive"
"Financial and Monetary Macroeconomics","8,9,10","Inclusive"
"Industrial Organization","1,2,7,8,9,16","Inclusive"
"Urban Economics","1,8,9,11,17","Inclusive"
"Empirical Industrial Organization","2,7,8,9","Inclusive"
"Seminar in Economic Theory","1,8,9,17","Inclusive"
"Seminar in Econometrics","17","Inclusive"
"Seminar in Economic Development","1,8,9,11,17","Inclusive"
"Seminar in Dynamic Economics","1,8,9,13,17","Focused"
"Advanced Topics in Econometrics","9","Inclusive"
"Ethical and Legal Issues in Counseling","12","Inclusive"
"Counseling and Collaborative Consultation in the School Setting","4,9","Inclusive"
"Theories in Counseling","17","Inclusive"
"School Counseling Practicum","4,17","Inclusive"
"School Counseling Field Experience","1,4","Inclusive"
"Foundations of Higher, Adult and Professional Education","1,4,5,11","Inclusive"
"Applied Educational Ethnography","1,4,5,8,9,17","Inclusive"
"The Politics of Difference","1,4,5,8,9,10,16","Inclusive"
"Student Affairs Work in College","1,4,8,9","Inclusive"
"Intervention Strategies in College Student Development","1,5,8,9,10,16,17","Inclusive"
