SECTION,SCHOOL,COURSE_CODE,SESSION,MIN_UNITS,MAX_UNITS,COURSE_TITLE,MODE,Link,PUBLISH?,START_TIME,END_TIME,DAYS,TOTAL_ENR,MODALITY,INSTRUCTOR_NAME,ASSIGNED_ROOM,TOTAL_ENR,COURSE_DESCRIPTION
27597,EDUC,EDUC-764B,328,1,1,Dissertation in Practice,C,,Y,TBA,TBA,,81,A,"Malloy, Courtney, Lynn",ONLINE,81,Credit on acceptance of Dissertation in Practice.
27598,EDUC,EDUC-764C,328,1,1,Dissertation in Practice,C,,Y,TBA,TBA,,47,A,"Malloy, Courtney, Lynn",ONLINE,47,Credit on acceptance of Dissertation in Practice.
27599,EDUC,EDUC-764D,328,1,1,Dissertation in Practice,C,,Y,TBA,TBA,,53,A,"Malloy, Courtney, Lynn",ONLINE,53,Credit on acceptance of Dissertation in Practice.
26620,EDUC,EDUC-764D,345,1,1,Dissertation in Practice,C,,Y,TBA,TBA,,11,,"Chung, Ruth, H.",OFFICE,11,Credit on acceptance of Dissertation in Practice.
,,,,,,,,,,,,,,,"Krop, Cathy, Sloane",,,
27604,EDUC,EDUC-790,328,1,1,Research,C,,Y,TBA,TBA,,11,A,"Tobey, Patricia, Elaine",ONLINE,11,Research leading to the doctorate.  Maximum units which may be
,,,,,,,,,,,,,,,,,,applied to the degree to be determined by the department.  Graded
,,,,,,,,,,,,,,,,,,CR/NC.
27602,EDUC,EDUC-790,328,1,1,Research,C,,Y,TBA,TBA,,8,A,"Freking, Frederick, Wilhelm",ONLINE,8,Research leading to the doctorate.  Maximum units which may be
,,,,,,,,,,,,,,,,,,applied to the degree to be determined by the department.  Graded
,,,,,,,,,,,,,,,,,,CR/NC.
27601,EDUC,EDUC-790,328,1,1,Research,C,,Y,TBA,TBA,,10,A,"Hocevar, Dennis",ONLINE,10,Research leading to the doctorate.  Maximum units which may be
,,,,,,,,,,,,,,,,,,applied to the degree to be determined by the department.  Graded
,,,,,,,,,,,,,,,,,,CR/NC.
27603,EDUC,EDUC-790,328,1,1,Research,C,,Y,TBA,TBA,,11,A,"Riggio, Marsha, Boveja",ONLINE,11,Research leading to the doctorate.  Maximum units which may be
,,,,,,,,,,,,,,,,,,applied to the degree to be determined by the department.  Graded
,,,,,,,,,,,,,,,,,,CR/NC.
26674,EDUC,EDUC-790,59,1,12,Research,C,,Y,TBA,TBA,,1,,"DeCuir-Gunby, Jessica, T.",OFFICE,1,Research leading to the doctorate.  Maximum units which may be
,,,,,,,,,,,,,,,,,,applied to the degree to be determined by the department.  Graded
,,,,,,,,,,,,,,,,,,CR/NC.
26678,EDUC,EDUC-790,59,1,12,Research,C,,Y,TBA,TBA,,0,,,OFFICE,0,Research leading to the doctorate.  Maximum units which may be
,,,,,,,,,,,,,,,,,,applied to the degree to be determined by the department.  Graded
,,,,,,,,,,,,,,,,,,CR/NC.
26672,EDUC,EDUC-790,59,1,12,Research,C,,Y,TBA,TBA,,1,,"Kho, Adam",OFFICE,1,Research leading to the doctorate.  Maximum units which may be
,,,,,,,,,,,,,,,,,,applied to the degree to be determined by the department.  Graded
,,,,,,,,,,,,,,,,,,CR/NC.
26676,EDUC,EDUC-790,59,1,12,Research,C,,Y,TBA,TBA,,0,,,OFFICE,0,Research leading to the doctorate.  Maximum units which may be
,,,,,,,,,,,,,,,,,,applied to the degree to be determined by the department.  Graded
,,,,,,,,,,,,,,,,,,CR/NC.
26679,EDUC,EDUC-790,59,1,12,Research,C,,Y,TBA,TBA,,0,,,OFFICE,0,Research leading to the doctorate.  Maximum units which may be
,,,,,,,,,,,,,,,,,,applied to the degree to be determined by the department.  Graded
,,,,,,,,,,,,,,,,,,CR/NC.
26671,EDUC,EDUC-790,59,1,12,Research,C,,Y,TBA,TBA,,1,,"Immordino-Yang, Mary Helen",OFFICE,1,Research leading to the doctorate.  Maximum units which may be
,,,,,,,,,,,,,,,,,,applied to the degree to be determined by the department.  Graded
,,,,,,,,,,,,,,,,,,CR/NC.
26675,EDUC,EDUC-790,59,1,12,Research,C,,Y,TBA,TBA,,0,,,OFFICE,0,Research leading to the doctorate.  Maximum units which may be
,,,,,,,,,,,,,,,,,,applied to the degree to be determined by the department.  Graded
,,,,,,,,,,,,,,,,,,CR/NC.
26677,EDUC,EDUC-790,59,1,12,Research,C,,Y,TBA,TBA,,0,,,OFFICE,0,Research leading to the doctorate.  Maximum units which may be
,,,,,,,,,,,,,,,,,,applied to the degree to be determined by the department.  Graded
,,,,,,,,,,,,,,,,,,CR/NC.
26604,EDUC,EDUC-790,345,1,1,Research,C,,Y,TBA,TBA,,19,,"Robison, Mark, Power",ONLINE,19,Research leading to the doctorate.  Maximum units which may be
,,,,,,,,,,,,,,,,,,applied to the degree to be determined by the department.  Graded
,,,,,,,,,,,,,,,,,,CR/NC.
26746,EDUC,EDUC-790,594,1,1,Research,C,,Y,17:30,19:00,M,3,A,"Rosenthal Dieken, Jane",ONLINE,3,Research leading to the doctorate.  Maximum units which may be
,,,,,,,,,,,,,,,,,,applied to the degree to be determined by the department.  Graded
,,,,,,,,,,,,,,,,,,CR/NC.
26682,EDUC,EDUC-790,59,1,12,Research,C,,Y,TBA,TBA,,0,,,OFFICE,0,Research leading to the doctorate.  Maximum units which may be
,,,,,,,,,,,,,,,,,,applied to the degree to be determined by the department.  Graded
,,,,,,,,,,,,,,,,,,CR/NC.
26680,EDUC,EDUC-790,59,1,12,Research,C,,Y,TBA,TBA,,0,,,OFFICE,0,Research leading to the doctorate.  Maximum units which may be
,,,,,,,,,,,,,,,,,,applied to the degree to be determined by the department.  Graded
,,,,,,,,,,,,,,,,,,CR/NC.
26683,EDUC,EDUC-790,59,1,12,Research,C,,Y,TBA,TBA,,0,,,OFFICE,0,Research leading to the doctorate.  Maximum units which may be
,,,,,,,,,,,,,,,,,,applied to the degree to be determined by the department.  Graded
,,,,,,,,,,,,,,,,,,CR/NC.
26681,EDUC,EDUC-790,59,1,12,Research,C,,Y,TBA,TBA,,0,,,OFFICE,0,Research leading to the doctorate.  Maximum units which may be
,,,,,,,,,,,,,,,,,,applied to the degree to be determined by the department.  Graded
,,,,,,,,,,,,,,,,,,CR/NC.
26686,EDUC,EDUC-791,59,1,1,Proposal for Doctoral Dissertation,C,,Y,TBA,TBA,,0,,,OFFICE,0,Preparation on initial dissertation proposal. Graded CR/NC.
26688,EDUC,EDUC-791,59,1,1,Proposal for Doctoral Dissertation,C,,Y,TBA,TBA,,0,,,OFFICE,0,Preparation on initial dissertation proposal. Graded CR/NC.
26687,EDUC,EDUC-791,59,1,1,Proposal for Doctoral Dissertation,C,,Y,TBA,TBA,,0,,,OFFICE,0,Preparation on initial dissertation proposal. Graded CR/NC.
26689,EDUC,EDUC-791,59,1,1,Proposal for Doctoral Dissertation,C,,Y,TBA,TBA,,0,,,OFFICE,0,Preparation on initial dissertation proposal. Graded CR/NC.
26690,EDUC,EDUC-791,59,1,1,Proposal for Doctoral Dissertation,C,,Y,TBA,TBA,,0,,,OFFICE,0,Preparation on initial dissertation proposal. Graded CR/NC.
26692,EDUC,EDUC-791,59,1,1,Proposal for Doctoral Dissertation,C,,Y,TBA,TBA,,0,,,OFFICE,0,Preparation on initial dissertation proposal. Graded CR/NC.
26691,EDUC,EDUC-791,59,1,1,Proposal for Doctoral Dissertation,C,,Y,TBA,TBA,,0,,,OFFICE,0,Preparation on initial dissertation proposal. Graded CR/NC.
26693,EDUC,EDUC-791,59,1,1,Proposal for Doctoral Dissertation,C,,Y,TBA,TBA,,0,,,OFFICE,0,Preparation on initial dissertation proposal. Graded CR/NC.
26695,EDUC,EDUC-794A,59,2,2,Doctoral Dissertation,C,,Y,TBA,TBA,,0,,,OFFICE,0,Credit on acceptance of dissertation.  Graded IP/CR/NC.
26696,EDUC,EDUC-794B,59,2,2,Doctoral Dissertation,C,,Y,TBA,TBA,,0,,,OFFICE,0,Credit on acceptance of dissertation.  Graded IP/CR/NC.
27592,EDUC,EDUC-794B,328,2,2,Doctoral Dissertation,C,,Y,TBA,TBA,,0,A,"Malloy, Courtney, Lynn",ONLINE,0,Credit on acceptance of dissertation.  Graded IP/CR/NC.
26697,EDUC,EDUC-794C,59,2,2,Doctoral Dissertation,C,,Y,TBA,TBA,,0,,,OFFICE,0,Credit on acceptance of dissertation.  Graded IP/CR/NC.
26698,EDUC,EDUC-794D,59,2,2,Doctoral Dissertation,C,,Y,TBA,TBA,,0,,,OFFICE,0,Credit on acceptance of dissertation.  Graded IP/CR/NC.
26699,EDUC,EDUC-794Z,59,0,0,Doctoral Dissertation,C,,Y,TBA,TBA,,0,,,OFFICE,0,Credit on acceptance of dissertation.  Graded IP/CR/NC.
26513,EDUC,EDUE-599,305,3,3,Special Topics,C,,Y,17:00,19:35,T,15,A,"Robles, Darline, Parra",ONLINE,15,Selected topics in various areas of education.
26514,EDUC,EDUE-599,305,3,3,Special Topics,C,,Y,17:00,19:35,H,15,A,"Crew, Rudolph, Franklin",ONLINE,15,Selected topics in various areas of education.
26510,EDUC,EDUE-599,806,3,3,Special Topics,C,,Y,17:00,19:15,H,9,,"Franklin, Gregory",WPH106,9,Selected topics in various areas of education.
26512,EDUC,EDUE-599,305,3,3,Special Topics,C,,Y,17:00,19:35,W,13,A,"Franklin, Gregory",ONLINE,13,Selected topics in various areas of education.
26501,EDUC,EDUE-704,305,3,3,Leadership Enactment,C,,Y,17:00,19:35,H,13,,"Kishimoto, Christina, M.",ONLINE,13,Provides students with the opportunity to acquire or deepen knowledge and skills related to acting as a critically conscious leaders who address existing educational inequities.
26503,EDUC,EDUE-704,806,3,3,Leadership Enactment,C,,Y,19:50,22:25,T,9,,,WPHB26,9,Provides students with the opportunity to acquire or deepen knowledge and skills related to acting as a critically conscious leaders who address existing educational inequities.
26502,EDUC,EDUE-704,305,3,3,Leadership Enactment,C,,Y,19:50,22:25,T,20,,"Franklin, Gregory",ONLINE,20,Provides students with the opportunity to acquire or deepen knowledge and skills related to acting as a critically conscious leaders who address existing educational inequities.
26500,EDUC,EDUE-704,806,3,3,Leadership Enactment,C,,Y,19:50,22:25,H,14,,"Crew, Rudolph, Franklin",WPHB26,14,Provides students with the opportunity to acquire or deepen knowledge and skills related to acting as a critically conscious leaders who address existing educational inequities.
26520,EDUC,EDUE-718,806,3,3,Leading for Instructional Excellence and Equity,C,,Y,17:00,19:35,H,4,,"Shelton, Antonio",WPH107,4,"Improves K-12 practitioners' instructional leadership capacity, addressing power and its impact on creating and perpetuating educational inequities for historically marginalized and minoritized children and adults."
26522,EDUC,EDUE-718,305,3,3,Leading for Instructional Excellence and Equity,C,,Y,17:00,19:35,T,19,,"Leon, Elizabeth",ONLINE,19,"Improves K-12 practitioners' instructional leadership capacity, addressing power and its impact on creating and perpetuating educational inequities for historically marginalized and minoritized children and adults."
26521,EDUC,EDUE-718,305,3,3,Leading for Instructional Excellence and Equity,C,,Y,19:50,22:25,H,14,,"Ott, Maria, Miranda",ONLINE,14,"Improves K-12 practitioners' instructional leadership capacity, addressing power and its impact on creating and perpetuating educational inequities for historically marginalized and minoritized children and adults."
26524,EDUC,EDUE-722,806,3,3,Leading Transformational Learning,C,,Y,17:00,19:35,T,6,,"Lyons-Moore, Akilah, Karene",WPH103,6,"Explores the macro context of policies, structures and procedures that affect those who are responsible for the education of teachers in K-12 and higher education."
26525,EDUC,EDUE-724,806,3,3,Culturally Responsive Educational Leadership,C,,Y,17:00,19:35,T,12,,"Pascarella, John",WPH107,12,"Prepares education leaders to enact culturally responsive change in order to transform teaching, learning, and educational practices in their urban professional context."
26569,EDUC,EDUE-780B,305,2,2,Dissertation in Practice,C,,Y,TBA,TBA,,6,,"Cash, David",OFFICE,6,"Builds on EDUE 780a as students finalize their literature reviews, overview of methodology and other contextual writing for the dissertation in practice and qualifying exam."
26584,EDUC,EDUE-780B,806,2,2,Dissertation in Practice,C,,Y,TBA,TBA,,0,,"Canny, Eric",OFFICE,0,"Builds on EDUE 780a as students finalize their literature reviews, overview of methodology and other contextual writing for the dissertation in practice and qualifying exam."
26580,EDUC,EDUE-780B,806,2,2,Dissertation in Practice,C,,Y,TBA,TBA,,2,,"Yates, Kenneth, Anthony",,2,"Builds on EDUE 780a as students finalize their literature reviews, overview of methodology and other contextual writing for the dissertation in practice and qualifying exam."
26582,EDUC,EDUE-780B,806,2,2,Dissertation in Practice,C,,Y,TBA,TBA,,11,,"Lyons-Moore, Akilah, Karene",,11,"Builds on EDUE 780a as students finalize their literature reviews, overview of methodology and other contextual writing for the dissertation in practice and qualifying exam."
,,,,,,,,,,,,,,,"Samkian, Artineh",,,
26581,EDUC,EDUE-780B,806,2,2,Dissertation in Practice,C,,Y,TBA,TBA,,5,,"Filback, Robert, A.",,5,"Builds on EDUE 780a as students finalize their literature reviews, overview of methodology and other contextual writing for the dissertation in practice and qualifying exam."
26585,EDUC,EDUE-780B,806,2,2,Dissertation in Practice,C,,Y,TBA,TBA,,0,,"Slayton, Julie, Michele",OFFICE,0,"Builds on EDUE 780a as students finalize their literature reviews, overview of methodology and other contextual writing for the dissertation in practice and qualifying exam."
26587,EDUC,EDUE-780B,806,2,2,Dissertation in Practice,C,,N,TBA,TBA,,0,,"Slayton, Julie, Michele",OFFICE,0,"Builds on EDUE 780a as students finalize their literature reviews, overview of methodology and other contextual writing for the dissertation in practice and qualifying exam."
26583,EDUC,EDUE-780B,806,2,2,Dissertation in Practice,C,,Y,TBA,TBA,,1,,"Banuelos, Sheila, Marie",OFFICE,1,"Builds on EDUE 780a as students finalize their literature reviews, overview of methodology and other contextual writing for the dissertation in practice and qualifying exam."
26570,EDUC,EDUE-780B,305,2,2,Dissertation in Practice,C,,Y,TBA,TBA,,4,,"Crew, Rudolph, Franklin",OFFICE,4,"Builds on EDUE 780a as students finalize their literature reviews, overview of methodology and other contextual writing for the dissertation in practice and qualifying exam."
26578,EDUC,EDUE-780B,305,2,2,Dissertation in Practice,C,,Y,TBA,TBA,,4,,"Moore, Ekaterina",,4,"Builds on EDUE 780a as students finalize their literature reviews, overview of methodology and other contextual writing for the dissertation in practice and qualifying exam."
26574,EDUC,EDUE-780B,305,2,2,Dissertation in Practice,C,,Y,TBA,TBA,,6,,"Ferrario, Kim, A.",OFFICE,6,"Builds on EDUE 780a as students finalize their literature reviews, overview of methodology and other contextual writing for the dissertation in practice and qualifying exam."
26577,EDUC,EDUE-780B,305,2,2,Dissertation in Practice,C,,Y,TBA,TBA,,8,,"Patall, Erika",,8,"Builds on EDUE 780a as students finalize their literature reviews, overview of methodology and other contextual writing for the dissertation in practice and qualifying exam."
,,,,,,,,,,,,,,,"Kho, Adam",,,
26573,EDUC,EDUE-780B,305,2,2,Dissertation in Practice,C,,Y,TBA,TBA,,6,,"Ott, Maria, Miranda",ONLINE,6,"Builds on EDUE 780a as students finalize their literature reviews, overview of methodology and other contextual writing for the dissertation in practice and qualifying exam."
26575,EDUC,EDUE-780B,806,2,2,Dissertation in Practice,C,,Y,TBA,TBA,,3,,"Krop, Cathy, Sloane",,3,"Builds on EDUE 780a as students finalize their literature reviews, overview of methodology and other contextual writing for the dissertation in practice and qualifying exam."
26579,EDUC,EDUE-780B,806,2,2,Dissertation in Practice,C,,Y,TBA,TBA,,7,,"Hirabayashi, Kimberly",,7,"Builds on EDUE 780a as students finalize their literature reviews, overview of methodology and other contextual writing for the dissertation in practice and qualifying exam."
26572,EDUC,EDUE-780B,305,2,2,Dissertation in Practice,C,,Y,TBA,TBA,,5,,"Kishimoto, Christina, M.",OFFICE,5,"Builds on EDUE 780a as students finalize their literature reviews, overview of methodology and other contextual writing for the dissertation in practice and qualifying exam."
26571,EDUC,EDUE-780B,305,2,2,Dissertation in Practice,C,,Y,TBA,TBA,,5,,"Franklin, Gregory",,5,"Builds on EDUE 780a as students finalize their literature reviews, overview of methodology and other contextual writing for the dissertation in practice and qualifying exam."
26576,EDUC,EDUE-780B,305,2,2,Dissertation in Practice,C,,Y,TBA,TBA,,5,,"Robles, Darline, Parra",,5,"Builds on EDUE 780a as students finalize their literature reviews, overview of methodology and other contextual writing for the dissertation in practice and qualifying exam."
26541,EDUC,EDUE-784A,806,2,2,"Dissertation in Practice, Data Analysis",C,,Y,TBA,TBA,,1,,"Krop, Cathy, Sloane",OFFICE,1,Builds students knowledge and skills for analyzing quantitative and qualitative data and reporting results and findings for their Dissertations in Practice.
26544,EDUC,EDUE-784B,806,2,2,"Dissertation in Practice, Data Analysis",C,,Y,TBA,TBA,,1,,"Krop, Cathy, Sloane",OFFICE,1,Builds students knowledge and skills for analyzing quantitative and qualitative data and reporting results and findings for their Dissertations in Practice.
26542,EDUC,EDUE-784B,806,1,1,"Dissertation in Practice, Data Analysis",C,,Y,TBA,TBA,,1,,"Krop, Cathy, Sloane",OFFICE,1,Builds students knowledge and skills for analyzing quantitative and qualitative data and reporting results and findings for their Dissertations in Practice.
26543,EDUC,EDUE-784C,806,1,1,"Dissertation in Practice, Data Analysis",C,,Y,TBA,TBA,,0,,"Krop, Cathy, Sloane",OFFICE,0,Builds students knowledge and skills for analyzing quantitative and qualitative data and reporting results and findings for their Dissertations in Practice.
28812,ENGR,AME-308,55,3,3,Computer-Aided Analyses for Aero-Mechanical Design,C,,Y,9:00,11:50,M,2,,"Jin, Bo, Cheng",SAL127,2,Introduction to the finite element method; practical application of computer analysis tools for structural analysis and design. Prerequisite: AME 204. Corequisite: AME 301.
28810,ENGR,AME-341A,50,3,3,Mechoptronics Laboratory I and II,C,A,Y,9:00,11:00,TH,4,,"Potnuru, Akshay",GFS201,4,"A coordinated laboratory and lecture sequence on aeromechanical instrumentation and device control stressing the symbiotic integration of mechanical, optical and electronic components."
28811,ENGR,AME-341A,50,0,0,Mechoptronics Laboratory I and II,L,A,Y,9:00,12:50,W,4,,"Potnuru, Akshay",BHE301,4,"A coordinated laboratory and lecture sequence on aeromechanical instrumentation and device control stressing the symbiotic integration of mechanical, optical and electronic components."
28850,ENGR,AME-490,59,1,8,Directed Research,C,,Y,TBA,TBA,,0,,"Ronney, Paul, David",OFFICE,0,Individual research and readings. Not available for graduate credit.
28885,ENGR,AME-525,902,4,4,Engineering Analysis,C,A,Y,11:00,13:05,MTWH,3,,"Abramova, Inna",OHE100B,3,"Engineering mathematical methods: linear algebra, eigen problems, introduction to linear partial differential equations, transforms and complex variable theory."
29055,ENGR,AME-525,910,4,4,Engineering Analysis,C,A,Y,11:00,13:05,MTWH,6,,"Abramova, Inna",DEN@Viterbi,6,"Engineering mathematical methods: linear algebra, eigen problems, introduction to linear partial differential equations, transforms and complex variable theory."
28886,ENGR,AME-526,901,4,4,Introduction to Mathematical Methods in Engineering II,C,D,Y,9:00,11:50,TH,4,,"Egolfopoulos, Fokion",OHE136,4,An intermediate and comprehensive methods of engineering mathematics course covering basic methods for solving linear partial differential equations including the method of characteristics and Green's function.
29056,ENGR,AME-526,909,4,4,Introduction to Mathematical Methods in Engineering II,C,F,Y,9:00,11:50,TH,1,,"Egolfopoulos, Fokion",DEN@Viterbi,1,An intermediate and comprehensive methods of engineering mathematics course covering basic methods for solving linear partial differential equations including the method of characteristics and Green's function.
28887,ENGR,AME-526,901,0,0,Introduction to Mathematical Methods in Engineering II,D,D,Y,17:00,18:20,MW,2,,"Egolfopoulos, Fokion",RTH105,2,An intermediate and comprehensive methods of engineering mathematics course covering basic methods for solving linear partial differential equations including the method of characteristics and Green's function.
29057,ENGR,AME-526,909,0,0,Introduction to Mathematical Methods in Engineering II,D,F,Y,17:00,18:20,MW,1,,"Egolfopoulos, Fokion",DEN@Viterbi,1,An intermediate and comprehensive methods of engineering mathematics course covering basic methods for solving linear partial differential equations including the method of characteristics and Green's function.
28950,ENGR,AME-590,908,1,6,Directed Research,C,,Y,TBA,TBA,,0,,"Ronney, Paul, David",OFFICE,0,Research leading to the Master's Degree. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.
28955,ENGR,AME-594A,908,2,2,Master's Thesis,C,,Y,TBA,TBA,,0,,"Ronney, Paul, David",OFFICE,0,Credit on acceptance of Thesis.
28956,ENGR,AME-594B,908,2,2,Master's Thesis,C,,Y,TBA,TBA,,0,,"Ronney, Paul, David",OFFICE,0,Credit on acceptance of Thesis. Graded CR/NC.
28989,ENGR,AME-790,908,1,12,Research,C,,Y,TBA,TBA,,0,,"Ronney, Paul, David",OFFICE,0,Research leading to the doctorate. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.
29088,ENGR,AME-790,902,1,12,Research,C,,Y,TBA,TBA,,0,,"Ronney, Paul, David",OFFICE,0,Research leading to the doctorate. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.
28991,ENGR,AME-794A,908,2,2,Doctoral Dissertation,C,,Y,TBA,TBA,,0,,"Ronney, Paul, David",OFFICE,0,Credit on acceptance of Dissertation.
28992,ENGR,AME-794B,908,2,2,Doctoral Dissertation,C,,Y,TBA,TBA,,1,,"Ronney, Paul, David",OFFICE,1,Credit on acceptance of Dissertation.
28993,ENGR,AME-794C,908,2,2,Doctoral Dissertation,C,,Y,TBA,TBA,,0,,"Ronney, Paul, David",OFFICE,0,Credit on acceptance of Dissertation.
28994,ENGR,AME-794D,908,2,2,Doctoral Dissertation,C,,Y,TBA,TBA,,0,,"Ronney, Paul, David",OFFICE,0,Credit on acceptance of Thesis.
28995,ENGR,AME-794Z,908,0,0,Doctoral Dissertation,C,,Y,TBA,TBA,,0,,"Ronney, Paul, David",OFFICE,0,Credit on acceptance of Dissertation.
29120,ENGR,ASTE-490,59,1,8,Directed Research,C,,Y,TBA,TBA,,0,,"Gruntman, Mike",OFFICE,0,Individual research and readings. Not available for graduate credit.
,,,,,,,,,,,,,,,"Barnhart, David",,,
,,,,,,,,,,,,,,,"Erwin, Dan",,,
29172,ENGR,ASTE-570,909,3,3,Liquid Rocket Propulsion,C,,Y,18:40,21:20,TH,7,A,"Purohit, Ghanshyam, Purshottamda",DEN@Viterbi,7,Liquid-propelled rocket propulsion systems.  Capillary devices for
,,,,,,,,,,,,,,,,,,gas-free liquid acquisition in zero gravity.  Ground and in-orbit
,,,,,,,,,,,,,,,,,,operations.  Propellant life predictions and spacecraft
,,,,,,,,,,,,,,,,,,end-of-life de-orbiting strategies.
29142,ENGR,ASTE-570,901,3,3,Liquid Rocket Propulsion,C,,Y,18:40,21:20,TH,1,,"Purohit, Ghanshyam, Purshottamda",OHE100D,1,Liquid-propelled rocket propulsion systems.  Capillary devices for
,,,,,,,,,,,,,,,,,,gas-free liquid acquisition in zero gravity.  Ground and in-orbit
,,,,,,,,,,,,,,,,,,operations.  Propellant life predictions and spacecraft
,,,,,,,,,,,,,,,,,,end-of-life de-orbiting strategies.
28491,ENGR,ASTE-580,909,3,3,Orbital Mechanics I,C,,Y,18:40,21:20,MW,16,,"Park, Ryan",DEN@Viterbi,16,Physical principles; two-body and central force motion; trajectory
,,,,,,,,,,,,,,,,,,correction maneuvers; position and velocity in conic orbits;
,,,,,,,,,,,,,,,,,,Lambert's problem; celestial mechanics; orbital perturbations.
28490,ENGR,ASTE-580,901,3,3,Orbital Mechanics I,C,,Y,18:40,21:20,MW,3,,"Park, Ryan",OHE136,3,Physical principles; two-body and central force motion; trajectory
,,,,,,,,,,,,,,,,,,correction maneuvers; position and velocity in conic orbits;
,,,,,,,,,,,,,,,,,,Lambert's problem; celestial mechanics; orbital perturbations.
29179,ENGR,ASTE-585,910,3,3,Spacecraft Attitude Control,C,,N,9:00,11:50,MW,0,,"Flashner, Henryk",DEN@Viterbi,0,"Review of attitude dynamics, gravity gradient stabilization,"
,,,,,,,,,,,,,,,,,,"attitude stabilization with a spin, attitude maneuvers, control"
,,,,,,,,,,,,,,,,,,"using momentum exchange devices, momentum-biased stabilization,"
,,,,,,,,,,,,,,,,,,reaction thruster control. Recommended preparation: a course in
,,,,,,,,,,,,,,,,,,dynamics
29149,ENGR,ASTE-585,902,3,3,Spacecraft Attitude Control,C,,N,9:00,11:50,MW,0,,"Flashner, Henryk",OHE120,0,"Review of attitude dynamics, gravity gradient stabilization,"
,,,,,,,,,,,,,,,,,,"attitude stabilization with a spin, attitude maneuvers, control"
,,,,,,,,,,,,,,,,,,"using momentum exchange devices, momentum-biased stabilization,"
,,,,,,,,,,,,,,,,,,reaction thruster control. Recommended preparation: a course in
,,,,,,,,,,,,,,,,,,dynamics
29181,ENGR,ASTE-590,908,1,12,Directed Research,C,,Y,TBA,TBA,,0,,"Gruntman, Mike",OFFICE,0,Research leading to the master's degree.  Maximum units which may
,,,,,,,,,,,,,,,,,,be applied to the degree to be determined by the division.  Graded
,,,,,,,,,,,,,,,,,,CR/NC.
,,,,,,,,,,,,,,,"Erwin, Dan",,,
,,,,,,,,,,,,,,,"Barnhart, David",,,
,,,,,,,,,,,,,,,"Wang, Joseph",,,
,,,,,,,,,,,,,,,"Madni, Azad, M",,,
29182,ENGR,ASTE-594A,908,2,2,Master's Thesis,C,,Y,TBA,TBA,,0,,,OFFICE,0,Credit on acceptance of thesis.  Graded IP/CR/NC.
29183,ENGR,ASTE-594B,908,2,2,Master's Thesis,C,,Y,TBA,TBA,,0,,,OFFICE,0,Credit on acceptance of thesis.  Graded IP/CR/NC.
29184,ENGR,ASTE-594Z,908,0,0,Master's Thesis,C,,Y,TBA,TBA,,0,,,OFFICE,0,Credit on acceptance of thesis. Graded IP/CR/NC.
29189,ENGR,ASTE-690,908,1,4,Directed Research,C,,Y,TBA,TBA,,0,,"Gruntman, Mike",OFFICE,0,Laboratory studies of specific problems by candidates for the
,,,,,,,,,,,,,,,,,,degree Engineer in Astronautical Engineering.  Graded CR/NC.
,,,,,,,,,,,,,,,"Erwin, Dan",,,
,,,,,,,,,,,,,,,"Wang, Joseph",,,
,,,,,,,,,,,,,,,"Madni, Azad, M",,,
29194,ENGR,ASTE-790,908,1,12,Research,C,,Y,TBA,TBA,,1,,"Gruntman, Mike",OFFICE,1,Research leading to the doctorate.  Maximum units which may be
,,,,,,,,,,,,,,,,,,applied to the degree to be determined by the division.  Graded
,,,,,,,,,,,,,,,,,,CR/NC.
,,,,,,,,,,,,,,,"Erwin, Dan",,,
,,,,,,,,,,,,,,,"Wang, Joseph",,,
,,,,,,,,,,,,,,,"Madni, Azad, M",,,
29195,ENGR,ASTE-794A,908,2,2,Doctoral Dissertation,C,,Y,TBA,TBA,,0,,,OFFICE,0,Credit on acceptance of dissertation.  Graded IP/CR/NC.
29196,ENGR,ASTE-794B,908,2,2,Doctoral Dissertation,C,,Y,TBA,TBA,,0,,,OFFICE,0,Credit on acceptance of dissertation.  Graded IP/CR/NC.
29197,ENGR,ASTE-794C,908,2,2,Doctoral Dissertation,C,,Y,TBA,TBA,,0,,,OFFICE,0,Credit on acceptance of dissertation.  Graded IP/CR/NC.
29198,ENGR,ASTE-794D,908,2,2,Doctoral Dissertation,C,,Y,TBA,TBA,,0,,,OFFICE,0,Credit on acceptance of dissertation.  Graded IP/CR/NC.
29199,ENGR,ASTE-794Z,908,0,0,Doctoral Dissertation,C,,Y,TBA,TBA,,0,,,OFFICE,0,Credit on acceptance of dissertation.  Graded IP/CR/NC.
29202,ENGR,BME-490,59,1,4,Directed Research,C,,Y,TBA,TBA,,0,,"Khoo, Michael, Chee-Kuan",OFFICE,0,Individual research and readings. Not available for graduate credit.
29204,ENGR,BME-590,908,1,4,Directed Research,C,N,Y,TBA,TBA,,0,,,OFFICE,0,Research leading to the master's degree. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.
29213,ENGR,BME-790,46,1,12,Research,C,,Y,TBA,TBA,,0,,,OFFICE,0,Research applicable to the doctorate. Graded CR/NC.
,,,,,,,,,,,,,,,,,,
29212,ENGR,BME-790,908,1,12,Research,C,,Y,TBA,TBA,,3,,,OFFICE,3,Research applicable to the doctorate. Graded CR/NC.
,,,,,,,,,,,,,,,,,,
