SECTION    ,SCHOOL    ,COURSE_CODE.    ,SESSION    ,MIN_UNITS    ,MAX_UNITS    ,COURSE_TITLE................................................................................................................................................................................................................................................................................................    ,MODE    ,Link    ,PUBLISH?    ,START_TIME    ,END_TIME    ,DAYS..    ,TOTAL_ENR    ,MODALITY    ,INSTRUCTOR_NAME.........................    ,ASSIGNED_ROOM    ,TOTAL_ENR    ,COURSE_DESCRIPTION..........................................................................................................................................................................................................................................................................................    ,DEPT.OWNER.NAME....................................................................................
13850,BVC       ,HRM-550         ,988,2.0,2.0,Change Management and Organization Development                                                                                                                                                                                                                                                                  ,C       ,        ,Y           ,18:30         ,19:30       ,W         ,22,            ,"Hou, Cheng                                  ",ONLINE           ,22,Identifies the common challenges in organizational change management and explores the limitations and opportunities of different models of organizational change.                                                                                                                                               ,Bovard College
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Chen, Michael",,,,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Montante, Christopher",,,,
13853,BVC       ,HRM-555         ,981,2.0,2.0,Anticipating the Future of Human Resources                                                                                                                                                                                                                                                                      ,C       ,        ,Y           ,18:30         ,19:30       ,W         ,28,            ,"Jacobs, Jamie, Latiano                      ",ONLINE           ,28,"Explores the forces and emerging trends that are reshaping work, the workforce and workplace  and how to address these transformational changes and be effective as a Human Resources leader.                                                                                                                   ",Bovard College
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Chen, Michael",,,,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Montante, Christopher",,,,
13854,BVC       ,HRM-555         ,981,2.0,2.0,Anticipating the Future of Human Resources                                                                                                                                                                                                                                                                      ,C       ,        ,Y           ,18:30         ,19:30       ,H         ,25,            ,"Hou, Cheng                                  ",ONLINE           ,25,"Explores the forces and emerging trends that are reshaping work, the workforce and workplace  and how to address these transformational changes and be effective as a Human Resources leader.                                                                                                                   ",Bovard College
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Chen, Michael",,,,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Montante, Christopher",,,,
13836,BVC       ,HRM-555         ,981,2.0,2.0,Anticipating the Future of Human Resources                                                                                                                                                                                                                                                                      ,C       ,        ,Y           ,17:30         ,18:30       ,H         ,24,            ,"Kropf, Claudia                              ",ONLINE           ,24,"Explores the forces and emerging trends that are reshaping work, the workforce and workplace  and how to address these transformational changes and be effective as a Human Resources leader.                                                                                                                   ",Bovard College
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Chen, Michael",,,,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Montante, Christopher",,,,
13837,BVC       ,HRM-555         ,981,2.0,2.0,Anticipating the Future of Human Resources                                                                                                                                                                                                                                                                      ,C       ,        ,Y           ,17:30         ,18:30       ,H         ,24,            ,"Clements, Nicholas                          ",ONLINE           ,24,"Explores the forces and emerging trends that are reshaping work, the workforce and workplace  and how to address these transformational changes and be effective as a Human Resources leader.                                                                                                                   ",Bovard College
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Chen, Michael",,,,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Montante, Christopher",,,,
13901,BVC       ,PJMT-500        ,988,2.0,2.0,Principles of Project Management                                                                                                                                                                                                                                                                                ,C       ,        ,Y           ,17:30         ,19:00       ,W         ,24,            ,"Coleman, Cheryl                             ",ONLINE           ,24,"Concepts including delivering project scope within cost, schedule, and resource constraints and the exploration of the traditional or waterfall project management methodology will be explored.                                                                                                                ",Bovard College
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Chen, Michael",,,,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Montante, Christopher",,,,
13900,BVC       ,PJMT-500        ,988,2.0,2.0,Principles of Project Management                                                                                                                                                                                                                                                                                ,C       ,        ,Y           ,17:30         ,19:00       ,T         ,29,            ,"Fanning, Michael                            ",ONLINE           ,29,"Concepts including delivering project scope within cost, schedule, and resource constraints and the exploration of the traditional or waterfall project management methodology will be explored.                                                                                                                ",Bovard College
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Chen, Michael",,,,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Montante, Christopher",,,,
13905,BVC       ,PJMT-505        ,981,2.0,2.0,Requirements Elicitation and Business Analysis                                                                                                                                                                                                                                                                  ,C       ,        ,Y           ,17:30         ,19:00       ,T         ,19,            ,"Fanning, Michael                            ",ONLINE           ,19,"Tasks, techniques, and perspectives on how to approach business analysis along with methods for developing requirement process tools and techniques and best practices.                                                                                                                                         ",Bovard College
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Chen, Michael",,,,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Montante, Christopher",,,,
13906,BVC       ,PJMT-505        ,981,2.0,2.0,Requirements Elicitation and Business Analysis                                                                                                                                                                                                                                                                  ,C       ,        ,Y           ,17:30         ,19:00       ,W         ,15,            ,"Leighton, Luann                             ",ONLINE           ,15,"Tasks, techniques, and perspectives on how to approach business analysis along with methods for developing requirement process tools and techniques and best practices.                                                                                                                                         ",Bovard College
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Chen, Michael",,,,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Montante, Christopher",,,,
13904,BVC       ,PJMT-505        ,988,2.0,2.0,Requirements Elicitation and Business Analysis                                                                                                                                                                                                                                                                  ,C       ,        ,Y           ,17:30         ,19:00       ,H         ,17,            ,"Marek, Craig, Scott                         ",ONLINE           ,17,"Tasks, techniques, and perspectives on how to approach business analysis along with methods for developing requirement process tools and techniques and best practices.                                                                                                                                         ",Bovard College
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Chen, Michael",,,,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Montante, Christopher",,,,
13909,BVC       ,PJMT-510        ,988,2.0,2.0,Schedule Management                                                                                                                                                                                                                                                                                             ,C       ,        ,Y           ,17:30         ,19:00       ,T         ,17,            ,"Beckman, Dani, Michele                      ",ONLINE           ,17,"Structured approach to project schedule management, demonstrating how to be proactive and in control of projects by implementing effective schedule management.                                                                                                                                                 ",Bovard College
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Chen, Michael",,,,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Montante, Christopher",,,,
13908,BVC       ,PJMT-510        ,988,2.0,2.0,Schedule Management                                                                                                                                                                                                                                                                                             ,C       ,        ,Y           ,17:30         ,19:00       ,W         ,14,            ,"Inozu, Bahadir                              ",ONLINE           ,14,"Structured approach to project schedule management, demonstrating how to be proactive and in control of projects by implementing effective schedule management.                                                                                                                                                 ",Bovard College
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Chen, Michael",,,,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Montante, Christopher",,,,
13910,BVC       ,PJMT-510        ,981,2.0,2.0,Schedule Management                                                                                                                                                                                                                                                                                             ,C       ,        ,Y           ,17:30         ,19:00       ,W         ,18,            ,"Sawhney, Anil                               ",ONLINE           ,18,"Structured approach to project schedule management, demonstrating how to be proactive and in control of projects by implementing effective schedule management.                                                                                                                                                 ",Bovard College
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Chen, Michael",,,,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Montante, Christopher",,,,
13913,BVC       ,PJMT-515        ,981,2.0,2.0,Cost Estimation and Forecasting                                                                                                                                                                                                                                                                                 ,C       ,        ,Y           ,17:30         ,19:00       ,H         ,22,            ,"Lewis, Stanley                              ",ONLINE           ,22,Approaches to project cost estimation and the tools and methodologies best suited for estimates and forecasts that need to be prepared.                                                                                                                                                                         ,Bovard College
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Chen, Michael",,,,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Montante, Christopher",,,,
13914,BVC       ,PJMT-515        ,981,2.0,2.0,Cost Estimation and Forecasting                                                                                                                                                                                                                                                                                 ,C       ,        ,Y           ,17:30         ,19:00       ,H         ,25,            ,"Inozu, Bahadir                              ",ONLINE           ,25,Approaches to project cost estimation and the tools and methodologies best suited for estimates and forecasts that need to be prepared.                                                                                                                                                                         ,Bovard College
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Chen, Michael",,,,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Montante, Christopher",,,,
13917,BVC       ,PJMT-520        ,988,2.0,2.0,Risk Management                                                                                                                                                                                                                                                                                                 ,C       ,        ,Y           ,17:30         ,19:00       ,W         ,20,            ,"Madden, Michael                             ",ONLINE           ,20,"Coursework will enable students to prepare a comprehensive risk management plan and discover different approaches to identify, assess, and quantify risks and their impacts.                                                                                                                                    ",Bovard College
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Chen, Michael",,,,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Montante, Christopher",,,,
13918,BVC       ,PJMT-520        ,988,2.0,2.0,Risk Management                                                                                                                                                                                                                                                                                                 ,C       ,        ,Y           ,17:30         ,19:00       ,W         ,21,            ,"Stanton, Timothy, Curtis                    ",ONLINE           ,21,"Coursework will enable students to prepare a comprehensive risk management plan and discover different approaches to identify, assess, and quantify risks and their impacts.                                                                                                                                    ",Bovard College
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Chen, Michael",,,,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Montante, Christopher",,,,
13916,BVC       ,PJMT-520        ,988,2.0,2.0,Risk Management                                                                                                                                                                                                                                                                                                 ,C       ,        ,Y           ,17:30         ,19:00       ,H         ,21,            ,"Lewis, Stanley                              ",                 ,21,"Coursework will enable students to prepare a comprehensive risk management plan and discover different approaches to identify, assess, and quantify risks and their impacts.                                                                                                                                    ",Bovard College
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Chen, Michael",,,,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Montante, Christopher",,,,
13920,BVC       ,PJMT-525        ,988,2.0,2.0,Agile Project Management Methodologies                                                                                                                                                                                                                                                                          ,C       ,        ,Y           ,17:30         ,19:00       ,T         ,17,            ,"Belling, Shawn                              ",ONLINE           ,17,"Agile project management concepts and a set of frameworks that covers the people, products, and techniques required to successfully implement projects.                                                                                                                                                         ",Bovard College
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Chen, Michael",,,,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Montante, Christopher",,,,
13922,BVC       ,PJMT-525        ,981,2.0,2.0,Agile Project Management Methodologies                                                                                                                                                                                                                                                                          ,C       ,        ,Y           ,17:30         ,19:00       ,H         ,19,            ,"White, Bria                                 ",ONLINE           ,19,"Agile project management concepts and a set of frameworks that covers the people, products, and techniques required to successfully implement projects.                                                                                                                                                         ",Bovard College
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Chen, Michael",,,,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Montante, Christopher",,,,
13921,BVC       ,PJMT-525        ,981,2.0,2.0,Agile Project Management Methodologies                                                                                                                                                                                                                                                                          ,C       ,        ,Y           ,17:30         ,19:00       ,W         ,22,            ,"Kao, Steve                                  ",ONLINE           ,22,"Agile project management concepts and a set of frameworks that covers the people, products, and techniques required to successfully implement projects.                                                                                                                                                         ",Bovard College
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Chen, Michael",,,,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Montante, Christopher",,,,
13924,BVC       ,PJMT-530        ,988,2.0,2.0,Quality and Process Improvement                                                                                                                                                                                                                                                                                 ,C       ,        ,Y           ,17:30         ,19:00       ,T         ,28,            ,"Garcia, Ralph                               ",ONLINE           ,28,"Quality and performance improvement projects and methodologies used to implement them with a focus on Six Sigma, Lean, and Total Quality Management.                                                                                                                                                            ",Bovard College
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Chen, Michael",,,,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Montante, Christopher",,,,
13925,BVC       ,PJMT-530        ,981,2.0,2.0,Quality and Process Improvement                                                                                                                                                                                                                                                                                 ,C       ,        ,Y           ,17:30         ,19:00       ,W         ,17,            ,"Deiner, James                               ",ONLINE           ,17,"Quality and performance improvement projects and methodologies used to implement them with a focus on Six Sigma, Lean, and Total Quality Management.                                                                                                                                                            ",Bovard College
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Chen, Michael",,,,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Montante, Christopher",,,,
13928,BVC       ,PJMT-535        ,981,2.0,2.0,Specialized Project Management                                                                                                                                                                                                                                                                                  ,C       ,        ,Y           ,17:30         ,19:00       ,T         ,21,            ,"Hannan, Michael                             ",ONLINE           ,21,Explores several industries and entities and their developed project management methodologies to meet industry-specific needs through traditional approaches and partnerships in various sectors.                                                                                                               ,Bovard College
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Chen, Michael",,,,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Montante, Christopher",,,,
13929,BVC       ,PJMT-535        ,981,2.0,2.0,Specialized Project Management                                                                                                                                                                                                                                                                                  ,C       ,        ,Y           ,17:30         ,19:00       ,T         ,22,            ,"Jones, John, Douglas                        ",ONLINE           ,22,Explores several industries and entities and their developed project management methodologies to meet industry-specific needs through traditional approaches and partnerships in various sectors.                                                                                                               ,Bovard College
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Chen, Michael",,,,
